VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  3.90756  2.40783  1.39149  0.75520  0.38498  0.18407  0.08229  0.03425  0.01320  0.00469  0.00153  0.00046  0.00013  0.00006  0.00011  0.00026  0.00060  0.00126  0.00238  0.00406  0.00627  0.00881  0.01133  0.01343  0.01484  0.01558  0.01607  0.01708  0.01962  0.02460  0.03248  0.04293  0.05484  0.06690  0.07872  0.09239  0.11372  0.15212  0.21822  0.31892  0.45191  0.60362  0.75392  0.88627  0.99628  1.09059  1.17544  1.24423  1.27643  1.25111  1.16593  1.04721  0.94451  0.91554  1.01321  1.28355  1.77339  2.53943  3.64776  5.15694  7.08459  9.36653 11.82500 14.16620 16.02240 17.03900 16.98170 15.82140 13.75520 11.14870  8.42269  5.93560
 -175.000 -175.000  7.53763  4.74587  2.80224  1.55118  0.80398  0.38927  0.17550  0.07338  0.02834  0.01006  0.00327  0.00098  0.00029  0.00016  0.00028  0.00070  0.00164  0.00343  0.00651  0.01115  0.01734  0.02457  0.03190  0.03823  0.04276  0.04548  0.04739  0.05054  0.05763  0.07119  0.09250  0.12057  0.15207  0.18242  0.20827  0.23046  0.25611  0.29835  0.37241  0.48842  0.64377  0.82019  0.99015  1.13068  1.23589  1.31738  1.39080  1.45902  1.50727  1.51636  1.48515  1.44613  1.46432  1.62327  2.01055  2.71308  3.82302  5.44393  7.68244 10.61520 14.23260 18.37620 22.69900 26.67950 29.70670 31.22590 30.90010 28.72530 25.04690 20.46410 15.65950 11.22360
 -170.000 -170.000 13.73960  8.80186  5.28277  2.96583  1.55422  0.75824  0.34330  0.14375  0.05547  0.01966  0.00638  0.00191  0.00058  0.00035  0.00068  0.00171  0.00399  0.00840  0.01600  0.02759  0.04323  0.06181  0.08112  0.09845  0.11169  0.12049  0.12704  0.13616  0.15442  0.18818  0.24066  0.30948  0.38599  0.45780  0.51405  0.55128  0.57719  0.60967  0.67047  0.77492  0.92191  1.09060  1.24859  1.36930  1.44778  1.50273  1.56143  1.63907  1.73005  1.82037  1.91414  2.05678  2.34166  2.89955  3.88193  5.45004  7.77221 11.01870 15.33580 20.78740 27.26940 34.42740 41.62220 47.98440 52.56910 54.58120 53.59340 49.68180 43.41930 35.73060 27.65730 20.11790
 -165.000 -165.000 23.53220 15.26980  9.27060  5.25311  2.77102  1.35705  0.61524  0.25745  0.09913  0.03502  0.01133  0.00338  0.00105  0.00071  0.00147  0.00373  0.00874  0.01851  0.03545  0.06156  0.09730  0.14061  0.18684  0.23003  0.26512  0.29062  0.31054  0.33502  0.37856  0.45551  0.57350  0.72734  0.89738  1.05478  1.17261  1.23772  1.25725  1.25621  1.26662  1.31259  1.39791  1.50314  1.59619  1.65249  1.67285  1.68579  1.73131  1.83759  2.00997  2.24385  2.55699  3.02357  3.79223  5.08141  7.15862 10.31550 14.84270 20.99550 28.93190 38.61660 49.70720 61.47170 72.79430 82.31430 88.68430 90.88120 88.46420 81.69310 71.47190 59.14510 46.20810 34.01120
 -160.000 -160.000 37.66710 24.65430 15.07790  8.59020  4.54638  2.22932  1.01019  0.42193  0.16202  0.05706  0.01840  0.00548  0.00174  0.00131  0.00287  0.00732  0.01724  0.03674  0.07087  0.12416  0.19830  0.29014  0.39115  0.48947  0.57417  0.64053  0.69465  0.75542  0.85162  1.01279  1.25528  1.56920  1.91452  2.23168  2.46375  2.57931  2.58385  2.51400  2.41857  2.33626  2.28063  2.23922  2.18754  2.11142  2.02451  1.96898  1.99775  2.15070  2.44467  2.89035  3.53402  4.50650  6.05716  8.55777 12.47480 18.31740 26.56490 37.56850 51.42210 67.81260 85.89620 104.26600 121.07500 134.32700 142.27200 143.78100 138.58600 127.30600 111.30200 92.41840 72.67580 53.94650
 -155.000 -155.000 56.09620 36.90300 22.65920 12.94300  6.85769  3.36182  1.52128  0.63403  0.24284  0.08529  0.02744  0.00818  0.00266  0.00220  0.00503  0.01295  0.03070  0.06590  0.12826  0.22711  0.36734  0.54541  0.74770  0.95313  1.14006  1.29622  1.42828  1.56727  1.76464  2.07559  2.53220  3.11774  3.75870  4.34435  4.76798  4.96826  4.94813  4.76275  4.48687  4.18142  3.87585  3.57147  3.26079  2.95103  2.67825  2.50319  2.49155  2.69250  3.13480  3.85328  4.94492  6.63780  9.34653 13.68860 20.44630 30.46840 44.51010 63.01600 85.87190 112.18600 140.19400 167.38200 190.85000 207.85400 216.36700 215.45500 205.35900 187.32300 163.30900 135.71100 107.09500 79.89910
 -150.000 -150.000 77.47380 51.07760 31.41110 17.95470  9.51178  4.65892  2.10537  0.87604  0.33499  0.11749  0.03777  0.01128  0.00377  0.00338  0.00797  0.02072  0.04951  0.10726  0.21108  0.37866  0.62185  0.93946  1.31304  1.70886  2.08789  2.42221  2.71355  3.00597  3.38225  3.93626  4.72561  5.72551  6.81366  7.80366  8.51535  8.84386  8.78885  8.43192  7.88346  7.23437  6.53640  5.81315  5.08649  4.39952  3.82282  3.44174  3.33415  3.55536  4.14702  5.18007  6.83064  9.47413 13.76870 20.68980 31.47910 47.47420 69.80710 98.99170 134.48800 174.39300 215.45500 253.49000 284.18500 304.02100 310.99600 304.87000 286.91000 259.35300 224.91500 186.54000 147.27600 110.08400
 -145.000 -145.000 99.03280 65.29120 40.14760 22.94070 12.14670  5.94593  2.68557  1.11717  0.42727  0.14997  0.04828  0.01448  0.00495  0.00473  0.01146  0.03011  0.07268  0.15934  0.31794  0.57955  0.96926  1.49433  2.13477  2.84227  3.55183  4.20674  4.79132  5.35737  6.02432  6.93776  8.19288  9.75816 11.44920 12.98080 14.07690 14.57650 14.47490 13.88550 12.96050 11.82510 10.55910  9.21937  7.87422  6.62191  5.58268  4.87293  4.58093  4.76370  5.47673  6.84042  9.14059 12.95220 19.25750 29.50590 45.54610 69.35720 102.54200 145.63000 197.37600 254.35200 311.15200 361.31500 398.77900 419.33300 421.48300 406.38300 376.98700 336.95600 289.91700 239.30000 188.47100 140.74500
 -140.000 -140.000 117.09900 77.08360 47.34900 27.03900 14.31470  7.01019  3.16978  1.32110  0.50663  0.17847  0.05771  0.01743  0.00609  0.00609  0.01508  0.04008  0.09799  0.21802  0.44250  0.82234  1.40503  2.21667  3.24374  4.42407  5.65691  6.83757  7.91085  8.92062 10.02030 11.41640 13.25460 15.50260 17.90870 20.07580 21.61870 22.31270 22.14640 21.26420 19.85690 18.08160 16.04940 13.86440 11.66420  9.62655  7.93893  6.75492  6.16946  6.23469  7.01902  8.70334 11.70960 16.85650 25.51740 39.70990 62.00860 95.14930 141.25900 200.79700 271.51400 347.94600 421.91400 484.15100 526.62800 544.66200 537.87700 509.60900 465.20300 410.18000 349.19700 286.03700 224.11700 166.79600
 -135.000 -135.000 128.18800 84.17080 51.63280 29.47920 15.62170  7.66705  3.47880  1.45670  0.56191  0.19931  0.06496  0.01980  0.00704  0.00728  0.01835  0.04949  0.12291  0.27846  0.57678  1.09613  1.91832  3.10295  4.65584  6.50517  8.50411 10.47470 12.28900 13.95400 15.64240 17.62320 20.10370 23.06430 26.19500 28.99260 30.96720 31.83260 31.56700 30.33470 28.34980 25.78940 22.79660 19.53790 16.24570 13.20390 10.68500  8.88469  7.89891  7.76613  8.56331 10.53650 14.25870 20.81820 32.01540 50.48340 79.57250 122.80900 182.82500 259.88600 350.48600 446.75400 537.33500 609.87900 654.38900 666.05500 646.23200 601.13900 539.09100 467.79200 392.96200 318.54400 247.66100 183.29700
 -130.000 -130.000 130.22600 85.25260 52.24020 29.85030 15.86110  7.82014  3.57069  1.50697  0.58664  0.21019  0.06925  0.02135  0.00773  0.00821  0.02107  0.05778  0.14621  0.33817  0.71652  1.39502  2.50327  4.15197  6.38276  9.12113 12.16360 15.22870 18.07270 20.62280 23.04190 25.65240 28.73250 32.29590 36.00350 39.27750 41.55060 42.48840 42.05490 40.41330 37.77530 34.31880 30.21530 25.70640 21.14110 16.93080 13.44620 10.92670  9.46366  9.07273  9.83150 12.04660 16.44040 24.36910 38.05260 60.71750 96.44330 149.46800 222.81300 316.41200 425.35700 539.26100 643.57600 722.98300 765.80600 767.52800 731.69900 667.83100 587.46300 500.55200 413.79300 331.04400 254.77400 187.16200
 -125.000 -125.000 123.29400 80.46450 49.28940 28.22990 15.07360  7.48601  3.45007  1.47204  0.57997  0.21044  0.07023  0.02195  0.00812  0.00894  0.02347  0.06553  0.16907  0.39942  0.86561  1.72512  3.16915  5.37770  8.44593 12.30490 16.68430 21.16540 25.33740 28.99270 32.24030 35.43540 38.93320 42.81300 46.75750 50.17270 52.46360 53.27390 52.54840 50.42400 47.07930 42.67250 37.39710 31.57400 25.67740 20.25150 15.76610 12.50250 10.54240  9.87259 10.56250 12.96590 17.93410 27.05720 42.91720 69.23540 110.67100 171.97800 256.37300 363.32300 486.54200 613.35500 726.45900 808.14400 845.61700 835.07500 782.44900 700.48100 603.72400 504.12700 409.10300 322.18000 244.88500 178.26500
 -120.000 -120.000 109.48800 71.24700 43.67340 25.11600 13.50790  6.77484  3.15969  1.36612  0.54576  0.20080  0.06792  0.02156  0.00828  0.00974  0.02625  0.07442  0.19515  0.46930  1.03648  2.10619  3.94460  6.81891 10.89560 16.12050 22.14610 28.38060 34.18580 39.14830 43.26240 46.88350 50.45150 54.15900 57.78770 60.81290 62.67960 63.04230 61.82340 59.10900 55.01900 49.67610 43.28780 36.24630 29.13560 22.61420 17.23440 13.30940 10.90950  9.99245 10.61320 13.15390 18.55740 28.58420 46.07250 75.07250 120.58900 187.62100 279.33600 394.65700 526.12400 659.33000 775.07100 854.19700 883.56300 860.40300 792.86200 696.33800 587.69400 480.27800 381.83000 295.33600 221.25100 159.36400
 -115.000 -115.000 92.04170 59.73480 36.67830 21.21300 11.51280  5.84228  2.76168  1.21118  0.49079  0.18303  0.06272  0.02026  0.00831  0.01094  0.03033  0.08670  0.22939  0.55777  1.24753  2.56993  4.88139  8.55697 13.85630 20.75320 28.81280 37.22450 45.04110 51.54210 56.51730 60.27640 63.36270 66.16280 68.67340 70.55470 71.37370 70.82930 68.81680 65.35100 60.47670 54.27360 46.95410 38.95720 30.93720 23.62030 17.60420 13.21630 10.51530  9.43677 10.02070 12.65770 18.33480 28.89650 47.29720 77.70820 125.20700 194.73900 289.20700 406.99400 539.82600 672.35500 784.58100 857.04100 877.04000 843.02800 764.82700 659.52800 545.24600 435.89400 339.09700 257.17700 189.57500 134.94200
 -110.000 -110.000 74.18460 48.01170 29.54000 17.19240  9.42178  4.83932  2.31826  1.03056  0.42302  0.15963  0.05533  0.01828  0.00840  0.01293  0.03668  0.10467  0.27703  0.67616  1.52245  3.16420  6.07292 10.76610 17.63480 26.70520 37.44140 48.73920 59.20400 67.63650 73.47510 76.92280 78.67860 79.47110 79.70030 79.37430 78.27940 76.18780 72.95360 68.49770 62.77820 55.82710 47.84670 39.28440 30.80300 23.12940 16.85370 12.29240  9.49252  8.37897  8.98264 11.68680 17.47240 28.17250 46.70620 77.15150 124.39800 193.08400 285.70500 400.20200 527.95600 653.54000 757.27000 820.45600 831.49900 790.01700 706.78700 599.42800 486.12200 380.49900 289.66600 215.27400 155.98600 109.61900
 -105.000 -105.000 58.28320 37.57170 23.13550 13.53190  7.47652  3.87952  1.87916  0.84456  0.35021  0.13336  0.04669  0.01596  0.00877  0.01612  0.04629  0.13076  0.34401  0.83913  1.89686  3.97204  7.70035 13.81070 22.90070 35.09660 49.73260 65.26510 79.59080 90.72190 97.49850 99.93760 99.02100 96.09740 92.28610 88.18990 83.93960 79.39790 74.34100 68.55370 61.88200 54.29360 45.95250 37.26270 28.82260 21.28390 15.17140 10.76140  8.08819  7.07886  7.76448 10.51020 16.24700 26.70870 44.64130 73.84710 118.82600 183.74700 270.65600 377.23700 495.01300 609.24100 701.48300 754.60500 758.47600 713.65800 631.08000 527.79800 421.04400 323.47000 241.41300 175.96100 125.32500 86.89110
 -100.000 -100.000 45.51670 29.13870 17.88910 10.47000  5.80541  3.02912  1.47686  0.66822  0.27883  0.10681  0.03777  0.01368  0.00970  0.02102  0.06040  0.16821  0.43909  1.07028  2.43200  5.14174 10.09300 18.35620 30.87230 47.94660 68.71600 90.91890 111.27400 126.47000 134.35600 134.67400 128.95000 119.63900 109.10000 98.90480 89.69760 81.43300 73.72820 66.14490 58.35110 50.20010 41.76730 33.34890 25.40660 18.44730 12.87890  8.91187  6.56415  5.77521  6.58520  9.33530 14.87400 24.76980 41.49480 68.45360 109.64200 168.70100 247.28400 343.05000 448.08100 548.88800 628.84800 672.79000 672.09900 627.89200 550.55500 455.77400 359.14800 271.96700 199.72600 143.14900 100.32600 68.59340
  -95.000  -95.000 36.02340 22.78210 13.84950  8.04831  4.44323  2.31383  1.12796  0.51087  0.21354  0.08203  0.02938  0.01178  0.01149  0.02824  0.08067  0.22176  0.57569  1.40653  3.22336  6.90138 13.74840 25.38760 43.31790 68.13030 98.62680 131.35700 161.10800 182.43200 191.62400 188.08400 174.33200 154.69800 133.55000 113.96600 97.31950 83.63190 72.21980 62.26280 53.12150 44.43560 36.10960 28.26060 21.14950 15.08840 10.33310  7.01012  5.11781  4.61240  5.54792  8.23826 13.43100 22.49220 37.56830 61.61380 98.09440 150.15600 219.18500 303.03800 394.66000 482.13300 550.86400 587.66100 585.19400 544.70800 475.52600 391.51700 306.37300 229.95800 167.03900 118.19500 81.67720 55.04110
