VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  4.97918  3.56490  2.38749  1.50676  0.90317  0.51726  0.28347  0.14802  0.07300  0.03362  0.01430  0.00557  0.00197  0.00063  0.00018  0.00005  0.00001  0.00000  0.00000  0.00001  0.00002  0.00005  0.00012  0.00026  0.00051  0.00095  0.00172  0.00312  0.00567  0.01021  0.01771  0.02885  0.04333  0.05935  0.07373  0.08286  0.08425  0.07766  0.06527  0.05062  0.03717  0.02723  0.02161  0.01986  0.02073  0.02258  0.02382  0.02340  0.02108  0.01751  0.01399  0.01217  0.01396  0.02180  0.03917  0.07129  0.12653  0.21877  0.37091  0.61857  1.01099  1.60529  2.45064  3.56276  4.89493  6.31844  7.62769  8.58034  8.96728  8.68754  7.79190  6.46921
 -175.000 -175.000  7.78249  5.59343  3.76592  2.39120  1.44193  0.82996  0.45639  0.23873  0.11776  0.05420  0.02304  0.00897  0.00317  0.00102  0.00029  0.00008  0.00002  0.00001  0.00001  0.00003  0.00007  0.00018  0.00041  0.00085  0.00163  0.00293  0.00505  0.00860  0.01469  0.02508  0.04192  0.06671  0.09885  0.13441  0.16634  0.18670  0.18995  0.17561  0.14846  0.11630  0.08672  0.06481  0.05239  0.04857  0.05062  0.05488  0.05775  0.05674  0.05129  0.04289  0.03452  0.03001  0.03373  0.05100  0.08887  0.15715  0.26998  0.44896  0.72816  1.15970  1.81583  2.78065  4.12611  5.87219  7.94163 10.13020 12.11760 13.53360 14.06690 13.57710 12.15400 10.09110
 -170.000 -170.000 11.35770  8.17173  5.51054  3.50437  2.11510  1.21719  0.66838  0.34878  0.17156  0.07875  0.03339  0.01297  0.00458  0.00147  0.00042  0.00011  0.00003  0.00001  0.00003  0.00008  0.00021  0.00054  0.00122  0.00251  0.00473  0.00828  0.01373  0.02212  0.03549  0.05718  0.09134  0.14102  0.20514  0.27601  0.33974  0.38051  0.38735  0.35930  0.30582  0.24232  0.18377  0.14020  0.11532  0.10754  0.11162  0.12029  0.12619  0.12413  0.11282  0.09523  0.07758  0.06784  0.07512  0.11013  0.18631  0.32090  0.53638  0.86356  1.34792  2.05746  3.08687  4.54792  6.53726  9.08001 12.06360 15.19320 18.00800 19.97770 20.66280 19.87380 17.75170 14.72450
 -165.000 -165.000 15.37500 11.04770  7.44019  4.72301  2.84279  1.62953  0.89038  0.46210  0.22610  0.10330  0.04365  0.01692  0.00598  0.00192  0.00056  0.00015  0.00004  0.00003  0.00007  0.00021  0.00058  0.00145  0.00327  0.00669  0.01247  0.02140  0.03439  0.05297  0.08025  0.12175  0.18468  0.27461  0.38991  0.51716  0.63162  0.70508  0.71787  0.66828  0.57319  0.45997  0.35519  0.27663  0.23109  0.21616  0.22286  0.23836  0.24926  0.24576  0.22510  0.19254  0.15960  0.14138  0.15511  0.22073  0.36220  0.60826  0.99271  1.55641  2.35365  3.46228  4.99080  7.06978  9.81367 13.24890 17.22530 21.35360 25.02360 27.53360 28.30680 27.10410 24.12960 19.96680
 -160.000 -160.000 19.27440 13.80410  9.26424  5.85639  3.50628  1.99663  1.08271  0.55752  0.27084  0.12305  0.05182  0.02008  0.00711  0.00230  0.00068  0.00018  0.00006  0.00006  0.00017  0.00052  0.00143  0.00354  0.00794  0.01612  0.02976  0.05035  0.07907  0.11756  0.16964  0.24316  0.34926  0.49718  0.68499  0.89165  1.07749  1.19687  1.21793  1.13787  0.98398  0.80034  0.62953  0.50004  0.42313  0.39568  0.40418  0.42842  0.44658  0.44198  0.40919  0.35626  0.30228  0.27305  0.29852  0.41296  0.65634  1.07412  1.71515  2.63067  3.87873  5.53509  7.70371 10.51160 14.06990 18.39200 23.28760 28.28270 32.63710 35.50200 36.18620 34.42080 30.48480 25.11990
 -155.000 -155.000 22.42990 15.98570 10.67520  6.71017  3.98993  2.25338  1.21073  0.61776  0.29780  0.13468  0.05672  0.02211  0.00795  0.00263  0.00081  0.00023  0.00009  0.00013  0.00039  0.00117  0.00318  0.00782  0.01742  0.03514  0.06439  0.10776  0.16642  0.24095  0.33453  0.45641  0.62198  0.84524  1.12471  1.43067  1.70525  1.88113  1.91113  1.79114  1.56153  1.28714  1.03029  0.83263  0.71110  0.66242  0.66858  0.70135  0.72887  0.72542  0.68118  0.60656  0.52980  0.49100  0.53782  0.72490  1.11465  1.77544  2.77586  4.17847  6.03924  8.41604 11.38110 15.02140 19.40560 24.50470 30.08030 35.59640 40.23440 43.06620 43.35250 40.83870 35.89080 29.38910
 -150.000 -150.000 24.36770 17.26220 11.46170  7.16048  4.22726  2.36749  1.26069  0.63818  0.30633  0.13886  0.05922  0.02369  0.00889  0.00313  0.00104  0.00034  0.00016  0.00027  0.00081  0.00239  0.00643  0.01571  0.03473  0.06959  0.12661  0.21008  0.32041  0.45512  0.61390  0.80521  1.04798  1.36190  1.74721  2.16562  2.53929  2.77638  2.81222  2.64127  2.31897  1.93396  1.57090  1.28616  1.10322  1.01956  1.01389  1.05103  1.08919  1.09236  1.04405  0.95520  0.86304  0.82430  0.90896  1.19791  1.78243  2.76036  4.22588  6.25584  8.90020 12.18300 16.11260 20.68790 25.88000 31.57110 37.45950 42.97800 47.30830 49.55160 49.02490 45.55510 39.60580 32.15310
 -145.000 -145.000 24.91800 17.53440 11.57720  7.19399  4.22298  2.35110  1.24595  0.63033  0.30507  0.14147  0.06293  0.02686  0.01098  0.00428  0.00159  0.00058  0.00031  0.00054  0.00157  0.00453  0.01200  0.02895  0.06338  0.12594  0.22744  0.37446  0.56565  0.79255  1.04747  1.33471  1.67532  2.09535  2.59825  3.13786  3.61550  3.91279  3.94596  3.70797  3.27110  2.75050  2.25565  1.85907  1.59150  1.45206  1.41806  1.45011  1.49861  1.51734  1.48082  1.39706  1.30990  1.29282  1.44087  1.86555  2.69214  4.05379  6.07704  8.85896 12.44380 16.80950 21.86830 27.47850 33.44860 39.51590 45.29310 50.21690 53.56400 54.59510 52.80820 48.18810 41.30120 33.16070
 -140.000 -140.000 24.22380 16.92960 11.12620  6.89232  4.03882  2.25009  1.19994  0.61785  0.31005  0.15276  0.07400  0.03501  0.01596  0.00689  0.00279  0.00110  0.00062  0.00103  0.00288  0.00809  0.02096  0.04962  0.10709  0.21042  0.37651  0.61487  0.92114  1.27774  1.66548  2.08113  2.54654  3.09469  3.73328  4.40809  4.99741  5.35321  5.37005  5.03916  4.45216  3.75521  3.08730  2.54035  2.15361  1.92832  1.84183  1.85342  1.90907  1.95377  1.95132  1.90258  1.85366  1.89240  2.13872  2.73602  3.84587  5.64078  8.28627 11.90800 16.54950 22.13510 28.45460 35.17610 41.88350 48.11400 53.37540 57.14410 58.88500 58.14480 54.71910 48.81560 41.09910 32.55520
 -135.000 -135.000 22.62370 15.70540 10.29060  6.37808  3.75647  2.11970  1.16091  0.62740  0.33949  0.18460  0.09968  0.05224  0.02593  0.01196  0.00508  0.00209  0.00120  0.00193  0.00515  0.01391  0.03493  0.08061  0.17046  0.32960  0.58242  0.94168  1.39877  1.92429  2.48448  3.06660  3.69314  4.40490  5.21375  6.05453  6.77679  7.19591  7.17979  6.71705  5.92301  4.98310  4.07517  3.31755  2.76106  2.40903  2.23836  2.20826  2.26300  2.34100  2.39484  2.41491  2.44471  2.58181  2.96745  3.77434  5.19889  7.45392 10.74880 15.24600 20.99490 27.86470 35.50310 43.35220 50.72500 56.92170 61.33760 63.52460 63.21250 60.32870 55.04600 47.83120 39.42930 30.74100
