VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 13.14800  8.89214  5.49017  3.10123  1.61085  0.77658  0.35266  0.15387  0.06581  0.02792  0.01171  0.00478  0.00192  0.00088  0.00072  0.00109  0.00190  0.00309  0.00457  0.00608  0.00730  0.00796  0.00794  0.00744  0.00698  0.00745  0.01012  0.01661  0.02852  0.04666  0.07004  0.09527  0.11704  0.12988  0.13050  0.11924  0.09978  0.07733  0.05654  0.04022  0.02934  0.02372  0.02284  0.02629  0.03392  0.04549  0.06030  0.07704  0.09484  0.11608  0.15111  0.22357  0.37336  0.65345  1.11706  1.79689  2.68483  3.72704  4.84645  5.99099  7.18700  8.56543 10.33310 12.68200 15.66010 19.05310 22.34520 24.81220 25.74850 24.74620 21.88920 17.74490
 -175.000 -175.000 20.55350 13.89710  8.60566  4.89574  2.57557  1.26721  0.59286  0.26901  0.12034  0.05332  0.02316  0.00972  0.00401  0.00197  0.00182  0.00294  0.00518  0.00849  0.01258  0.01681  0.02032  0.02232  0.02247  0.02119  0.01974  0.02025  0.02573  0.03990  0.06638  0.10705  0.15974  0.21696  0.26692  0.29748  0.30120  0.27855  0.23730  0.18862  0.14259  0.10551  0.07985  0.06567  0.06226  0.06913  0.08616  0.11289  0.14747  0.18605  0.22418  0.26169  0.31085  0.40557  0.60685  0.99912  1.67271  2.69408  4.07466  5.75867  7.64901  9.67272 11.85910 14.38130 17.51610 21.50640 26.36560 31.70610 36.69770 40.23170 41.27710 39.29410 34.49910 27.82040
 -170.000 -170.000 29.92940 20.23340 12.57190  7.20903  3.84577  1.93349  0.93230  0.43910  0.20433  0.09377  0.04184  0.01791  0.00758  0.00402  0.00420  0.00712  0.01270  0.02090  0.03109  0.04178  0.05086  0.05635  0.05733  0.05462  0.05091  0.05084  0.06083  0.08864  0.14183  0.22426  0.33183  0.44969  0.55438  0.62154  0.63586  0.59741  0.52052  0.42640  0.33456  0.25776  0.20176  0.16794  0.15616  0.16654  0.19952  0.25452  0.32754  0.40936  0.48755  0.55447  0.62131  0.73335  0.97942  1.48766  2.40257  3.84484  5.86684  8.42958 11.42760 14.76890 18.47800 22.75490 27.92110 34.23090 41.60100 49.38630 56.35100 60.93230 61.75340 58.18620 50.67690 40.63590
 -165.000 -165.000 40.71690 27.51780 17.15760  9.92030  5.36862  2.75804  1.36872  0.66650  0.32050  0.15113  0.06877  0.02988  0.01298  0.00749  0.00876  0.01550  0.02791  0.04614  0.06899  0.09331  0.11452  0.12823  0.13220  0.12768  0.11995  0.11804  0.13442  0.18394  0.28086  0.43274  0.63268  0.85444  1.05603  1.19327  1.23725  1.18568  1.06127  0.89943  0.73379  0.58772  0.47368  0.39720  0.36129  0.36886  0.42273  0.52287  0.66175  0.82050  0.97137  1.09100  1.18363  1.30614  1.58311  2.20165  3.38120  5.32129  8.14241 11.84870 16.34640 21.53130 27.40960 34.17020 42.11790 51.43510 61.84690 72.36070 81.27490 86.56360 86.55780 80.64340 69.61680 55.47460
 -160.000 -160.000 51.92400 35.06340 21.93110 12.78180  7.01363  3.67696  1.87245  0.93779  0.46274  0.22261  0.10268  0.04512  0.02014  0.01275  0.01656  0.03030  0.05502  0.09144  0.13753  0.18742  0.23229  0.26342  0.27583  0.27114  0.25838  0.25357  0.27875  0.35985  0.52167  0.77798  1.11893  1.50309  1.86281  2.12529  2.24011  2.19760  2.02748  1.78094  1.50944  1.25188  1.03323  0.86939  0.77258  0.75400  0.82304  0.98234  1.21956  1.50026  1.77104  1.98068  2.11751  2.24911  2.54521  3.27007  4.74173  7.26523 11.05770 16.19590 22.62290 30.23090 38.98640 49.00450 60.46850 73.35990 87.08960 100.24000 110.64200 115.89100 114.17100 105.04500 89.78650 71.03790
 -155.000 -155.000 62.29830 41.99820 26.32920 15.45330  8.58549  4.58202  2.38452  1.22110  0.61407  0.29943  0.13930  0.06172  0.02839  0.01984  0.02827  0.05318  0.09737  0.16276  0.24651  0.33897  0.42506  0.48923  0.52184  0.52404  0.50960  0.50419  0.54334  0.66872  0.92016  1.32111  1.86023  2.47930  3.07992  3.55237  3.81466  3.83959  3.65558  3.32492  2.91682  2.49069  2.09300  1.76150  1.52956  1.42745  1.47940  1.69530  2.05742  2.50884  2.95774  3.30982  3.52585  3.68200  4.00314  4.85064  6.66564  9.88371 14.84370 21.72100 30.51810 41.12970 53.45070 67.43430 83.00080 99.76630 116.69600 131.90700 142.84100 146.90300 142.36400 129.17000 109.17800 85.66990
 -150.000 -150.000 70.60260 47.46040 29.78480 17.57790  9.86707  5.34354  2.82856  1.47226  0.74979  0.36847  0.17212  0.07670  0.03645  0.02818  0.04355  0.08384  0.15473  0.26042  0.39773  0.55283  0.70290  0.82329  0.89729  0.92402  0.92201  0.92841  0.99562  1.18534  1.55703  2.14821  2.94994  3.88965  4.83743  5.64083  6.17410  6.37534  6.25318  5.86638  5.29573  4.62517  3.93563  3.30501  2.80762  2.51060  2.46665  2.70070  3.19032  3.84924  4.53397  5.09118  5.44140  5.66599  6.05351  7.08026  9.33164 13.39310 19.74190 28.66820 40.24680 54.37180 70.82050 89.27790 109.23900 129.78400 149.32100 165.52000 175.60700 177.06800 168.55700 150.60200 125.70900 97.70630
 -145.000 -145.000 75.89520 50.80600 31.87110 18.87880 10.68070  5.84889  3.13445  1.64906  0.84569  0.41673  0.19465  0.08703  0.04280  0.03655  0.06052  0.11878  0.22103  0.37500  0.57854  0.81459  1.05282  1.25863  1.40633  1.49089  1.53408  1.58456  1.71323  2.00451  2.54105  3.37928  4.51898  5.88038  7.30657  8.59955  9.57591 10.11440 10.17440  9.78563  9.02747  8.01126  6.86948  5.74604  4.78420  4.11309  3.83241  3.99243  4.56799  5.43806  6.39677  7.21907  7.77482  8.14627  8.68933 10.00500 12.83410 17.92040 25.88470 37.13430 51.81560 69.80220 90.69640 113.80100 138.03200 161.78800 182.87300 198.60700 206.24300 203.67500 190.22700 167.16800 137.63000 105.82900
 -140.000 -140.000 77.73020 51.75740 32.40940 19.23490 10.94170  6.03923  3.26287  1.72676  0.88736  0.43647  0.20305  0.09082  0.04619  0.04326  0.07582  0.15132  0.28414  0.48677  0.76019  1.08707  1.43250  1.75384  2.01648  2.20940  2.35501  2.51111  2.76573  3.22579  3.99841  5.16285  6.73528  8.63878 10.69770 12.66770 14.29260 15.36190 15.74840 15.42020 14.43750 12.94170 11.13780  9.26794  7.57882  6.29108  5.57177  5.50667  6.06982  7.10249  8.33195  9.45713 10.29320 10.91930 11.75430 13.51920 17.10440 23.40390 33.17240 46.92360 64.85810 86.79590 112.09800 139.58400 167.47500 193.41800 214.64300 228.29800 231.95100 224.21700 205.31100 177.30800 143.85200 109.32600
 -135.000 -135.000 76.22300 50.44500 31.49930 18.70550 10.67840  5.92488  3.21641  1.70568  0.87486  0.42788  0.19752  0.08804  0.04609  0.04672  0.08566  0.17357  0.32927  0.57080  0.90477  1.31817  1.77743  2.23738  2.65786  3.02219  3.35089  3.70668  4.18979  4.92516  6.04189  7.64343  9.76872 12.35360 15.21200 18.05240 20.53020 22.31590 23.15830 22.93080 21.65710 19.51290 16.79990 13.89380 11.18120  9.00257  7.60857  7.12564  7.52641  8.61459 10.05520 11.47930 12.65380 13.65300 14.94590 17.35020 21.87820 29.54640 41.21750 57.48650 78.57840 104.21700 133.46500 164.59100 195.07900 221.84700 241.67800 251.77500 250.30300 236.82700 212.56700 180.34100 144.12100 108.20000
 -130.000 -130.000 71.97540 47.33560 29.46230 17.49170 10.00780  5.57133  3.03150  1.60646  0.82002  0.39761  0.18153  0.08026  0.04282  0.04603  0.08736  0.17957  0.34485  0.60659  0.97923  1.45923  2.02220  2.62929  3.24232  3.84304  4.44967  5.12489  5.97280  7.12682  8.73029 10.90780 13.72380 17.13340 20.94500 24.81790 28.30580 30.93600 32.30390 32.16340 30.49090 27.50490 23.62910 19.40690 15.39660 12.07850  9.79169  8.69830  8.76391  9.75707 11.29490 12.96230 14.49640 15.96940 17.88130 21.10880 26.73770 35.85950 49.40210 68.00260 91.87110 120.59500 152.90200 186.51000 218.21400 244.32600 261.38300 266.87800 259.77300 240.69700 211.83600 176.59500 139.03200 103.11900
 -125.000 -125.000 65.88780 43.07840 26.72870 15.85920  9.08540  5.06691  2.75815  1.45762  0.73906  0.35459  0.15972  0.06970  0.03729  0.04145  0.08060  0.16813  0.32778  0.58729  0.96992  1.48594  2.12811  2.87464  3.70054  4.59462  5.57575  6.70198  8.06967  9.80535 12.05250 14.94830 18.58070 22.92650 27.79060 32.78090 37.34090 40.84100 42.70930 42.57020 40.35300 36.33250 31.07880 25.33120 19.83930 15.22700 11.91100 10.07150  9.65442 10.39650 11.88800 13.69950 15.56570 17.56560 20.21130 24.39480 31.21750 41.78410 57.03010 77.58140 103.58600 134.46400 168.61900 203.28500 234.71800 258.83600 272.15500 272.63900 260.13600 236.28900 204.09400 167.31200 129.86100 95.21840
 -120.000 -120.000 58.92100 38.32900 23.71630 14.05950  8.05621  4.49332  2.44204  1.28472  0.64616  0.30646  0.13603  0.05831  0.03069  0.03422  0.06761  0.14341  0.28513  0.52333  0.88998  1.41186  2.10561  2.97739  4.02891  5.26814  6.72023  8.43347 10.48030 12.95750 15.98690 19.70390 24.21510 29.52050 35.42550 41.48870 47.04380 51.30500 53.53620 53.23960 50.31100 45.09990 38.34330 30.99060 23.98360 18.07450 13.72990 11.11860 10.14950 10.52950 11.84380 13.68220 15.80770 18.31940 21.73020 26.91100 34.92470 46.82680 63.49380 85.47600 112.80700 144.72600 179.36300 213.61400 243.42000 264.56300 273.74700 269.50100 252.49400 225.20200 191.18500 154.32600 118.23100 85.80090
 -115.000 -115.000 51.88340 33.61150 20.74790 12.28370  7.03065  3.91324  2.11829  1.10709  0.55163  0.25850  0.11304  0.04745  0.02410  0.02619  0.05224  0.11327  0.23149  0.43927  0.77709  1.29025  2.02525  3.02716  4.33886  6.00079  8.04894 10.51140 13.41040 16.77750 20.68020 25.23200 30.55500 36.68200 43.43380 50.33510 56.62480 61.37750 63.71290 63.03590 59.23340 52.74990 44.49860 35.63250 27.26300 20.23490 15.02440 11.75510 10.27970 10.27480 11.33750 13.10220 15.38580 18.32310 22.42660 28.52720 37.61380 50.64170 68.36610 91.19520 118.99900 150.83300 184.64300 217.17600 244.31900 261.97600 267.19600 259.05400 238.86400 209.66200 175.29700 139.57900 105.71500 76.03680
