VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 44.45190 31.60300 20.83270 12.75750  7.30854  3.98239  2.13024  1.17375  0.70566  0.49320  0.42940  0.47374  0.60512  0.79434  0.99524  1.15172  1.21508  1.16254  1.00613  0.78647  0.55466  0.35270  0.20237  0.10536  0.05098  0.02493  0.01498  0.01299  0.01437  0.01713  0.02087  0.02643  0.03563  0.05141  0.07824  0.12251  0.19203  0.29370  0.42952  0.59323  0.77063  0.94489  1.10315  1.23914  1.34980  1.43061  1.47617  1.48685  1.47470  1.46100  1.46642  1.50306  1.57749  1.70477  1.92421  2.30900  2.97226  4.08163  5.88971  8.76680 13.19560 19.67870 28.53620 39.63940 52.19610 64.72480 75.29650 82.00070 83.48180 79.35160 70.32130 58.00390
 -175.000 -175.000 62.81830 44.35710 29.09090 17.75510 10.15750  5.54122  2.97812  1.65559  1.00541  0.70223  0.59326  0.61599  0.73548  0.91068  1.08671  1.20537  1.22391  1.13050  0.94727  0.71899  0.49395  0.30729  0.17392  0.09141  0.04803  0.03028  0.02717  0.03129  0.03836  0.04644  0.05550  0.06699  0.08326  0.10685  0.14023  0.18616  0.24836  0.33141  0.43891  0.57098  0.72299  0.88736  1.05687  1.22611  1.38951  1.53874  1.66426  1.76178  1.83835  1.91173  2.00318  2.13093  2.31322  2.58166  2.99829  3.67006  4.76527  6.54492  9.41276 13.95740 20.92460 31.05110 44.73900 61.65350 80.43090 98.70330 113.53900 122.19600 122.92000 115.47500 101.21300 82.66410
 -170.000 -170.000 82.35500 57.69040 37.59500 22.83700 13.02590  7.10043  3.82610  2.14415  1.32055  0.93474  0.78611  0.78868  0.89326  1.04785  1.19069  1.26359  1.23137  1.09383  0.88293  0.64683  0.43019  0.26076  0.14655  0.08131  0.05268  0.04823  0.05812  0.07526  0.09497  0.11492  0.13547  0.15932  0.19017  0.23066  0.28105  0.33978  0.40586  0.48156  0.57293  0.68748  0.83051  1.00304  1.20225  1.42264  1.65566  1.88859  2.10624  2.29724  2.46214  2.61713  2.79081  3.01828  3.34113  3.81771  4.54090  5.65992  7.41092 10.16870 14.51730 21.29890 31.55290 46.25720 65.85270 89.68580 115.64100 140.25100 159.41000 169.48100 168.39600 156.28300 135.39600 109.40300
 -165.000 -165.000 100.43100 69.71620 45.08760 27.22270 15.45820  8.40610  4.53637  2.56619  1.61457  1.17597  1.00538  0.99409  1.08023  1.20457  1.30343  1.32290  1.23721  1.05697  0.82161  0.58044  0.37362  0.22198  0.12790  0.08271  0.07437  0.09187  0.12607  0.16907  0.21436  0.25825  0.30135  0.34844  0.40570  0.47653  0.55873  0.64546  0.73027  0.81331  0.90416  1.01866  1.17181  1.37157  1.61751  1.90305  2.21725  2.54411  2.86274  3.15309  3.40763  3.64212  3.89822  4.23769  4.73680  5.49125  6.63467  8.36954 11.01390 15.07210 21.32200 30.86190 45.00690 64.92640 91.01420 122.18000 155.42600 186.08800 208.85400 219.27200 215.13900 197.18200 168.76400 134.81100
 -160.000 -160.000 114.27900 78.52920 50.34520 30.17800 17.04100  9.23785  4.99680  2.86848  1.86690  1.42414  1.25926  1.24343  1.30514  1.38387  1.42186  1.37616  1.23336  1.01362  0.76008  0.51968  0.32646  0.19499  0.12401  0.10458  0.12659  0.18093  0.25839  0.34846  0.44064  0.52819  0.61171  0.69895  0.79990  0.91934  1.05198  1.18441  1.30387  1.40867  1.51297  1.64166  1.81845  2.05585  2.35357  2.70388  3.09621  3.51548  3.93824  4.33618  4.69190  5.01907  5.37325  5.84688  6.55794  7.64894  9.30670 11.80260 15.55280 21.20080 29.70930 42.39160 60.75800 86.05450 118.50000 156.46200 196.02800 231.40200 256.23500 265.50400 257.12900 232.63900 196.59900 155.14600
 -155.000 -155.000 121.79500 82.77040 52.55280 31.24980 17.54210  9.48767  5.16457  3.04058  2.08299  1.69266  1.56488  1.55462  1.58423  1.59840  1.55392  1.42659  1.21936  0.96127  0.69552  0.46281  0.28912  0.18323  0.14230  0.15954  0.22858  0.34270  0.49155  0.65957  0.82946  0.98948  1.13978  1.29206  1.46126  1.65370  1.85990  2.05826  2.22868  2.36776  2.49483  2.64349  2.84428  3.11151  3.44352  3.83333  4.27652  4.76695  5.28562  5.79919  6.27879  6.73068  7.21767  7.85795  8.81083 10.27260 12.49850 15.84980 20.85980 28.31390 39.32620 55.34070 77.92360 108.22400 146.12700 189.39100 233.26400 271.06100 295.77200 302.19200 288.66900 257.65900 214.85800 167.37800
 -150.000 -150.000 122.14400 82.02790 51.54990 30.40620 16.98420  9.19500  5.07833  3.11360  2.28471  1.99523  1.93085  1.93501  1.92681  1.86080  1.71483  1.48974  1.20860  0.90975  0.63442  0.41456  0.26685  0.19478  0.19570  0.26713  0.40782  0.61350  0.87101  1.15703  1.44467  1.71554  1.96927  2.22242  2.49549  2.79562  3.10722  3.39825  3.63963  3.82530  3.97860  4.13973  4.34338  4.60381  4.91908  5.28810  5.72158  6.23331  6.81883  7.44576  8.07319  8.69209  9.35906 10.20380 11.41840 13.25620 16.05710 20.29740 26.64730 36.02930 49.65740 68.99010 95.47080 129.94600 171.80600 218.17000 263.62800 300.99900 323.11900 325.08800 305.97600 269.18900 221.31700 170.05700
 -145.000 -145.000 115.92800 76.89970 47.83710 28.01900 15.61990  8.51990  4.83232  3.13507  2.48555  2.32149  2.33322  2.35781  2.31262  2.16300  1.90943  1.57985  1.21936  0.87675  0.59168  0.38760  0.27246  0.24568  0.30640  0.45775  0.70411  1.04266  1.45530  1.90825  2.36316  2.79457  3.20242  3.60901  4.04005  4.50155  4.96852  5.39475  5.73828  5.98609  6.16078  6.30481  6.45485  6.62723  6.82645  7.06745  7.38781  7.83297  8.42360  9.13585  9.91823 10.73880 11.63150 12.71740 14.20620 16.40620 19.75670 24.87170 32.57520 43.91460 60.14080 82.59920 112.42600 149.96300 193.97100 240.95300 285.08600 319.15200 336.39600 332.70200 308.09500 266.84600 216.09000 163.63400
 -140.000 -140.000 104.87400 68.71890 42.35940 24.70600 13.82420  7.67277  4.53010  3.13823  2.67039  2.62342  2.70556  2.75283  2.68080  2.46229  2.11593  1.69318  1.25985  0.87618  0.58300  0.39854  0.32520  0.36084  0.50813  0.77661  1.17564  1.70188  2.32948  3.01210  3.69946  4.36037  4.99684  5.63742  6.31148  7.02023  7.72398  8.35528  8.85032  9.17832  9.35085  9.40664  9.38635  9.31931  9.23330  9.17672  9.22770  9.47270  9.96482 10.69520 11.60510 12.63560 13.78380 15.14160 16.91840 19.47080 23.34350 29.30240 38.33090 51.58060 70.27410 95.52510 128.00300 167.39300 211.74200 257.01100 297.24100 325.62000 336.30300 326.33900 296.83400 252.74900 201.36900 150.15100
 -135.000 -135.000 91.23920 59.10600 36.19020 21.12430 11.96710  6.84086  4.24685  3.12817  2.79790  2.82878  2.95813  3.02621  2.94573  2.69042  2.28771  1.80405  1.32114  0.91073  0.61869  0.46375  0.44830  0.57304  0.84700  1.28717  1.90710  2.70043  3.63050  4.63646  5.65638  6.65524  7.63862  8.64056  9.69041 10.77850 11.84200 12.77980 13.48910 13.90200 14.00320 13.82300 13.41760 12.85540 12.21930 11.61770 11.18410 11.04980 11.29970 11.94090 12.91050 14.12260 15.53060 17.18250 19.27180 22.19180 26.58820 33.37560 43.68540 58.74180 79.67640 107.27800 141.64400 181.71500 224.82800 266.52600 300.98200 322.15400 325.45400 309.30800 275.89700 230.63600 180.59400 132.51100
 -130.000 -130.000 77.23470 49.56100 30.26560 17.80840 10.32450  6.14653  4.01856  3.09213  2.82602  2.87673  3.01888  3.10180  3.03415  2.78330  2.37436  1.87777  1.38395  0.97463  0.70433  0.59895  0.66829  0.92265  1.38281  2.07673  3.02315  4.21097  5.58912  7.07849  8.60321 10.12330 11.64600 13.20670 14.82740 16.47780 18.05840 19.41550 20.38260 20.82850 20.69390 20.00400 18.85820 17.40970 15.84540 14.36970 13.18510 12.46310 12.30780 12.73240 13.66740 15.00180 16.64610 18.60160 21.03710 24.37080 29.33280 36.96320 48.51030 65.22680 88.09860 117.53000 152.99900 192.71000 233.36400 270.26300 297.94800 311.38700 307.40500 285.82400 249.74500 204.78300 157.50500 113.71400
 -125.000 -125.000 64.65500 41.23380 25.25460 15.10710  9.05413  5.64627  3.85500  3.02189  2.74104  2.75168  2.86974  2.95746  2.91939  2.71130  2.34687  1.89041  1.43322  1.06388  0.84769  0.82406  1.01927  1.46373  2.20082  3.27900  4.72806  6.53183  8.61785 10.87700 13.20670 15.55050 17.90770 20.30510 22.74620 25.16510 27.40710 29.24230 30.41320 30.70310 30.00250 28.35170 25.94170 23.07510 20.10380 17.36720 15.14650 13.63730 12.93550 13.03580 13.84800 15.23470 17.07030 19.31830 22.12700 25.93130 31.52200 40.02660 52.76100 70.95570 95.40590 126.10700 161.93500 200.43300 237.82100 269.35500 290.13400 296.23900 285.88000 260.10100 222.67300 179.15500 135.43300 96.31520
 -120.000 -120.000 54.75700 34.87720 21.55730 13.20250  8.22087  5.35443  3.75911  2.92856  2.56863  2.49162  2.55386  2.63281  2.63064  2.49051  2.21039  1.84178  1.47012  1.18667  1.06797  1.17312  1.55733  2.28932  3.45720  5.15153  7.42663 10.25920 13.53370 17.07450 20.71060 24.33500 27.91800 31.46600 34.95430 38.26850 41.17930 43.35990 44.44730 44.13850 42.29570 39.02160 34.66580 29.75210 24.85510 20.47870 16.97990 14.54980 13.23450 12.97000 13.61720 15.00270 16.97300 19.47310 22.64780 26.95050 33.21050 42.59860 56.44290 75.90120 101.54900 132.98300 168.54400 205.24900 239.02000 265.26100 279.74700 279.64700 264.37300 235.88900 198.32800 156.97100 116.96600 82.20810
 -115.000 -115.000 48.29120 30.89740 19.36020 12.15870  7.83351  5.26600  3.73603  2.83915  2.36012  2.16732  2.15167  2.20647  2.23505  2.17152  1.99944  1.75551  1.51498  1.36802  1.40321  1.70907  2.39177  3.59408  5.49448  8.26928 12.01990 16.69750 22.07620 27.80950 33.54960 39.06040 44.25170 49.11800 53.62890 57.63540 60.83490 62.80470 63.09210 61.34910 57.47370 51.70750 44.63160 37.04570 29.77610 23.49040 18.59630 15.23850 13.36300 12.79650 13.31190 14.68070 16.72760 19.40300 22.87660 27.63390 34.53080 44.74470 59.56840 80.04850 106.53400 138.26600 173.15600 207.85400 238.17100 259.80100 269.21800 264.54200 246.08500 216.37400 179.59800 140.62300 103.90300 72.61880
 -110.000 -110.000 45.56850 29.41070 18.67950 11.95200  7.86144  5.36119  3.78625  2.77889  2.16535  1.84858  1.74457  1.76151  1.80840  1.81705  1.76229  1.66846  1.60000  1.64581  1.91327  2.54273  3.73785  5.78966  9.05984 13.89360 20.46770 28.63690 37.88050 47.42130 56.48220 64.53910 71.41870 77.19250 81.95500 85.63460 87.92700 88.36440 86.46730 81.93070 74.79080 65.51600 54.96880 44.23140 34.34930 26.10350 19.89670 15.77410 13.53020 12.83380 13.32930 14.70960 16.77910 19.51750 23.15180 28.22360 35.61870 46.50340 62.10910 83.35700 110.39100 142.17100 176.30800 209.25200 236.84500 255.12800 261.18600 253.83400 233.92700 204.19900 168.66200 131.72900 97.31890 68.17550
 -105.000 -105.000 46.48370 30.25830 19.36560 12.46670  8.22598  5.59323  3.88997  2.75186  2.00970  1.57838  1.38795  1.35940  1.41159  1.48164  1.54345  1.61503  1.75493  2.05939  2.67744  3.85346  5.98642  9.66535 15.61560 24.50080 36.59500 51.46210 67.85600 83.99780 98.15670 109.23300 117.00400 121.90900 124.55800 125.29900 124.05400 120.44800 114.07900 104.79400 92.86100 79.03000 64.43010 50.34620 37.93030 27.96440 20.75950 16.20220 13.89560 13.31760 13.95470 15.40300 17.44570 20.10970 23.70800 28.86550 36.51590 47.82040 63.95450 85.73330 113.15000 144.98400 178.69000 210.65400 236.83100 253.55100 258.29600 250.23400 230.38000 201.37600 166.94100 131.13100 97.58860 68.93790
 -100.000 -100.000 50.49760 32.99350 21.09060 13.48200  8.78668  5.87612  3.99699  2.73254  1.88634  1.36523  1.10297  1.03069  1.07995  1.19940  1.36998  1.61244  1.99198  2.63654  3.78924  5.90476  9.76498 16.53400 27.62410 44.26500 66.81960 94.13370 123.37400 150.66200 172.35300 186.30700 192.42900 192.21100 187.65500 180.28100 170.73500 158.98400 144.81800 128.28100 109.88000 90.58560 71.66400 54.41560 39.90090 28.73910 21.04240 16.48720 14.46670 14.26220 15.19770 16.76850 18.73660 21.18500 24.52840 29.49730 37.09720 48.51450 64.90540 87.03630 114.83700 147.03100 181.04700 213.30800 239.86600 257.17300 262.78400 255.81600 237.09000 208.95900 174.87200 138.75600 104.30500 74.35890
  -95.000  -95.000 56.62450 36.88840 23.35930 14.68190  9.34992  6.09223  4.03423  2.67400  1.76517  1.19186  0.88361  0.77896  0.82328  0.98062  1.24578  1.65392  2.29917  3.38699  5.34986  9.03714 15.92890 28.21900 48.52150 79.00080 120.02900 168.95600 219.87900 264.99700 297.22100 312.71500 311.96100 298.79100 278.17500 254.15800 228.94700 203.22400 177.00700 150.41200 123.98600 98.67030 75.58050 55.74030 39.86230 28.21690 20.61640 16.49660 15.05370 15.40080 16.72570 18.43800 20.28380 22.39940 25.29950 29.82590 37.07890 48.31100 64.72340 87.12160 115.48700 148.61700 184.02800 218.21200 247.21600 267.34300 275.83600 271.36000 254.25800 226.53200 191.53000 153.36300 116.14900 83.22830
  -90.000  -90.000 63.48900 41.00120 25.57240 15.70810  9.71014  6.12450  3.93179  2.52998  1.61208  1.03198  0.71040  0.59115  0.63287  0.81651  1.15612  1.71503  2.64776  4.30582  7.45293 13.60320 25.38850 46.67410 81.98150 134.87900 205.55600 288.67700 373.10800 444.55800 490.41500 504.39000 488.35800 450.48700 401.06800 348.62500 298.11600 251.33500 208.40900 169.13600 133.61500 102.27700 75.64820 54.11550 37.77750 26.39640 19.41960 16.04710 15.32470 16.25820 17.95380 19.77080 21.44870 23.16490 25.51270 29.43140 36.12430 46.94970 63.22560 85.90050 115.13200 149.91500 187.92800 225.70500 259.10700 283.97700 296.85300 295.62500 280.00800 251.72500 214.29500 172.38000 130.83100 93.69340
  -85.000  -85.000 69.49720 44.31780 27.13460 16.23880  9.70740  5.89841  3.65414  2.27900  1.40845  0.86645  0.56408  0.44908  0.49200  0.69036  1.08125  1.77030  3.00888  5.37726 10.14270 19.80930 38.69840 73.09090 130.21000 215.50400 328.65300 460.13400 591.00900 697.52900 759.28800 766.87000 724.73100 647.87300 554.75400 460.66400 374.59800 299.80200 236.16600 182.50000 137.71700 101.07300 71.99310 49.87020 33.98500 23.50340 17.50270 14.99410 14.94710 16.34230 18.27670 20.10670 21.57890 22.89320 24.68490 27.95730 34.00430 44.31040 60.36850 83.36180 113.73600 150.78000 192.37000 235.00900 274.17000 304.93700 322.85700 324.85800 310.03200 280.02800 238.84300 191.99000 145.25800 103.44200
  -80.000  -80.000 73.11590 45.94240 27.57690 16.06350  9.27100  5.40805  3.21686  1.93636  1.16080  0.69201  0.43411  0.33861  0.38632  0.58984  1.01116  1.80949  3.36547  6.56453 13.33720 27.47470 55.46760 106.65500 191.60700 317.96700 484.47300 675.96500 863.38000 1010.99000 1088.84000 1084.10000 1005.13000 876.16600 726.37100 579.76700 450.39000 343.02700 256.82000 188.78200 135.82500 95.36520 65.27690 43.72090 29.07540 19.92410 15.03690 13.31790 13.74710 15.36530 17.33390 19.05520 20.29730 21.26350 22.58850 25.29260 30.72520 40.48680 56.26670 79.53440 111.09200 150.57700 196.07000 243.95400 289.16100 325.83900 348.42200 352.89000 337.87800 305.21600 259.63600 207.65500 155.99400 110.08100
  -75.000  -75.000 73.20120 45.28820 26.65260 15.12160  8.42855  4.71176  2.67852  1.54691  0.89637  0.51999  0.32041  0.25391  0.31010  0.51441  0.95283  1.84237  3.70933  7.78495 16.74640 35.81810 73.87500 143.56400 258.98200 429.92600 653.76200 908.85400 1154.95000 1343.44000 1434.43000 1412.08000 1289.70000 1102.01000 890.08900 687.40300 513.25300 373.73100 266.68000 186.67600 128.03500 85.92510 56.45820 36.53270 23.70320 16.09170 12.27810 11.15670 11.79880 13.37460 15.16760 16.66510 17.66970 18.37210 19.36830 21.64420 26.55210 35.76410 51.13660 74.41610 106.76500 148.17200 196.89900 249.17300 299.34200 340.63400 366.48500 372.14800 356.07500 320.51000 271.01400 215.02800 159.98200 111.64100
  -70.000  -70.000 69.28240 42.21250 24.38250 13.50020  7.28237  3.90321  2.11422  1.16442  0.64883  0.36772  0.22924  0.19630  0.26627  0.47452  0.92656  1.89070  4.02799  8.89278 19.85550 43.45350 90.70690 177.17200 319.93500 530.41000 804.33800 1113.95000 1408.91000 1629.39000 1727.27000 1684.86000 1520.57000 1278.94000 1011.70000 760.60200 549.29100 384.59000 262.71800 175.63700 115.01300 73.81660 46.56140 29.10990 18.43040 12.38430  9.50476  8.76833  9.39445 10.72220 12.18800 13.38650 14.16260 14.68520 15.48390 17.46420 21.92030 30.52310 45.21910 67.95560 100.18700 142.19900 192.41200 246.92700 299.63600 343.09300 370.08900 375.54200 358.02200 320.30200 268.64500 211.08300 155.32700 107.08800
  -65.000  -65.000 61.69260 37.04650 21.03730 11.39850  5.97170  3.07775  1.58837  0.83099  0.44382  0.24905  0.16715  0.16990  0.26178  0.48465  0.95529  1.97471  4.29630  9.70021 22.03630 48.72550 102.18200 199.75800 360.23900 595.67800 900.26700 1241.89000 1563.66000 1798.97000 1895.32000 1834.82000 1639.98000 1362.06000 1059.65000 779.51600 547.65500 370.85500 243.79800 156.30700 98.00500 60.26200 36.53080 22.08590 13.65380  9.06954  6.95776  6.44365  6.91976  7.90089  8.97900  9.85854 10.42910 10.83440 11.52170 13.28230 17.29350 25.13990 38.74710 60.13530 90.92370 131.59900 180.72200 234.38500 286.31300 328.83000 354.61600 358.71500 340.06600 301.91500 250.87800 195.05000 141.88400 96.62150
  -60.000  -60.000 51.48440 30.50560 17.06370  9.07576  4.63859  2.31052  1.14030  0.56730  0.29204  0.16908  0.13644  0.17673  0.30110  0.55406  1.05261  2.10252  4.48199 10.04050 22.76810 50.30740 105.33700 205.40300 369.21500 608.27600 915.68800 1257.92000 1576.86000 1805.44000 1891.79000 1819.60000 1613.41000 1326.29000 1018.03000 735.80400 505.37300 332.76600 211.63300 130.73000 78.77620 46.53030 27.15700 15.89850  9.60517  6.29940  4.80132  4.41817  4.71091  5.35060  6.06503  6.65610  7.05394  7.37694  7.98559  9.53701 13.04580 19.92980 31.97530 51.12590 79.00750 116.19400 161.38500 210.84400 258.51800 297.05600 319.59800 321.74200 302.93200 266.66500 219.42000 168.75900 121.35400 81.65210
  -55.000  -55.000 40.13930 23.49810 12.97350  6.79526  3.40477  1.65022  0.78509  0.37511  0.19105  0.12454  0.13378  0.21334  0.38057  0.67888  1.21377  2.26475  4.55885  9.83894 21.85920 47.76240 99.29230 192.52500 344.33000 564.60700 846.10800 1157.20000 1444.16000 1645.91000 1716.06000 1641.23000 1445.39000 1178.07000 894.31300 637.11800 429.49600 276.24800 170.78900 102.11900 59.37600 33.79410 19.03050 10.80310  6.38264  4.12844  3.11108  2.82153  2.96427  3.33285  3.75988  4.12361  4.38616  4.64194  5.16811  6.48207  9.40938 15.14210 25.22820 41.39750 65.13430 96.99370 135.82900 178.27400 218.89200 251.16800 269.19000 269.40000 251.73100 219.62400 178.92700 136.15500 96.82350 64.40620
  -50.000  -50.000 29.16550 16.89390  9.22592  4.77495  2.35871  1.12280  0.52271  0.24623  0.13191  0.10752  0.15134  0.26982  0.48573  0.83824  1.41164  2.43320  4.51444  9.14419 19.53130 41.73970 85.64000 164.58200 292.32900 476.54600 710.42700 966.96500 1201.23000 1362.84000 1414.27000 1345.68000 1178.09000 953.25300 716.98300 504.68300 334.96300 211.23600 127.47900 74.09090 41.72920 22.95800 12.50080  6.88882  3.98105  2.53696  1.88398  1.67493  1.72420  1.91153  2.14200  2.34732  2.51143  2.70656  3.13540  4.18330  6.48254 10.97200 18.90050 31.69010 50.57610 76.02120 107.05300 140.84100 172.86000 197.78600 210.93800 209.70700 194.39000 168.06800 135.58800 102.12100 71.85970 47.29600
  -45.000  -45.000 19.73170 11.33070  6.13817  3.15452  1.55049  0.73790  0.34755  0.17144  0.10583  0.10979  0.17933  0.33142  0.59297  0.99676  1.60043  2.56425  4.34732  8.10070 16.31830 33.68270 67.73120 128.51700 226.19900 366.09600 542.46700 734.41800 907.91200 1025.32000 1059.17000 1003.01000 873.42000 702.26500 524.03500 365.12700 239.16400 148.31000 87.66250 49.70280 27.21040 14.51340  7.65626  4.09858  2.31578  1.45215  1.06064  0.92181  0.92673  1.01025  1.12274  1.22957  1.32720  1.46825  1.79340  2.57365  4.26414  7.55590 13.38450 22.82700 36.82070 55.70120 78.68740 103.56900 126.87000 144.59000 153.32600 151.34900 139.14700 119.22900 95.28060 71.07030 49.52880 32.29110
  -40.000  -40.000 12.45830  7.11803  3.84783  1.98579  0.99368  0.49453  0.25468  0.14571  0.10828  0.12604  0.20912  0.38264  0.67584  1.11412  1.72802  2.60957  4.06076  6.88412 12.84400 25.23680 49.30090 91.90910 159.84500 256.40100 377.20000 507.57700 624.15400 701.47300 721.31700 679.94000 589.18400 471.04800 349.06800 241.07800 156.12200 95.41620 55.38540 30.72340 16.39740  8.50066  4.35160  2.26344  1.24898  0.76943  0.55214  0.46879  0.45972  0.49202  0.54187  0.59363  0.64961  0.74622  0.97636  1.52044  2.68665  4.94992  8.95941 15.46420 25.10940 38.10440 53.85900 70.77750 86.40370 97.97620 103.23500 101.14500 92.22780 78.34110 62.05450 45.88700 31.71640 20.52250
  -35.000  -35.000  7.41590  4.25361  2.33092  1.24572  0.67300  0.38502  0.24160  0.16914  0.13970  0.15509  0.23583  0.41221  0.71377  1.15839  1.75330  2.53241  3.66206  5.64297  9.61277 17.69400 33.21080 60.43650 103.46900 164.10700 239.32300 319.76100 390.84800 436.97100 447.19900 419.62800 361.91600 287.84300 211.98000 145.26000 93.13080 56.19230 32.09680 17.45950  9.10548  4.59751  2.28667  1.15539  0.62153  0.37535  0.26442  0.21945  0.21003  0.22066  0.24091  0.26482  0.29655  0.36037  0.51535  0.87629  1.64063  3.11363  5.71142  9.90922 16.10540 24.40490 34.38900 44.99540 54.63290 61.55850 64.40170 62.61430 56.63890 47.73040 37.52650 27.56850 18.95640 12.22500
  -30.000  -30.000  4.27943  2.52009  1.45557  0.86208  0.55370  0.39595  0.30572  0.24360  0.20289  0.19873  0.25900  0.41646  0.69874  1.11672  1.66051  2.32222  3.16824  4.47320  6.90655 11.72490 20.86400 36.74840 61.61710 96.32210 138.95100 184.06500 223.41100 248.30300 252.81000 236.10800 202.69700 160.41700 117.46400 79.92450 50.78150 30.28800 17.05050  9.11065  4.65113  2.29087  1.10798  0.54350  0.28437  0.16789  0.11599  0.09422  0.08816  0.09104  0.09879  0.10984  0.12840  0.17051  0.27327  0.50792  0.99570  1.92106  3.52962  6.09296  9.82540 14.75790 20.60980 26.73040 32.17960 35.95780 37.31430 35.99730 32.33060 27.08340 21.20610 15.55620 10.71860  6.95900
