VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 15.28600 12.13110  8.93549  6.09065  3.83297  2.22544  1.19493  0.59797  0.28333  0.13033  0.05992  0.02813  0.01357  0.00681  0.00377  0.00257  0.00225  0.00224  0.00228  0.00225  0.00218  0.00223  0.00266  0.00383  0.00611  0.00981  0.01496  0.02118  0.02764  0.03323  0.03705  0.03888  0.03940  0.04003  0.04234  0.04760  0.05651  0.06904  0.08428  0.10045  0.11550  0.12872  0.14259  0.16334  0.19895  0.25475  0.32927  0.41379  0.49685  0.57166  0.64124  0.71821  0.81993  0.96378  1.16566  1.44120  1.80665  2.27800  2.87026  3.59945  4.48837  5.57457  6.91496  8.57647 10.60160 12.94990 15.44220 17.74850 19.44850 20.15450 19.64220 17.93170
 -175.000 -175.000 21.01100 16.61890 12.22000  8.33155  5.25915  3.07662  1.67740  0.86345  0.42912  0.21193  0.10654  0.05491  0.02892  0.01586  0.00977  0.00749  0.00708  0.00733  0.00754  0.00744  0.00713  0.00705  0.00794  0.01075  0.01642  0.02561  0.03829  0.05343  0.06893  0.08219  0.09118  0.09554  0.09698  0.09863  0.10379  0.11476  0.13240  0.15610  0.18380  0.21200  0.23684  0.25670  0.27547  0.30372  0.35525  0.43974  0.55579  0.69015  0.82519  0.95076  1.07224  1.20953  1.38906  1.63638  1.97490  2.42926  3.02727  3.79712  4.76210  5.93848  7.34123  8.99765 10.96060 13.30310 16.07420 19.21740 22.49130 25.45180 27.53980 28.24980 27.30690 24.76830
 -170.000 -170.000 26.85660 21.13820 15.50060 10.56920  6.70012  3.96293  2.20890  1.18256  0.62495  0.33489  0.18414  0.10322  0.05871  0.03500  0.02392  0.02025  0.02033  0.02157  0.02237  0.02207  0.02094  0.02016  0.02163  0.02764  0.04036  0.06106  0.08940  0.12277  0.15642  0.18482  0.20392  0.21332  0.21687  0.22103  0.23193  0.25309  0.28480  0.32478  0.36880  0.41101  0.44529  0.46920  0.48891  0.52106  0.58758  0.70421  0.86996  1.06598  1.26701  1.45892  1.65034  1.87066  2.15800  2.54875  3.07662  3.77900  4.70022  5.88537  7.36735  9.15718 11.24800 13.63660 16.35070 19.45310 22.99080 26.88910 30.84400 34.30130 36.57190 37.05220 35.44510 31.87530
 -165.000 -165.000 32.04580 25.04640 18.29180 12.47200  7.95415  4.77879  2.74634  1.54737  0.87929  0.51302  0.30643  0.18476  0.11269  0.07294  0.05492  0.05047  0.05292  0.05710  0.05952  0.05870  0.05530  0.05214  0.05368  0.06508  0.09084  0.13326  0.19092  0.25786  0.32428  0.37946  0.41620  0.43464  0.44274  0.45254  0.47429  0.51224  0.56426  0.62430  0.68459  0.73668  0.77292  0.79124  0.80172  0.82917  0.90559  1.05408  1.27397  1.53956  1.81633  2.08524  2.35857  2.67716  3.09427  3.66159  4.42849  5.45072  6.79452  8.52557 10.68560 13.27190 16.23750 19.52230 23.09960 26.99660 31.24160 35.73540 40.11930 43.74880 45.84020 45.73960 43.17870 38.39130
 -160.000 -160.000 35.87980 27.76910 20.16040 13.74150  8.83594  5.42270  3.24345  1.94400  1.19499  0.75654  0.48610  0.31259  0.20385  0.14312  0.11762  0.11522  0.12453  0.13580  0.14202  0.14000  0.13120  0.12173  0.12118  0.14023  0.18762  0.26693  0.37417  0.49698  0.61683  0.71482  0.77956  0.81304  0.83027  0.85168  0.89251  0.95602  1.03428  1.11415  1.18293  1.23039  1.24979  1.24246  1.22519  1.23307  1.30958  1.48546  1.75959  2.09776  2.45413  2.80291  3.15923  3.57678  4.12847  4.88892  5.93216  7.34050  9.20733 11.61990 14.62470 18.19350 22.21950 26.55740 31.09250 35.78320 40.61340 45.44940 49.88740 53.22900 54.65470 53.53290 49.69520 43.53230
 -155.000 -155.000 37.95650 28.98440 20.86410 14.20670  9.23126  5.82245  3.65721  2.34918  1.56232  1.06524  0.72969  0.49806  0.34717  0.26372  0.23361  0.23992  0.26444  0.29014  0.30389  0.29944  0.27958  0.25640  0.24864  0.27669  0.35616  0.49215  0.67550  0.88287  1.08214  1.24293  1.34915  1.40693  1.44190  1.48542  1.55738  1.65666  1.76465  1.85740  1.91643  1.93212  1.90302  1.83842  1.76535  1.73115  1.79134  1.98388  2.30607  2.71355  3.14685  3.57048  4.00004  4.50243  5.17564  6.12772  7.46999  9.32137 11.80630 15.03060 19.03620 23.75620 29.00460 34.52590 40.08620 45.54070 50.79900 55.67730 59.73870 62.27470 62.50320 59.90130 54.47760 46.82730
 -150.000 -150.000 38.27270 28.71400 20.42500 13.87440  9.12745  5.94961  3.95145  2.72766  1.95359  1.42257  1.03244  0.74683  0.55655  0.45497  0.42822  0.45437  0.50645  0.55696  0.58340  0.57456  0.53525  0.48707  0.46351  0.50012  0.62286  0.83817  1.12814  1.45288  1.76136  2.00885  2.17503  2.27304  2.34218  2.42545  2.54474  2.68947  2.82525  2.91473  2.93470  2.88033  2.76081  2.59804  2.43205  2.32343  2.33969  2.52581  2.87760  3.34043  3.83987  4.32770  4.81635  5.38503  6.16168  7.29890  8.95880 11.30630 14.49760 18.64870 23.78240 29.77700 36.35180 43.12430 49.72090 55.86800 61.37470 65.99340 69.26660 70.52110 69.08520 64.62550 57.39330 48.22000
 -145.000 -145.000 37.16380 27.27870 19.09970 12.91340  8.60701  5.81911  4.09919  3.03462  2.32418  1.79475  1.37560  1.05478  0.83961  0.73257  0.72197  0.78165  0.87491  0.96117  1.00545  0.98955  0.92104  0.83494  0.78549  0.82940  1.00640  1.32395  1.75150  2.22730  2.67724  3.04104  3.29570  3.46369  3.59816  3.75035  3.93797  4.13463  4.28681  4.34487  4.28573  4.11539  3.85856  3.55196  3.24851  3.02089  2.94812  3.08361  3.42493  3.91087  4.45402  4.99233  5.53173  6.16140  7.04155  8.37707 10.39040 13.29750 17.28190 22.45460 28.79960 36.12050 44.03010 52.01360 59.55450 66.24440 71.78330 75.85720 78.00410 77.62790 74.22570 67.71040 58.61020 47.99440
 -140.000 -140.000 35.13030 25.15000 17.26820 11.58280  7.81096  5.47833  4.08677  3.22598  2.62260  2.13718  1.72809  1.40521  1.19110  1.09778  1.11744  1.22156  1.36470  1.49283  1.55709  1.53122  1.42614  1.29331  1.21229  1.26537  1.50836  1.94912  2.54180  3.20004  3.82596  4.34550  4.73546  5.02748  5.28324  5.55215  5.83650  6.08687  6.23084  6.21367  6.02278  5.68367  5.24016  4.74219  4.25090  3.84680  3.61929  3.63365  3.89663  4.34950  4.89918  5.47281  6.06864  6.78260  7.80512  9.39398 11.83330 15.38800 20.25760 26.52780 34.11680 42.73060 51.86390 60.87500 69.12340 76.08770 81.37780 84.63190 85.40820 83.22200 77.77430 69.24400 58.42700 46.59410
 -135.000 -135.000 32.66040 22.78880 15.30610 10.14700  6.89476  4.99451  3.92117  3.27446  2.80721  2.40682  2.05250  1.76849  1.58729  1.52798  1.58707  1.73639  1.92548  2.09021  2.17012  2.13206  1.99088  1.81503  1.71004  1.78392  2.10814  2.69017  3.46899  4.33607  5.17486  5.90356  6.50185  7.00640  7.47456  7.93527  8.35803  8.66183  8.75905  8.60361  8.21020  7.63632  6.94878  6.20670  5.47126  4.82339  4.36028  4.16312  4.25804  4.60206  5.10884  5.70281  6.37649  7.22921  8.47508 10.41730 13.39390 17.70840 23.56070 30.98590 39.80500 49.59780 59.72800 69.44080 78.00910 84.85010 89.53490 91.69720 90.95030 86.94580 79.59630 69.32530 57.14470 44.45550
 -130.000 -130.000 30.13500 20.54630 13.50190  8.81786  5.99693  4.44605  3.63643  3.18371  2.86176  2.57508  2.31312  2.10479  1.98453  1.97321  2.07014  2.25014  2.46386  2.64483  2.72802  2.67779  2.51368  2.31831  2.21783  2.33997  2.76730  3.50591  4.48359  5.57869  6.66811  7.67308  8.57981  9.42193 10.23230 10.99260 11.61600 11.97850 11.98180 11.60590 10.91470 10.01510  9.00506  7.95114  6.90704  5.94540  5.16617  4.66807  4.50510  4.66345  5.07782  5.68090  6.46422  7.52771  9.09989 11.51620 15.15450 20.34270 27.26260 35.87370 45.86630 56.66240 67.48040 77.46890 85.86540 92.09980 95.78150 96.60290 94.27210 88.58960 79.65900 68.09440 55.04050 41.93770
 -125.000 -125.000 27.81490 18.64300 12.03290  7.73455  5.22506  3.91454  3.29121  2.99014  2.80025  2.63406  2.48221  2.36966  2.32469  2.36327  2.48408  2.66661  2.86956  3.03477  3.10360  3.04540  2.88563  2.71520  2.66991  2.88512  3.44582  4.35530  5.53738  6.87187  8.24681  9.60085 10.93100 12.25770 13.56570 14.75880 15.66610 16.10530 15.96880 15.27810 14.16900 12.81990 11.37560  9.91750  8.49031  7.15191  5.99738  5.13859  4.65915  4.58192  4.87331  5.48421  6.41046  7.75070  9.73850 12.72740 17.12000 23.25390 31.27820 41.05480 52.11570 63.69610 74.85660 84.66810 92.38860 97.54210 99.86290 99.16960 95.30070 88.20080 78.12220 65.79360 52.39850 39.32740
 -120.000 -120.000 25.85730 17.18500 10.97750  6.96616  4.64901  3.47118  2.95231  2.74790  2.65656  2.59249  2.54212  2.52157  2.54739  2.62490  2.74808  2.90097  3.05580  3.17292  3.21195  3.15610  3.03857  2.95193  3.02841  3.39608  4.13153  5.23281  6.62723  8.21117  9.90167 11.66890 13.52530 15.46950 17.41780 19.16960 20.44480 20.98570 20.67050 19.56960 17.90830 15.95980 13.93970 11.96230 10.07280  8.31298  6.76386  5.53892  4.74266  4.43150  4.60576  5.23912  6.33506  7.98976 10.43490 14.03070 19.19210 26.25640 35.33030 46.16690 58.12350 70.23420 81.39870 90.63290 97.26640 100.98800 101.72900 99.48690 94.24910 86.08310 75.33360 62.76430 49.51290 36.84980
 -115.000 -115.000 24.31600 16.17770 10.32780  6.51579  4.29218  3.15698  2.66893  2.50328  2.46432  2.46449  2.48434  2.53035  2.60604  2.70349  2.80892  2.90939  2.99262  3.04361  3.04887  3.01322  2.98058  3.04151  3.31530  3.91114  4.88756  6.23272  7.87863  9.74419 11.78340 14.00500 16.43950 19.06180 21.71240 24.07540 25.74950 26.38980 25.85130 24.25050 21.90830 19.21060 16.46900 13.85730 11.43920  9.24493  7.33255  5.80001  4.75420  4.27077  4.37574  5.06292  6.34340  8.31022 11.18910 15.33990 21.18180 29.04590 38.99440 50.67300 63.26880 75.62340 86.49360 94.86750 100.18300 102.33700 101.49000 97.84150 91.52180 82.68910 71.72460 59.36150 46.63140 34.64410
