VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 20.98480 17.63660 14.04140 10.58110  7.56301  5.15536  3.37798  2.14505  1.32692  0.79927  0.46630  0.26255  0.14540  0.08669  0.06715  0.07274  0.09214  0.11514  0.13266  0.13819  0.12951  0.10914  0.08285  0.05710  0.03694  0.02548  0.02501  0.03877  0.07216  0.13245  0.22671  0.35845  0.52478  0.71523  0.91271  1.09560  1.24064  1.32747  1.34543  1.30039  1.21745  1.13655  1.10257  1.15438  1.31698  1.59819  1.98965  2.47117  3.01695  3.60097  4.19841  4.78283  5.32333  5.78821  6.15711  6.43470  6.65610  6.88094  7.18382  7.65199  8.39069  9.52322 11.16730 13.38130 16.09870 19.08930 21.98380 24.36330 25.87070 26.28670 25.54630 23.71780
 -175.000 -175.000 30.42100 25.85840 20.83800 15.90410 11.51570  7.94655  5.26130  3.36583  2.09042  1.26077  0.73581  0.41557  0.23342  0.14531  0.12119  0.13894  0.17982  0.22592  0.26064  0.27181  0.25530  0.21598  0.16497  0.11474  0.07503  0.05172  0.04851  0.06991  0.12330  0.21886  0.36662  0.57197  0.83156  1.13134  1.44728  1.74776  1.99768  2.16557  2.23393  2.20914  2.12496  2.03637  2.00635  2.09167  2.33212  2.74439  3.32080  4.03355  4.84370  5.71169  6.60297  7.48541  8.32228  9.07153  9.69812 10.19490 10.59720 10.98210 11.45560 12.14170 13.18030 14.72360 16.91070 19.80940 23.34010 27.22860 31.02950 34.22560 36.35470 37.09960 36.31610 34.02690
 -170.000 -170.000 40.89790 35.10770 28.59960 22.07980 16.17140 11.27520  7.52427  4.83469  3.00470  1.80848  1.05286  0.59555  0.34003  0.22271  0.20085  0.24264  0.31980  0.40360  0.46633  0.48733  0.45951  0.39122  0.30173  0.21294  0.14224  0.10024  0.09302  0.12657  0.20999  0.35586  0.57715  0.88220  1.26989  1.72636  2.22347  2.71898  3.16029  3.49484  3.68701  3.73466  3.67584  3.58128  3.53725  3.62714  3.91669  4.44366  5.21230  6.19498  7.34279  8.60075  9.91821 11.24690 12.53070 13.70180 14.69700 15.48960 16.11640 16.68010 17.32820 18.22640 19.54540 21.45520 24.10620 27.57380 31.77830 36.42580 41.02270 44.97350 47.71550 48.82220 48.04920 45.34980
 -165.000 -165.000 51.16040 44.28220 36.41420 28.39570 21.00000 14.76140  9.90210  6.37064  3.94856  2.36368  1.36870  0.77453  0.45117  0.31400  0.30728  0.38934  0.52102  0.66012  0.76444  0.80184  0.76088  0.65419  0.51192  0.36912  0.25478  0.18740  0.17758  0.23339  0.36493  0.58537  0.90889  1.34702  1.90427  2.57311  3.32728  4.11550  4.86203  5.48078  5.90234  6.10169  6.11146  6.01455  5.92342  5.95741  6.22340  6.79922  7.71993  8.97256 10.50480 12.24450 14.11580 16.04030 17.92590 19.66260 21.14550 22.32080 23.22610 23.99430 24.81860 25.90390 27.43930 29.59590 32.52220 36.30250 40.87660 45.96630 51.06950 55.54460 58.74600 60.14160 59.38190 56.34100
 -160.000 -160.000 59.78210 52.08880 43.17090 33.94600 25.29900 17.88550 12.02670  7.72328  4.75808  2.82330  1.62149  0.91759  0.54873  0.41078  0.43712  0.57776  0.78294  0.99577  1.15730  1.22141  1.17046  1.02096  0.81543  0.60560  0.43680  0.34060  0.33608  0.43536  0.64842  0.98554  1.45808  2.07911  2.86225  3.81443  4.92012  6.12253  7.31652  8.36647  9.14797  9.59284  9.71391  9.60024  9.39379  9.26210  9.37345  9.87094 10.84540 12.31710 14.23850 16.51650 19.03800 21.67860 24.29380 26.71790 28.79470 30.43730 31.68200 32.69050 33.69680 34.93370 36.59020 38.81750 41.74860 45.47880 49.98970 55.05730 60.21560 64.81820 68.16820 69.65160 68.83080 65.50800
 -155.000 -155.000 65.56190 57.40830 47.87450 37.88910 28.39510 20.14010 13.53840  8.65274  5.28222  3.09710  1.75999  0.99708  0.61835  0.50508  0.58398  0.80004  1.09503  1.39842  1.63431  1.74109  1.69232  1.50581  1.23572  0.95290  0.72482  0.60361  0.62375  0.80500  1.15631  1.67979  2.37729  3.25961  4.35222  5.68572  7.26581  9.03406 10.84700 12.49770 13.77850 14.55180 14.79390 14.59690 14.14140 13.66320 13.41890 13.64600 14.51770 16.10560 18.37240 21.19770 24.41650 27.84200 31.26490 34.45650 37.20470 39.38640 41.03100 42.32040 43.51670 44.86280 46.52760 48.62300 51.25440 54.52980 58.49010 62.99700 67.66240 71.88040 74.94800 76.21260 75.18560 71.61840
 -150.000 -150.000 67.88000 59.63840 49.96150 39.72550 29.87570 21.21180 14.22090  9.02442  5.44575  3.14754  1.76763  1.00667  0.65761  0.59449  0.74266  1.04615  1.44209  1.84977  2.17866  2.35132  2.32901  2.12572  1.80368  1.45395  1.17267  1.04253  1.12298  1.44697  2.02173  2.83493  3.87047  5.13179  6.65853  8.51439 10.73630 13.26490 15.90310 18.34150 20.25070 21.39180 21.68980 21.24560 20.30270 19.19900 18.31510 18.01410 18.57390 20.12880 22.65150 25.98420 29.89530 34.12230 38.38400 42.38640 45.86170 48.64620 50.75100 52.36130 53.74800 55.14700 56.69340 58.45040 60.49020 62.93250 65.88470 69.31200 72.93520 76.23230 78.54880 79.24930 77.84150 74.05230
 -145.000 -145.000 66.88190 58.88390 49.49070 39.47850 29.74780 21.11010 14.09590  8.87149  5.28693  3.01057  1.67342  0.96717  0.67997  0.68625  0.91450  1.31139  1.81373  2.33600  2.77758  3.04623  3.08705  2.90320  2.55921  2.16612  1.85531  1.75105  1.94871  2.50088  3.41285  4.65213  6.17750  7.98189 10.12310 12.70720 15.80830 19.35860 23.07870 26.51040 29.15140 30.62390 30.79270 29.79110 27.97310 25.83400 23.92560 22.76760 22.75560 24.08650 26.73500 30.49420 35.05460 40.07090 45.18770 50.04690 54.32210 57.79730 60.44280 62.41940 63.98420 65.35560 66.63700 67.85170 69.04550 70.34930 71.93160 73.86220 75.98640 77.90340 79.06010 78.89610 76.96040 72.97590
 -140.000 -140.000 63.44290 55.93470 47.13760 37.70100 28.45050 20.17640 13.42430  8.38908  4.94695  2.78403  1.54206  0.91979  0.71147  0.79723  1.11059  1.60231  2.21227  2.85597  3.42881  3.82659  3.97577  3.86221  3.54661  3.15862  2.86984  2.85531  3.25545  4.14794  5.53671  7.36679  9.57088 12.13540 15.14570 18.75840 23.08250 28.01710 33.14990 37.80500 41.24020 42.89790 42.58680 40.52270 37.24980 33.50280 30.06530 27.64150 26.74510 27.62120 30.23000 34.30520 39.45620 45.25680 51.28130 57.10670 62.33590 66.67200 70.00380 72.42680 74.15830 75.39960 76.24630 76.71460 76.84700 76.78990 76.76120 76.92140 77.24270 77.47010 77.19520 75.97720 73.43710 69.30270
 -135.000 -135.000 58.95340 52.06040 44.00670 35.31110 26.71360 18.96580 12.61010  7.85843  4.61311  2.58744  1.44708  0.90922  0.78055  0.94820  1.34883  1.93545  2.65200  3.41967  4.13668  4.69262  4.99712  5.01651  4.80395  4.50549  4.33397  4.51861  5.24846  6.62843  8.66270 11.27810 14.39160 18.00010 22.23360 27.30600 33.34280 40.15770 47.12270 53.24670 57.46530 59.00580 57.64880 53.78030 48.25240 42.14910 36.55640 32.38390 30.24670 30.40620 32.78410 37.04750 42.73380 49.35170 56.41600 63.43470 69.91320 75.42350 79.70870 82.74070 84.66670 85.68010 85.91290 85.42970 84.31200 82.73510 80.95610 79.20820 77.58350 75.98480 74.17160 71.84510 68.70670 64.48110
