VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 33.17010 23.66230 15.57040  9.44477  5.27603  2.71036  1.27806  0.55200  0.21787  0.07842  0.02575  0.00791  0.00285  0.00249  0.00456  0.00896  0.01605  0.02578  0.03708  0.04773  0.05499  0.05671  0.05237  0.04337  0.03233  0.02196  0.01415  0.00968  0.00847  0.01013  0.01422  0.02039  0.02832  0.03746  0.04694  0.05554  0.06203  0.06560  0.06634  0.06524  0.06404  0.06500  0.07118  0.08698  0.11829  0.17132  0.25012  0.35432  0.47972  0.62319  0.79022  1.00010  1.28443  1.67995  2.22265  2.95061  3.91641  5.20119  6.92061  9.21919 12.25900 16.20950 21.23020 27.41390 34.65810 42.48540 49.92490 55.60960 58.15640 56.69790 51.28430 42.91450
 -175.000 -175.000 48.34240 34.23790 22.35640 13.45170  7.45274  3.79772  1.77720  0.76234  0.29914  0.10719  0.03517  0.01104  0.00467  0.00538  0.01070  0.02120  0.03802  0.06112  0.08792  0.11321  0.13048  0.13464  0.12446  0.10324  0.07724  0.05297  0.03498  0.02523  0.02370  0.02949  0.04151  0.05880  0.08022  0.10418  0.12835  0.14973  0.16540  0.17355  0.17438  0.17028  0.16526  0.16439  0.17408  0.20300  0.26236  0.36349  0.51299  0.70803  0.93694  1.18824  1.46501  1.79590  2.23464  2.84855  3.70679  4.88030  6.45581  8.55359 11.33580 15.00030 19.76730 25.86630 33.50850 42.79990 53.55120 65.02010 75.75060 83.73170 86.96480 84.24250 75.72580 62.96560
 -170.000 -170.000 65.64720 46.12710 29.87410 17.82560  9.79401  4.95081  2.29966  0.98006  0.38256  0.13662  0.04490  0.01461  0.00755  0.01087  0.02261  0.04504  0.08086  0.13002  0.18712  0.24103  0.27795  0.28703  0.26568  0.22095  0.16624  0.11554  0.07883  0.06060  0.06116  0.07879  0.11112  0.15554  0.20880  0.26651  0.32291  0.37128  0.40543  0.42173  0.42082  0.40794  0.39167  0.38251  0.39291  0.43858  0.53874  0.71205  0.96811  1.29921  1.68115  2.08820  2.51788  3.01092  3.65302  4.55778  5.84597  7.63907 10.07170 13.31080 17.56600 23.08420 30.13770 39.00830 49.94750 63.04840 77.98110 93.65000 108.00100 118.27200 121.79300 117.04400 104.41100 86.16370
 -165.000 -165.000 83.27490 58.00640 37.24220 22.03100 12.00340  6.01996  2.77664  1.17649  0.45738  0.16313  0.05397  0.01856  0.01193  0.02014  0.04302  0.08595  0.15440  0.24837  0.35760  0.46088  0.53186  0.54985  0.50996  0.42575  0.32303  0.22892  0.16308  0.13493  0.14601  0.19359  0.27303  0.37801  0.50009  0.62825  0.74930  0.84936  0.91660  0.94476  0.93585  0.90053  0.85576  0.82181  0.82124  0.88030  1.02896  1.29480  1.69009  2.19965  2.78210  3.39288  4.02218  4.72658  5.63416  6.92110  8.77972 11.40190 14.98530 19.75000 25.94750 33.85720 43.77790 56.01290 70.81340 88.20360 107.63800 127.58400 145.31900 157.31300 160.28200 152.52200 134.80400 110.26000
 -160.000 -160.000 99.03510 68.32710 43.46360 25.48290 13.76800  6.85280  3.14090  1.32495  0.51424  0.18393  0.06176  0.02290  0.01813  0.03398  0.07363  0.14735  0.26485  0.42623  0.61402  0.79193  0.91483  0.94739  0.88133  0.74024  0.56887  0.41457  0.31238  0.28040  0.32338  0.43824  0.61672  0.84518  1.10379  1.36722  1.60743  1.79772  1.91771  1.95834  1.92530  1.83903  1.73064  1.63650  1.59511  1.64735  1.83594  2.19739  2.74542  3.45549  4.26781  5.11912  5.99466  6.97201  8.23013 10.02050 12.62390 16.32200 21.39230 28.11420 36.77050 47.64310 61.00820 77.12480 96.16270 117.98300 141.72900 165.36600 185.51500 197.99000 199.09800 187.19100 163.61500 132.43500
 -155.000 -155.000 110.93000 75.73340 47.70140 27.71220 14.84940  7.34024  3.34812  1.41002  0.54899  0.19852  0.06859  0.02791  0.02614  0.05197  0.11335  0.22706  0.40832  0.65749  0.94786  1.22373  1.41580  1.47002  1.37414  1.16520  0.91316  0.69254  0.55993  0.54714  0.66614  0.91573  1.28312  1.74151  2.24889  2.75206  3.19531  3.53049  3.72558  3.77042  3.67926  3.48905  3.25318  3.03272  2.88961  2.88401  3.07226  3.49788  4.17391  5.06710  6.10383  7.21009  8.37442  9.70139 11.42460 13.87550 17.43370 22.48730 29.41170 38.55440 50.21690 64.63930 81.99950 102.40700 125.82000 151.80600 179.09300 205.12500 225.98000 237.07600 234.66200 217.46600 187.59100 150.01700
 -150.000 -150.000 117.67900 79.43050 49.51470 28.50210 15.15590  7.45147  3.39261  1.43409  0.56524  0.20961  0.07597  0.03407  0.03541  0.07193  0.15704  0.31465  0.56614  0.91229  1.31648  1.70212  1.97396  2.05813  1.93897  1.66930  1.34780  1.08033  0.94981  1.00751  1.27911  1.77055  2.46489  3.31441  4.23860  5.13506  5.90044  6.45247  6.74435  6.76946  6.55920  6.17702  5.70906  5.25185  4.90010  4.73867  4.83775  5.24480  5.97028  6.97620  8.18665  9.53246 11.01880 12.78250 15.10880 18.40470 23.15070 29.85470 39.00960 51.04150 66.25480 84.79210 106.63100 131.58500 159.23900 188.70600 218.21700 244.74200 264.04700 271.54200 263.85800 240.44900 204.29000 161.14300
 -145.000 -145.000 118.96300 79.34240 48.94610 27.93220 14.76160  7.24054  3.30887  1.41725  0.57390  0.22273  0.08642  0.04203  0.04485  0.09010  0.19590  0.39239  0.70645  1.13950  1.64673  2.13393  2.48424  2.60804  2.48871  2.19501  1.85285  1.59796  1.54063  1.75685  2.29502  3.17731  4.38582  5.84365  7.41071  8.90612 10.15080 11.01040 11.41920 11.38120 10.95770 10.25180  9.39574  8.53429  7.80650  7.32925  7.18807  7.43219  8.06920  9.06346 10.35240 11.89100 13.71540 15.99720 19.06540 23.39130 29.55330 38.18930 49.92520 65.27370 84.51990 107.64100 134.29100 163.82600 195.27000 227.14100 257.13600 281.89000 297.18600 298.89100 284.47400 254.39300 212.50900 165.11100
 -140.000 -140.000 115.33900 76.01430 46.43770 26.31450 13.86310  6.82049  3.15685  1.38925  0.58894  0.24413  0.10244  0.05229  0.05317  0.10230  0.22025  0.44071  0.79404  1.28266  1.85782  2.41643  2.83130  3.00703  2.93075  2.68492  2.41510  2.27841  2.40812  2.90798  3.85936  5.31345  7.25861  9.58268 12.06350 14.40760 16.32500 17.60480 18.15440 17.99510 17.23170 16.02380 14.56540 13.06600 11.72420 10.70040 10.10110  9.97867 10.33980 11.15870 12.39970 14.05730 16.20830 19.05940 22.97410 28.47840 36.24520 47.04620 61.64630 80.63680 104.24800 132.21400 163.74400 197.57300 232.01200 264.88900 293.40700 314.09300 323.13800 317.32800 295.34000 258.78900 212.29200 162.32600
 -135.000 -135.000 107.93100 70.35170 42.63490 24.06170 12.69970  6.31715  2.99686  1.37637  0.62071  0.27739  0.12502  0.06471  0.05926  0.10559  0.22345  0.44627  0.80501  1.30346  1.89523  2.48107  2.93985  3.18486  3.21356  3.11823  3.05188  3.17854  3.64441  4.58023  6.10939  8.32628 11.23670 14.69220 18.37070 21.83360 24.64290 26.48010 27.20930 26.86830 25.61640 23.68590 21.35310 18.91420 16.64970 14.78230 13.45210 12.72080 12.59720 13.06770 14.12760 15.81410 18.24600 21.66320 26.46190 33.22240 42.71180 55.83100 73.46740 96.25720 124.32100 157.07200 193.17200 230.62900 266.94400 299.24700 324.37400 339.02200 340.18000 325.92200 296.35800 254.23500 204.68100 153.99000
