VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 166.08900 164.39600 155.02700 139.36800 119.61200 98.24330 77.51360 59.06470 43.77380 31.81020 22.83440 16.25140 11.43720  7.88618  5.25741  3.34448  2.01372  1.15539  0.66527  0.44871  0.42814  0.54175  0.73476  0.95354  1.15152  1.30488  1.42467  1.55048  1.72274  1.94922  2.18935  2.37021  2.42463  2.32578  2.09611  1.78911  1.46102  1.15184  0.88258  0.66290  0.49999  0.40342  0.38538  0.45667  0.61871  0.85412  1.12177  1.36231  1.51511  1.53972  1.43076  1.21927  0.96144  0.72281  0.56663  0.55131  0.73616  1.19270  2.02229  3.38530  5.54513  8.91477 14.07240 21.70550 32.46340 46.74420 64.47720 84.96750 106.84800 128.16400 146.60000 159.85100
 -175.000 -175.000 164.67300 160.85000 149.82100 133.14000 113.02200 91.86270 71.77340 54.24030 39.99020 29.05750 20.99410 15.13570 10.83560  7.60595  5.15007  3.31308  2.00595  1.14926  0.65456  0.43231  0.40432  0.50642  0.68175  0.87527  1.03861  1.14434  1.19767  1.23217  1.28713  1.37938  1.48905  1.56975  1.57617  1.48952  1.32497  1.11952  0.91217  0.72965  0.58346  0.47518  0.40442  0.37508  0.39745  0.48438  0.64146  0.85545  1.08851  1.28516  1.39118  1.37531  1.24172  1.02699  0.78570  0.57458  0.44436  0.44239  0.62365  1.06717  1.89827  3.32111  5.66126  9.40203 15.17830 23.68960 35.52340 50.92720 69.60570 90.61040 112.35800 132.78200 149.60900 160.74000
 -170.000 -170.000 158.73500 152.88700 140.62400 123.55600 103.79300 83.53960 64.69350 48.54890 35.67630 25.99120 18.96700 13.90370 10.15990  7.28336  5.02752  3.28826  2.01820  1.16679  0.66215  0.42198  0.36997  0.44215  0.58295  0.74049  0.86988  0.94450  0.96552  0.95871  0.95676  0.97740  1.01214  1.03322  1.01292  0.94118  0.83058  0.70783  0.59963  0.52196  0.47712  0.45786  0.45543  0.46799  0.50464  0.58159  0.71025  0.88307  1.06693  1.21116  1.26799  1.21422  1.06118  0.84856  0.62791  0.44793  0.34992  0.37512  0.58035  1.05812  1.96180  3.53880  6.16875 10.38700 16.85580 26.24730 39.04000 55.28350 74.42110 95.24420 115.99600 134.60000 148.97400 157.37500
 -165.000 -165.000 149.10300 141.59700 128.69100 111.92600 93.18770 74.40230 57.20880 42.70390 31.32520 22.91050 16.90010 12.59760  9.39142  6.87272  4.84011  3.22865  2.02169  1.19132  0.68122  0.41876  0.33294  0.36338  0.45906  0.57487  0.67347  0.73289  0.75253  0.74985  0.74686  0.75457  0.76628  0.76409  0.73314  0.67315  0.60008  0.53821  0.50844  0.51900  0.56249  0.62017  0.67225  0.70986  0.74186  0.79037  0.87535  0.99659  1.12566  1.21523  1.22183  1.12813  0.95118  0.73335  0.52448  0.36841  0.30203  0.36717  0.63013  1.20418  2.27467  4.12832  7.18242 11.99340 19.20730 29.42050 42.95890 59.64600 78.66220 98.57280 117.52500 133.55000 144.88700 150.26600
 -160.000 -160.000 136.97300 128.33200 115.41100 99.56760 82.37920 65.43610 50.10140 37.28900 27.34270 20.07440 14.94260 11.29280  8.56206  6.38471  4.59084  3.13645  2.02038  1.22898  0.72021  0.43411  0.30937  0.29279  0.34031  0.41536  0.48999  0.54900  0.59202  0.62886  0.66871  0.71038  0.74103  0.74496  0.71594  0.66458  0.61599  0.59961  0.63653  0.72949  0.85954  0.99224  1.09277  1.14394  1.15630  1.16187  1.19283  1.25751  1.33040  1.36400  1.31561  1.17177  0.95528  0.71324  0.49740  0.35163  0.31471  0.43677  0.80246  1.55397  2.91182  5.19415  8.83125 14.35770 22.34840 33.27050 47.26240 63.91870 82.19360 100.50100 116.99600 129.93000 137.96300 140.34700
 -155.000 -155.000 123.72300 114.47700 102.06100 87.58250 72.26480 57.34420 43.90820 32.70690 24.02740 17.70370 13.25930 10.11490  7.77007  5.89724  4.34122  3.05918  2.04983  1.30588  0.79881  0.48486  0.31674  0.25146  0.25299  0.29303  0.35263  0.42377  0.50772  0.60809  0.72122  0.83098  0.91327  0.94906  0.93747  0.90054  0.87657  0.90563  1.01308  1.19669  1.42273  1.63584  1.78203  1.83524  1.81122  1.75736  1.72211  1.72298  1.73455  1.70482  1.58849  1.37499  1.09446  0.80220  0.55654  0.40708  0.40137  0.60637  1.13465  2.16545  3.95582  6.84280 11.23760 17.60210 26.38050 37.86010 51.97240 68.10820 85.06530 101.20900 114.81000 124.43200 129.19500 128.85800
 -150.000 -150.000 110.73700 101.30900 89.72510 76.82750 63.48840 50.59930 38.98060 29.23100 21.60590 15.99680 12.02920  9.22581  7.15857  5.53164  4.18856  3.07011  2.16182  1.45682  0.94020  0.58761  0.36916  0.25369  0.21272  0.22443  0.27699  0.36882  0.50379  0.68139  0.88698  1.08972  1.25257  1.35025  1.38471  1.38838  1.41349  1.51234  1.71538  2.01382  2.35490  2.65701  2.84367  2.88103  2.79535  2.65598  2.53210  2.45064  2.38338  2.27022  2.06137  1.74967  1.37510  1.00481  0.70807  0.54568  0.58115  0.90721  1.67389  3.10403  5.48889  9.16654 14.49220 21.80230 31.35540 43.22320 57.13050 72.31350 87.50500 101.12900 111.66700 118.03700 119.80700 117.16900
 -145.000 -145.000 99.22380 89.89750 79.28320 67.98230 56.55370 45.57000 35.59470 27.08280 20.27160 15.13400 11.42440  8.78768  6.87407  5.41278  4.23207  3.24218  2.40604  1.71370  1.16463  0.75617  0.47727  0.30836  0.22664  0.21413  0.26367  0.37907  0.56763  0.82742  1.13658  1.45312  1.72910  1.93302  2.06739  2.17122  2.30630  2.53302  2.88306  3.33698  3.81830  4.21511  4.42733  4.41680  4.22759  3.95884  3.70525  3.50380  3.32131  3.08771  2.74870  2.30248  1.80148  1.32738  0.96366  0.78716  0.88437  1.38255  2.47721  4.43767  7.58137 12.22410 18.62630 26.95270 37.23710 49.31950 62.74280 76.65310 89.81180 100.79700 108.36100 111.77800 110.99600 106.53800
 -140.000 -140.000 90.04230 81.01300 71.39370 61.58770 51.88850 42.58450 33.99980 26.45490 20.18150 15.25310 11.57280  8.92010  7.02500  5.63310  4.54453  3.62794  2.81762  2.09923  1.48766  1.00277  0.65178  0.42454  0.30103  0.26420  0.30944  0.44512  0.68311  1.02368  1.44351  1.89644  2.32981  2.70872  3.03390  3.34316  3.69648  4.15027  4.72720  5.38984  6.03385  6.51630  6.71681  6.60043  6.23891  5.77038  5.32057  4.93783  4.58320  4.17620  3.65934  3.03840  2.38023  1.78235  1.34428  1.16275  1.35364  2.08611  3.60586  6.22567 10.27420 16.01690 23.58370 32.93450 43.86090 55.98280 68.70300 81.14800 92.18890 100.62500 105.50700 106.43100 103.63800 97.86500
 -135.000 -135.000 83.60410 75.06330 66.45010 58.00540 49.80280 41.88510 34.36670 27.45690 21.40370 16.40030 12.51290  9.66068  7.64810  6.22529  5.15164  4.24541  3.40871  2.62290  1.91909  1.33916  0.90619  0.61604  0.44820  0.38405  0.42015  0.56932  0.84984  1.26867  1.80888  2.43033  3.08554  3.74154  4.39425  5.06768  5.80006  6.62168  7.52747  8.45079  9.25720  9.77862  9.88608  9.56212  8.91997  8.14723  7.40650  6.75926  6.16059  5.51964  4.77673  3.94639  3.11013  2.38088  1.87444  1.70998  2.03751  3.07260  5.11074  8.49822 13.55330 20.46140 29.19320 39.48900 50.90710 62.88150 74.73050 85.62540 94.60650 100.73400 103.35400 102.33400 98.11850 91.55650
 -130.000 -130.000 79.92290 72.10610 64.54880 57.34750 50.39090 43.52070 36.68760 30.03200 23.85110 18.48010 14.15650 10.93520  8.68321  7.14024  6.01282  5.06206  4.15586  3.27144  2.45590  1.77121  1.25310  0.90004  0.68834  0.59647  0.62186  0.78265  1.10590  1.61051  2.29492  3.13735  4.10778  5.18200  6.34690  7.59473  8.91259 10.27100 11.60850 12.81420 13.72590 14.16760 14.02700 13.32920 12.24790 11.03090  9.88184  8.87563  7.96020  7.03321  6.03174  4.97755  3.96449  3.11825  2.56939  2.45993  2.97581  4.37890  7.00814 11.22700 17.31810 25.35980 35.14730 46.20760 57.89830 69.52040 80.36740 89.70860 96.79030 100.94400 101.79100 99.41890 94.39490 87.59220
