VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  9.19784  6.40039  4.15575  2.51926  1.42828  0.76019  0.38262  0.18433  0.08643  0.04028  0.01927  0.01026  0.00711  0.00690  0.00800  0.00931  0.01007  0.00991  0.00897  0.00786  0.00783  0.01111  0.02175  0.04666  0.09580  0.17994  0.30508  0.46476  0.63513  0.77827  0.85549  0.84468  0.75126  0.60528  0.44677  0.30902  0.20903  0.14809  0.11828  0.10960  0.11442  0.12875  0.15142  0.18246  0.22168  0.26863  0.32412  0.39176  0.47797  0.58992  0.73344  0.91358  1.13828  1.42178  1.78395  2.24535  2.82431  3.54229  4.43634  5.56713  7.00964  8.82205 11.00240 13.45020 15.94790 18.17470 19.75790 20.36100 19.78790 18.06220 15.43900 12.33350
 -175.000 -175.000 13.60740  9.49837  6.19643  3.78415  2.17111  1.17821  0.61162  0.30854  0.15395  0.07726  0.04003  0.02314  0.01729  0.01755  0.02068  0.02418  0.02619  0.02579  0.02319  0.01971  0.01751  0.01973  0.03126  0.05990  0.11679  0.21413  0.35882  0.54376  0.74207  0.91087  1.00635  1.00364  0.90892  0.75594  0.58918  0.44513  0.34211  0.28137  0.25470  0.25227  0.26737  0.29766  0.34383  0.40675  0.48491  0.57392  0.66885  0.76776  0.87358  0.99348  1.13781  1.32144  1.56721  1.90754  2.38099  3.02605  3.87950  4.98449  6.40320  8.22011 10.52260 13.35900 16.68700 20.33190 23.97050 27.15070 29.35880 30.13510 29.21430 26.63720 22.77030 18.20960
 -170.000 -170.000 18.76910 13.12710  8.59861  5.29159  3.07826  1.71059  0.92213  0.49086  0.26173  0.14097  0.07821  0.04827  0.03821  0.04014  0.04791  0.05623  0.06100  0.06014  0.05412  0.04564  0.03871  0.03791  0.04872  0.07877  0.13879  0.24081  0.39206  0.58607  0.79655  0.98102  1.09611  1.11734  1.05096  0.92966  0.79532  0.68093  0.60188  0.55856  0.54438  0.55319  0.58319  0.63741  0.72131  0.83831  0.98548  1.15258  1.32609  1.49563  1.65835  1.81933  1.99089  2.19461  2.46582  2.85574  3.42766  4.25035  5.39647  6.94956  9.01164 11.69620 15.09560 19.22790 23.98050 29.06980 34.03350 38.26350 41.09240 41.93870 40.48180 36.80230 31.40680 25.10260
 -165.000 -165.000 24.22490 16.95640 11.14640  6.91661  4.08959  2.33819  1.31701  0.74303  0.42272  0.24222  0.14196  0.09219  0.07634  0.08238  0.09938  0.11706  0.12721  0.12569  0.11352  0.09615  0.08102  0.07517  0.08443  0.11481  0.17443  0.27322  0.41824  0.60555  0.81418  1.00882  1.15315  1.22704  1.23581  1.20480  1.16367  1.13220  1.11624  1.11328  1.12084  1.14181  1.18574  1.26717  1.40121  1.59656  1.84899  2.13997  2.44333  2.73598  3.00562  3.25213  3.48659  3.73393  4.03966  4.47463  5.13270  6.12451  7.57442  9.62274 12.42330 16.12100 20.80400 26.43830 32.80900 39.48760 45.84050 51.08440 54.40000 55.10560 52.86060 47.82230 40.66670 32.42990
 -160.000 -160.000 29.35500 20.54060 13.54530  8.48236  5.11105  3.01935  1.78394  1.06651  0.64310  0.38754  0.23693  0.16008  0.13745  0.15167  0.18459  0.21812  0.23750  0.23534  0.21383  0.18318  0.15669  0.14534  0.15516  0.18870  0.24882  0.34139  0.47326  0.64576  0.84863  1.06077  1.25966  1.43332  1.58477  1.72483  1.85940  1.98257  2.08118  2.14611  2.18124  2.20542  2.24865  2.34596  2.52917  2.81647  3.20308  3.66004  4.14449  4.61600  5.04852  5.43285  5.77510  6.10007  6.46126  6.94980  7.69497  8.85814 10.62650 13.20730 16.81090 21.61100 27.67840 34.90480 42.94370 51.19070 58.81750 64.86080 68.37090 68.61160 65.27760 58.65110 49.60250 39.39510
 -155.000 -155.000 33.49890 23.40770 15.48000  9.79118  6.02545  3.68774  2.28663  1.44194  0.91275  0.57191  0.36101  0.25169  0.22267  0.25033  0.30700  0.36383  0.39701  0.39485  0.36164  0.31492  0.27677  0.26391  0.28224  0.32854  0.39757  0.48938  0.61138  0.77390  0.98330  1.23950  1.53970  1.88311  2.26860  2.68458  3.10024  3.46930  3.74730  3.91222  3.97542  3.97894  3.98405  4.05755  4.25729  4.61691  5.13374  5.76843  6.45989  7.14794  7.78979  8.36349  8.86580  9.31698  9.77525 10.35150 11.21360 12.57910 14.70340 17.86130 22.31450 28.25140 35.70530 44.46900 54.03990 63.61950 72.18130 78.60280 81.85250 81.20840 76.47170 68.09830 57.16490 45.13620
 -150.000 -150.000 36.10800 25.17070 16.68730 10.66570  6.71092  4.25641  2.76138  1.82284  1.19902  0.77359  0.50026  0.35763  0.32436  0.37037  0.45717  0.54330  0.59431  0.59381  0.54945  0.48861  0.44484  0.44202  0.48516  0.56273  0.65847  0.76540  0.89331  1.06613  1.31319  1.66169  2.13331  2.74020  3.47431  4.29330  5.11626  5.84062  6.37634  6.67941  6.76681  6.70893  6.60845  6.57595  6.70632  7.05714  7.63412  8.39250  9.25727 10.15170 11.01730 11.81720 12.53400 13.17690 13.80290 14.54010 15.59560 17.24590 19.81320 23.63130 28.99250 36.07060 44.82760 54.92780 65.69390 76.13490 85.05490 91.23040 93.62900 91.63190 85.22020 75.06030 62.42260 48.91610
 -145.000 -145.000 36.88830 25.63000 17.02510 10.99380  7.06917  4.63572  3.12855  2.14311  1.45146  0.95688  0.63011  0.45945  0.42502  0.49135  0.60969  0.72640  0.79691  0.80095  0.75079  0.68530  0.65081  0.67870  0.77191  0.90826  1.05834  1.20790  1.37168  1.59227  1.92788  2.43803  3.17187  4.15449  5.36716  6.72867  8.09590  9.29542 10.17710 10.66300 10.76900 10.59340 10.28650 10.01330  9.91813 10.09460 10.56860 11.30220 12.21870 13.23600 14.28650 15.31960 16.29860 17.21320 18.11080 19.13100 20.51910 22.60900 25.78320 30.41310 36.78550 45.01160 54.93240 66.04610 77.49040 88.10970 96.60710 101.75900 102.64600 98.85090 90.59710 78.76840 64.78270 50.30680
 -140.000 -140.000 35.88430 24.83340 16.51780 10.76610  7.06014  4.76564  3.32161  2.34118  1.62013  1.08488  0.72380  0.53519  0.50180  0.58488  0.72837  0.86982  0.95765  0.96996  0.92463  0.87182  0.86985  0.95643  1.13129  1.36064  1.60182  1.83462  2.08169  2.40821  2.90487  3.66571  4.76728  6.24521  8.06561 10.10220 12.14190 13.93050 15.24530 15.96040 16.07670 15.71220 15.06450 14.36170 13.81170 13.56170 13.67570 14.14160 14.90040 15.88100 17.01840 18.25220 19.52340 20.79410 22.09330 23.56580 25.49070 28.25400 32.28190 37.95190 45.49410 54.89370 65.80960 77.53310 89.01790 98.99780 106.18200 109.48400 108.23000 102.30100 92.19450 78.98260 64.14770 49.30720
 -135.000 -135.000 33.46920 23.06770 15.35810 10.09110  6.72776  4.64803  3.32037  2.38960  1.67915  1.13652  0.76429  0.56870  0.53552  0.62548  0.77994  0.93333  1.03234  1.05673  1.03032  1.01245  1.07032  1.24580  1.53515  1.89480  2.27195  2.64384  3.04361  3.56002  4.31514  5.43430  7.01651  9.10243 11.63850 14.45120 17.25690 19.71900 21.53370 22.51080 22.61610 21.97060 20.81450 19.44720 18.15940 17.17430 16.61710 16.52260 16.86860 17.61090 18.69800 20.06480 21.63030 23.32630 25.15980 27.27660 29.98330 33.70430 38.88390 45.86240 54.75500 65.35450 77.07760 88.97620 99.83570 108.35600 113.37900 114.10600 110.23800 102.02400 90.23470 76.06090 60.94560 46.34580
