VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  3.16250  1.95023  1.12771  0.61120  0.31030  0.14745  0.06552  0.02720  0.01055  0.00383  0.00131  0.00044  0.00018  0.00015  0.00021  0.00033  0.00048  0.00064  0.00080  0.00097  0.00121  0.00158  0.00213  0.00289  0.00385  0.00505  0.00667  0.00914  0.01325  0.01994  0.03010  0.04403  0.06113  0.07978  0.09766  0.11235  0.12181  0.12468  0.12041  0.10939  0.09306  0.07384  0.05463  0.03801  0.02573  0.01851  0.01635  0.01905  0.02662  0.03966  0.05977  0.09054  0.13958  0.22229  0.36768  0.62602  1.07522  1.81935  2.97028  4.60670  6.71831  9.15865 11.63860 13.77840 15.20790 15.67390 15.11100 13.64920 11.56450  9.19650  6.86535  4.81033
 -175.000 -175.000  5.41636  3.38796  1.99677  1.10805  0.57827  0.28337  0.13017  0.05598  0.02253  0.00850  0.00304  0.00109  0.00051  0.00048  0.00072  0.00112  0.00161  0.00215  0.00268  0.00326  0.00402  0.00520  0.00697  0.00942  0.01250  0.01622  0.02094  0.02769  0.03830  0.05512  0.08023  0.11437  0.15603  0.20122  0.24428  0.27926  0.30123  0.30702  0.29551  0.26792  0.22794  0.18139  0.13511  0.09523  0.06587  0.04884  0.04425  0.05165  0.07101  0.10358  0.15287  0.22679  0.34191  0.53073  0.85203  1.40262  2.32463  3.79699  5.99729  9.02816 12.82450 17.08470 21.27600 24.74170 26.87950 27.31960 26.02570 23.28290 19.59240 15.52600 11.59450  8.16191
 -170.000 -170.000  9.34389  5.97174  3.60282  2.04840  1.09541  0.54989  0.25870  0.11397  0.04705  0.01825  0.00674  0.00255  0.00133  0.00140  0.00217  0.00338  0.00489  0.00650  0.00810  0.00980  0.01205  0.01548  0.02066  0.02783  0.03680  0.04741  0.06023  0.07740  0.10287  0.14178  0.19865  0.27501  0.36734  0.46668  0.56039  0.63531  0.68072  0.69009  0.66166  0.59872  0.50970  0.40729  0.30602  0.21895  0.15502  0.11835  0.10946  0.12753  0.17248  0.24687  0.35814  0.52323  0.77702  1.18571  1.86389  2.99007  4.80974  7.60821 11.63580 16.98460 23.45100 30.45460 37.08590 42.30580 45.23450 45.40820 42.89090 38.21090 32.17200 25.63520 19.34330 13.82040
 -165.000 -165.000 15.65700 10.20960  6.28416  3.64245  1.98384  1.01354  0.48527  0.21778  0.09177  0.03646  0.01389  0.00553  0.00321  0.00370  0.00585  0.00918  0.01328  0.01765  0.02200  0.02661  0.03261  0.04175  0.05557  0.07467  0.09852  0.12627  0.15859  0.19934  0.25630  0.33962  0.45822  0.61476  0.80164  1.00031  1.18503  1.32942  1.41264  1.42288  1.35830  1.22686  1.04595  0.84039  0.63812  0.46433  0.33666  0.26381  0.24755  0.28672  0.38132  0.53652  0.76780  1.11030  1.63483  2.47127  3.83442  6.04034  9.49268 14.61420 21.70730 30.76100 41.27090 52.17980 62.02600 69.29360 72.83840 72.20300 67.68720 60.17750 50.84800 40.87860 31.26380 22.71900
 -160.000 -160.000 24.96230 16.53390 10.32940  6.07112  3.35060  1.73448  0.84219  0.38407  0.16495  0.06707  0.02633  0.01105  0.00709  0.00879  0.01416  0.02231  0.03234  0.04308  0.05380  0.06521  0.08002  0.10239  0.13610  0.18263  0.24052  0.30717  0.38250  0.47270  0.59150  0.75733  0.98602  1.28149  1.62838  1.99125  2.32205  2.57275  2.70703  2.70649  2.57140  2.31904  1.98174  1.60333  1.23234  0.91290  0.67701  0.54177  0.51206  0.58693  0.76704  1.06283  1.50553  2.16521  3.17961  4.79245  7.38938 11.50670 17.77740 26.78280 38.80680 53.54990 69.92860 86.11060 99.86270 109.13300 112.62900 110.12400 102.38800 90.81480 77.00270 62.43750 48.34730 35.65580
 -155.000 -155.000 37.42040 25.05580 15.81330  9.38413  5.22893  2.73506  1.34432  0.62233  0.27228  0.11325  0.04580  0.02028  0.01426  0.01879  0.03074  0.04867  0.07075  0.09461  0.11875  0.14478  0.17862  0.22930  0.30504  0.40903  0.53784  0.68472  0.84680  1.03236  1.26347  1.57063  1.97965  2.49517  3.08831  3.69633  4.23663  4.62944  4.81803  4.77833  4.51785  4.07019  3.48983  2.84662  2.21697  1.67163  1.26430  1.02631  0.96932  1.09422  1.40392  1.91912  2.70012  3.87991  5.71269  8.63248 13.29810 20.57770 31.41650 46.55140 66.10270 89.17570 113.68700 136.61600 154.69900 165.35200 167.38600 161.19600 148.37500 131.04000 111.25000 90.73880 70.90240 52.85560
 -150.000 -150.000 52.37810 35.30440 22.42420 13.39310  7.51588  3.96527  1.97074  0.92556  0.41236  0.17535  0.07301  0.03407  0.02607  0.03613  0.05993  0.09534  0.13925  0.18743  0.23735  0.29249  0.36468  0.47159  0.62925  0.84364  1.10733  1.40503  1.72662  2.08053  2.49877  3.02800  3.70734  4.54099  5.47893  6.41803  7.22690  7.78389  8.00937  7.87848  7.41494  6.67755  5.74959  4.73193  3.73426  2.86122  2.19693  1.79527  1.68058  1.85908  2.33925  3.16043  4.43275  6.39368  9.48449 14.43390 22.30540 34.43210 52.15270 76.31530 106.64200 141.20700 176.37100 207.41200 229.76700 240.40000 238.63300 226.03800 205.52500 180.20700 152.65400 124.75500 97.95420 73.48440
 -145.000 -145.000 68.18180 46.10370 29.38560 17.62280  9.94210  5.28411  2.65330  1.26340  0.57271  0.24866  0.10641  0.05222  0.04317  0.06251  0.10501  0.16811  0.24732  0.33624  0.43169  0.54089  0.68543  0.89668  1.20259  1.61274  2.11191  2.66884  3.25801  3.88271  4.58464  5.43053  6.47700  7.72744  9.10288 10.44600 11.56240 12.28020 12.49810 12.19970 11.43680 10.30250  8.91268  7.40028  5.91035  4.58744  3.55576  2.90215  2.67189  2.88205  3.55235  4.75328  6.67304  9.70766 14.57330 22.41670 34.85250 53.81220 81.08420 117.52700 162.14600 211.45400 259.62100 299.68800 325.55800 333.91900 325.13100 302.62100 271.20100 235.31300 198.11000 161.52400 126.87900 95.38230
 -140.000 -140.000 82.37730 55.72670 35.56300 21.37650 12.10750  6.47564  3.28215  1.58286  0.72902  0.32253  0.14154  0.07287  0.06472  0.09742  0.16578  0.26770  0.39805  0.54932  0.71940  0.92265  1.19537  1.58809  2.14445  2.87701  3.75623  4.72312  5.72322  6.74416  7.83385  9.08283 10.57220 12.30850 14.18020 15.96500 17.39400 18.23950 18.38230 17.82520 16.65960 15.01890 13.05190 10.92030  8.80418  6.89298  5.36081  4.33857  3.90169  4.08482  4.92693  6.54563  9.24038 13.62530 20.78330 32.40000 50.77300 78.53200 117.91900 169.64200 231.62300 298.27100 360.98200 410.12000 437.92700 441.08700 421.57500 385.35600 339.72200 290.78400 242.35100 196.29600 153.62000 115.28900
 -135.000 -135.000 92.33840 62.35160 39.76810 23.92480 13.58770  7.30497  3.73258  1.82022  0.84992  0.38211  0.17147  0.09245  0.08782  0.13708  0.23670  0.38689  0.58436  0.82376  1.10849  1.46532  1.95093  2.63974  3.59280  4.82223  6.27362  7.84293  9.42580 10.97610 12.53960 14.23470 16.18020 18.39960 20.75600 22.96100 24.66450 25.57960 25.57050 24.66560 23.00080 20.75110 18.09490 15.21980 12.34090  9.69814  7.52395  6.00184  5.24405  5.30883  6.26307  8.28870 11.82860 17.76740 27.62840 43.72340 69.11040 107.14600 160.45400 229.38700 310.43500 395.48600 472.78200 529.80700 557.22300 552.04800 518.38600 465.26900 402.88200 339.24900 278.89400 223.52500 173.62300 129.64600
