VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  8.07872  5.58134  3.53413  2.04770  1.08397  0.52344  0.23022  0.09208  0.03344  0.01101  0.00328  0.00089  0.00022  0.00005  0.00001  0.00000  0.00000  0.00000  0.00001  0.00003  0.00007  0.00015  0.00029  0.00050  0.00076  0.00106  0.00136  0.00160  0.00180  0.00197  0.00219  0.00248  0.00287  0.00336  0.00406  0.00527  0.00760  0.01199  0.01947  0.03075  0.04556  0.06202  0.07677  0.08591  0.08667  0.07876  0.06465  0.04865  0.03568  0.03099  0.04159  0.07888  0.16098  0.31245  0.55984  0.92356  1.41036  2.01216  2.71509  3.51590  4.43693  5.52893  6.85465  8.45321 10.29250 12.22630 13.98110 15.19990 15.54700 14.83910 13.13620 10.73770
 -175.000 -175.000 11.60010  7.97147  5.02908  2.90750  1.53769  0.74264  0.32696  0.13100  0.04769  0.01575  0.00472  0.00128  0.00032  0.00007  0.00002  0.00000  0.00000  0.00001  0.00004  0.00010  0.00024  0.00051  0.00097  0.00167  0.00257  0.00360  0.00460  0.00545  0.00613  0.00675  0.00748  0.00847  0.00972  0.01122  0.01311  0.01600  0.02118  0.03052  0.04607  0.06910  0.09884  0.13143  0.16015  0.17738  0.17780  0.16105  0.13214  0.09949  0.07231  0.05961  0.07238  0.12816  0.25535  0.49380  0.88885  1.47925  2.28459  3.30051  4.50781  5.89333  7.47119  9.28909 11.40840 13.85580 16.55750 19.28170 21.62840 23.10160 23.26210 21.90550 19.17370 15.52940
 -170.000 -170.000 15.73860 10.74300  6.74249  3.88328  2.04849  0.98791  0.43476  0.17430  0.06357  0.02108  0.00636  0.00175  0.00045  0.00011  0.00003  0.00001  0.00001  0.00004  0.00012  0.00031  0.00072  0.00153  0.00292  0.00502  0.00777  0.01091  0.01400  0.01666  0.01882  0.02077  0.02306  0.02606  0.02981  0.03409  0.03900  0.04560  0.05633  0.07468  0.10421  0.14681  0.20050  0.25800  0.30727  0.33510  0.33264  0.29986  0.24606  0.18613  0.13564  0.10871  0.12115  0.19765  0.37931  0.72610  1.31007  2.19921  3.43813  5.03648  6.97409  9.22288 11.77330 14.64640 17.87390 21.44020 25.20060 28.81030 31.72270 33.29540 32.99910 30.64350 26.50090 21.24690
 -165.000 -165.000 20.18460 13.67330  8.52850  4.88791  2.56909  1.23604  0.54342  0.21802  0.07978  0.02666  0.00818  0.00234  0.00064  0.00018  0.00005  0.00002  0.00004  0.00011  0.00031  0.00082  0.00194  0.00412  0.00788  0.01357  0.02109  0.02973  0.03834  0.04587  0.05206  0.05769  0.06416  0.07252  0.08278  0.09415  0.10628  0.12077  0.14181  0.17537  0.22697  0.29862  0.38578  0.47571  0.54909  0.58582  0.57339  0.51337  0.42157  0.32183  0.23791  0.18993  0.19865  0.29629  0.53843  1.00974  1.81776  3.07302  4.86170  7.22281 10.14290 13.57260 17.45550 21.74850 26.40840 31.33360 36.27250 40.74720 44.06270 45.45160 44.33500 40.58900 34.66800 27.49840
 -160.000 -160.000 24.49890 16.46240 10.19930  5.81405  3.04376  1.46097  0.64215  0.25838  0.09535  0.03248  0.01039  0.00322  0.00102  0.00035  0.00013  0.00007  0.00009  0.00026  0.00075  0.00197  0.00467  0.00996  0.01909  0.03298  0.05146  0.07290  0.09454  0.11380  0.12995  0.14474  0.16148  0.18272  0.20844  0.23638  0.26474  0.29531  0.33473  0.39235  0.47574  0.58567  0.71257  0.83584  0.92763  0.96150  0.92334  0.81907  0.67360  0.52145  0.39524  0.32074  0.32297  0.44148  0.74761  1.35512  2.41600  4.09800  6.54748  9.85025 14.00740 18.93800 24.50730 30.55780 36.91410 43.33590 49.43190 54.58640 57.98350 58.78490 56.43050 50.92590 42.95000 33.69430
 -155.000 -155.000 28.20490 18.79760 11.56730  6.55938  3.42221  1.64096  0.72315  0.29358  0.11064  0.03943  0.01378  0.00497  0.00193  0.00080  0.00035  0.00018  0.00022  0.00056  0.00161  0.00426  0.01012  0.02162  0.04159  0.07213  0.11310  0.16112  0.21031  0.25501  0.29332  0.32880  0.36845  0.41780  0.47684  0.54020  0.60242  0.66431  0.73516  0.82847  0.95337  1.10694  1.27095  1.41454  1.50197  1.50424  1.41108  1.23750  1.02009  0.80414  0.62957  0.52584  0.52084  0.66109  1.03530  1.79080  3.13302  5.30087  8.51794 12.93090 18.55730 25.26720 32.80670 40.84760 49.02210 56.90500 63.94710 69.41510 72.43060 72.16770 68.17000 60.63480 50.48780 39.16770
 -150.000 -150.000 30.90180 20.42770 12.48910  7.05024  3.67132  1.76396  0.78416  0.32521  0.12830  0.04999  0.02028  0.00889  0.00416  0.00197  0.00091  0.00046  0.00046  0.00111  0.00314  0.00829  0.01975  0.04233  0.08172  0.14235  0.22442  0.32181  0.42326  0.51759  0.60055  0.67841  0.76442  0.86949  0.99374  1.12610  1.25358  1.37292  1.49504  1.63750  1.80991  2.00244  2.18451  2.31372  2.34995  2.26955  2.07519  1.79748  1.48646  1.19584  0.96879  0.83501  0.82366  0.98890  1.43950  2.36156  4.02225  6.74282 10.83500 16.51060 23.79410 32.47680 42.13940 52.22870 62.13710 71.23000 78.81020 84.07550 86.16730 84.36880 78.41120 68.72940 56.49080 43.33210
 -145.000 -145.000 32.35300 21.21520 12.89290  7.25394  3.77972  1.82922  0.82916  0.35896  0.15409  0.06913  0.03364  0.01750  0.00921  0.00465  0.00220  0.00108  0.00092  0.00199  0.00555  0.01463  0.03491  0.07504  0.14542  0.25455  0.40376  0.58328  0.77391  0.95571  1.12010  1.27667  1.44789  1.65312  1.89315  2.14790  2.39077  2.60842  2.80940  3.01322  3.22822  3.43547  3.59062  3.64192  3.55250  3.31565  2.95821  2.53286  2.10284  1.72519  1.44013  1.27374  1.25607  1.45148  1.99327  3.11208  5.14346  8.49670 13.57260 20.63840 29.69980 40.42960 52.19620 64.17990 75.51290 85.36080 92.92170 97.39760 98.03960 94.32860 86.24660 74.48440 60.41960 45.81530
 -140.000 -140.000 32.51870 21.15060 12.78170  7.17743  3.75523  1.84514  0.86733  0.40442  0.19717  0.10465  0.05981  0.03482  0.01952  0.01016  0.00487  0.00231  0.00172  0.00330  0.00899  0.02362  0.05637  0.12141  0.23612  0.41540  0.66322  0.96602  1.29434  1.61601  1.91520  2.20438  2.51756  2.88593  3.31218  3.76396  4.19314  4.56617  4.87998  5.15001  5.38104  5.54633  5.59286  5.46877  5.15318  4.66984  4.07988  3.46111  2.88591  2.40670  2.05379  1.84693  1.81924  2.05051  2.70463  4.06206  6.52955 10.60220 16.75830 25.29550 36.16320 48.87150 62.53800 76.06090 88.32610 98.34490 105.28000 108.42000 107.20300 101.36900 91.18000 77.57200 62.08110 46.51950
 -135.000 -135.000 31.53610 20.33530 12.22080  6.85861  3.61942  1.82597  0.91085  0.47349  0.26883  0.16628  0.10620  0.06590  0.03814  0.02016  0.00971  0.00453  0.00304  0.00519  0.01364  0.03550  0.08443  0.18183  0.35440  0.62621  1.00631  1.47829  2.00133  2.52781  3.03071  3.52281  4.05006  4.65839  5.35502  6.09354  6.79566  7.39289  7.85426  8.17919  8.36603  8.38785  8.19883  7.76684  7.10553  6.28212  5.39662  4.54816  3.80863  3.21540  2.78243  2.52301  2.47856  2.75181  3.54375  5.18728  8.15685 13.02090 20.31100 30.31990 42.89900 57.36020 72.55630 87.11870 99.73490 109.33200 115.11500 116.52500 113.23800 105.27400 93.17090 78.07370 61.62040 45.60260
