VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 19.08500 15.84910 12.28820  8.88294  5.97900  3.74157  2.17330  1.16984  0.58294  0.26932  0.11684  0.05065  0.02734  0.02526  0.03579  0.05740  0.09162  0.14010  0.20257  0.27648  0.35903  0.44990  0.55145  0.66391  0.77801  0.87199  0.91831  0.89826  0.81431  0.69098  0.56322  0.46097  0.39974  0.38101  0.39831  0.44293  0.50642  0.58132  0.66289  0.75220  0.85800  0.99439  1.17415  1.40182  1.67252  1.97921  2.32421  2.72644  3.21855  3.83610  4.60512  5.53115  6.58842  7.70949  8.78354  9.67462 10.26180 10.48640 10.38260 10.07590  9.75105  9.61067  9.84185 10.59560 11.96340 13.93760 16.36340 18.91440 21.12820 22.51080 22.68000 21.49030
 -175.000 -175.000 26.09770 21.68930 16.86390 12.25190  8.30649  5.24755  3.08393  1.68346  0.85309  0.40263  0.18052  0.08372  0.05131  0.05214  0.07340  0.11239  0.17082  0.25018  0.34820  0.45791  0.57074  0.68171  0.79183  0.90348  1.01113  1.09593  1.13191  1.10194  1.01182  0.89094  0.77871  0.70701  0.69070  0.72955  0.81572  0.93891  1.08656  1.24273  1.39048  1.51871  1.62950  1.74100  1.88334  2.08973  2.38840  2.79972  3.33910  4.02207  4.86789  5.89986  7.14060  8.59853 10.24390 11.98290 13.64950 15.03480 15.95330 16.31840 16.18840 15.75690 15.29600 15.08600 15.36640 16.31560 18.03450 20.50720 23.53990 26.72120 29.45730 31.10340 31.15600 29.42350
 -170.000 -170.000 33.31050 27.67880 21.57020 15.74580 10.75270  6.85914  4.08053  2.26083  1.16662  0.56385  0.26276  0.13195  0.09203  0.10113  0.14099  0.20658  0.29873  0.41772  0.55801  0.70657  0.84716  0.96864  1.07031  1.15842  1.23519  1.29054  1.30631  1.27175  1.19778  1.11720  1.07011  1.08629  1.17724  1.34030  1.56683  1.84489  2.15509  2.46642  2.74013  2.94311  3.06491  3.12970  3.19633  3.34542  3.65822  4.19574  4.98734  6.03400  7.32524  8.86048 10.65880 12.74260 15.09270 17.59800 20.03450 22.10600 23.54160 24.20690 24.17070 23.69010 23.12570 22.83790 23.11790 24.16590 26.08550 28.85040 32.23530 35.76230 38.73210 40.37640 40.09280 37.65710
 -165.000 -165.000 39.90800 33.12270 25.85920 18.96410 13.04610  8.40613  5.06499  2.85040  1.49929  0.74350  0.36190  0.19841  0.15637  0.18281  0.25249  0.35609  0.49150  0.65604  0.83970  1.02282  1.18147  1.29870  1.37301  1.41615  1.44109  1.45125  1.44209  1.41445  1.38715  1.39600  1.47910  1.66102  1.94796  2.33460  2.81161  3.36365  3.95861  4.53974  5.03242  5.36817  5.51676  5.51183  5.45629  5.50138  5.80405  6.47869  7.56579  9.03546 10.82700 12.90290 15.28090 18.01450 21.11940 24.48700 27.84340 30.79760 32.97300 34.16040 34.41240 34.02860 33.44480 33.09490 33.31570 34.32070 36.20550 38.92690 42.23830 45.62760 48.34370 49.55810 48.62340 45.31110
 -160.000 -160.000 45.14540 37.38790 29.22900 21.53440 14.92750  9.71921  5.93368  3.39288  1.81966  0.92663  0.47254  0.28359  0.24916  0.30559  0.41919  0.57360  0.76077  0.97272  1.19420  1.39993  1.56095  1.65768  1.69038  1.67771  1.64431  1.60867  1.58282  1.58304  1.63926  1.79191  2.07758  2.51609  3.10967  3.85170  4.73154  5.72534  6.77701  7.78699  8.62496  9.16985  9.36359  9.25503  9.01077  8.87987  9.11932  9.90837 11.29320 13.19460 15.48050 18.06440 20.96700 24.29250 28.12020 32.37140 36.73880 40.73780 43.87010 45.82260 46.59620 46.50010 46.02160 45.65370 45.76940 46.58350 48.16650 50.44560 53.15870 55.79980 57.64130 57.88720 55.92750 51.57230
 -155.000 -155.000 48.52360 40.05410 31.34310 23.19940 16.20850 10.66630  6.59795  3.83162  2.09348  1.09385  0.58461  0.38297  0.36900  0.46976  0.64198  0.85949  1.10491  1.36256  1.61162  1.82381  1.97008  2.03388  2.02141  1.95955  1.88328  1.82416  1.80992  1.87320  2.05749  2.41131  2.97422  3.76723  4.79518  6.05466  7.53259  9.18669 10.91780 12.55720 13.89150 14.72550 14.96530 14.68460 14.13840 13.70470 13.76590 14.57720 16.18540 18.44730 21.14360 24.13090 27.43700 31.23270 35.68410 40.76750 46.16220 51.29770 55.54670 58.46830 59.97770 60.35760 60.11900 59.79690 59.78890 60.29630 61.34290 62.80610 64.40780 65.68690 66.02100 64.75340 61.40630 55.87910
 -150.000 -150.000 49.88420 40.99450 32.09380 23.86420 16.80520 11.17540  6.99935  4.12232  2.28958  1.22443  0.68416  0.48565  0.50491  0.66206  0.90417  1.19333  1.50030  1.79980  2.06578  2.27025  2.38988  2.41784  2.37123  2.28669  2.20755  2.17432  2.22639  2.41042  2.78369  3.40628  4.32837  5.58368  7.19247  9.16349 11.48000 14.06570 16.74860 19.25280 21.24310 22.42370 22.65830 22.06120 21.00830 20.04280 19.70090 20.32710 21.96990 24.41660 27.35640 30.58760 34.14570 38.27120 43.22380 49.04620 55.41900 61.69890 67.13240 71.14000 73.52700 74.52070 74.63040 74.41530 74.28560 74.41450 74.75930 75.12670 75.21920 74.65180 72.97690 69.77110 64.77460 58.02200
 -145.000 -145.000 49.40870 40.37690 31.60540 23.60170 16.74610 11.24470  7.12052  4.24316  2.38790  1.30183  0.75672  0.57608  0.63686  0.85539  1.17045  1.53238  1.89926  2.23567  2.51128  2.70148  2.79369  2.79645  2.74255  2.68072  2.66192  2.73224  2.93776  3.33414  3.98935  4.97665  6.36534  8.21745 10.58710 13.50840 16.95930 20.80750 24.76570 28.39600 31.19050 32.71920 32.79910 31.61080 29.69490 27.80720 26.67320 26.74840 28.09390 30.43630 33.38140 36.67220 40.34600 44.69720 50.06110 56.53730 63.81180 71.18210 77.78290 82.89990 86.21920 87.89370 88.40880 88.33140 88.07250 87.76880 87.30200 86.40210 84.75640 82.07680 78.13390 72.79350 66.06470 58.14260
 -140.000 -140.000 47.55180 38.60940 30.19730 22.63300 16.16690 10.94700  6.99390  4.20447  2.38817  1.32061  0.79273  0.63906  0.74145  1.01587  1.39563  1.82137  2.23986  2.60682  2.88922  3.06825  3.14524  3.14772  3.12785  3.14985  3.27451  3.55327  4.03537  4.77931  5.85788  7.35637  9.37108 12.00970 15.38190 19.56170 24.51760 30.02960 35.63750 40.67040 44.38130 46.16680 45.79760 43.55890 40.21860 36.80810 34.29340 33.27400 33.84770 35.69990 38.36840 41.54440 45.24980 49.79800 55.55930 62.66090 70.78610 79.18600 86.90380 93.10570 97.35860 99.72720 100.65300 100.69300 100.25100 99.42750 98.04480 95.77720 92.31840 87.49420 81.30470 73.90750 65.57920 56.66770
 -135.000 -135.000 44.95410 36.26610 28.33260 21.29850 15.29790 10.42710  6.70509  4.05387  2.31482  1.29088  0.79226  0.66583  0.80051  1.11483  1.54003  2.01060  2.46533  2.85388  3.14294  3.32135  3.40569  3.44395  3.51018  3.68838  4.05433  4.66845  5.58263  6.85313  8.55103 10.77150 13.64510 17.34270 22.04990 27.89120 34.81230 42.46030 50.12930 56.82830 61.49670 63.31840 62.02840 58.07290 52.52940 46.78920 42.12540 39.32810 38.56170 39.49260 41.60310 44.52800 48.24730 53.04660 59.27940 67.06040 76.05600 85.47910 94.30170 101.58500 106.77700 109.84000 111.14900 111.23400 110.48600 108.99100 106.54800 102.83000 97.57990 90.75870 82.57760 73.44220 63.83970 54.22590
 -130.000 -130.000 42.35990 34.01360 26.55970 20.01690 14.43820  9.88656  6.38307  3.87003  2.21330  1.23673  0.76571  0.65736  0.80744  1.13847  1.58261  2.07221  2.54242  2.94082  3.23680  3.42847  3.54803  3.66398  3.87397  4.28637  4.99905  6.08779  7.60969  9.61631 12.17290 15.38420 19.42390 24.54180 31.01370 39.01290 48.43190 58.72210 68.84360 77.39510 82.93330 84.40650 81.54570 75.03610 66.36450 57.37780 49.73030 44.44900 41.79080 41.41350 42.74240 45.34090 49.11470 54.27750 61.11890 69.70650 79.67360 90.19900 100.19400 108.62000 114.79900 118.56900 120.22200 120.24300 119.02000 116.65100 112.97100 107.71800 100.74600 92.17220 82.39130 71.98130 61.54720 51.57610
 -125.000 -125.000 40.53250 32.52650 25.43840 19.22380 13.90650  9.54580  6.17232  3.74278  2.13662  1.18803  0.72941  0.62270  0.76754  1.08987  1.52449  2.00527  2.46833  2.86359  3.16641  3.38574  3.56951  3.80661  4.21990  4.94704  6.11533  7.82305 10.13610 13.10130 16.77680 21.28050 26.83890 33.79350 42.51310 53.20020 65.64060 79.00820 91.83630 102.23500 108.34300 108.89000 103.67300 93.71360 81.01110 67.95300 56.62840 48.32670 43.39970 41.48580 41.93410 44.21170 48.12250 53.77890 61.38050 70.92860 82.01470 93.78000 105.07300 114.74800 121.98300 126.47800 128.42600 128.27100 126.40900 122.98800 117.92800 111.09300 102.50700 92.46450 81.51500 70.32900 59.52550 49.53130
 -120.000 -120.000 40.13940 32.37680 25.43710 19.28280 13.96960  9.58881  6.19222  3.74514  2.12724  1.16906  0.69847  0.57383  0.69326  0.98370  1.38307  1.82965  2.26484  2.64527  2.95553  3.21705  3.49431  3.89805  4.57998  5.71319  7.46156  9.95095 13.25670 17.41710 22.48020 28.57860 35.99880 45.17930 56.57260 70.37040 86.18090 102.81000 118.28300 130.18600 136.26100 135.10700 126.70000 112.51200 95.13560 77.53500 62.23330 50.75810 43.52250 40.11030 39.76260 41.82510 45.98390 52.24390 60.71600 71.33860 83.66160 96.78360 109.47800 120.47500 128.79700 133.99700 136.17700 135.75600 133.16300 128.62100 122.16300 113.81500 103.79600 92.59310 80.88730 69.37680 58.60190 48.84470
 -115.000 -115.000 41.59420 33.89080 26.80860 20.38380 14.76280 10.10600  6.49875  3.90910  2.20254  1.18995  0.68105  0.52055  0.59845  0.83921  1.18343  1.57596  1.96725  2.32459  2.64494  2.96500  3.36955  3.99769  5.03974  6.71525  9.23249 12.74430 17.32340 22.97940 29.72860 37.70370 47.24580 58.88580 73.14090 90.14630 109.26300 128.85400 146.40200 158.99500 164.08800 160.30400 147.95800 129.07900 106.87600 84.84580 65.85820 51.58910 42.44030 37.89030 37.04060 39.10010 43.63690 50.56390 59.92850 71.63100 85.19440 99.67490 113.76000 126.04100 135.38200 141.20200 143.53400 142.80600 139.50300 133.93400 126.24500 116.61600 105.45400 93.43380 81.34630 69.87250 59.40930 50.03250
 -110.000 -110.000 44.88200 37.00370 29.47430 22.45550 16.23000 11.05640  7.06280  4.21478  2.35000  1.24450  0.67684  0.46854  0.49534  0.67595  0.95288  1.27895  1.61649  1.94689  2.28357  2.68474  3.26662  4.21477  5.78167  8.25590 11.90060 16.88220 23.22930 30.85830 39.68500 49.78860 61.53540 75.53750 92.36630 112.07900 133.75700 155.30900 173.70900 185.66300 188.52700 181.15700 164.37300 140.82100 114.27200 88.60260 66.85810 50.71090 40.45330 35.41000 34.52620 36.87490 41.92100 49.51360 59.67530 72.30970 86.94500 102.61100 117.91300 131.30800 141.50800 147.82300 150.24600 149.24300 145.37200 139.02400 130.43300 119.89600 107.97500 95.50250 83.35330 72.16320 62.15510 53.17330
 -105.000 -105.000 49.44870 41.17590 32.96500 25.12800 18.10350 12.25960  7.77042  4.59424  2.53174  1.31383  0.67918  0.42006  0.39415  0.51242  0.71868  0.97427  1.25522  1.56039  1.92641  2.44681  3.29474  4.74160  7.15081 10.92340 16.39170 23.69750 32.72310 43.14300 54.61520 67.04540 80.76840 96.48020 114.84400 135.88900 158.47700 180.14900 197.50800 207.07800 206.34600 194.60900 173.30100 145.66500 115.87000 87.94180 64.85970 48.11660 37.79930 33.05060 32.66830 35.60970 41.26040 49.43600 60.17540 73.43500 88.79750 105.30800 121.52000 135.77900 146.66800 153.39800 155.94100 154.80300 150.61300 143.82700 134.73700 123.71400 111.42800 98.82390 86.83130 76.02690 66.46320 57.77010
 -100.000 -100.000 54.24230 45.43880 36.46550 27.77230 19.93590 13.42160  8.44201  4.94549  2.69404  1.37228  0.67842  0.37540  0.30306  0.36478  0.50551  0.69513  0.92432  1.21380  1.63532  2.34389  3.61727  5.88458  9.70702 15.67180 24.19750 35.31690 48.56510 63.09010 78.00300 92.82990 107.80400 123.76700 141.61700 161.53800 182.37200 201.50600 215.41400 220.68400 215.14600 198.66400 173.28700 142.70100 111.22700 82.75410 59.94920 43.96770 34.62930 30.90180 31.47240 35.22120 41.48260 50.06370 61.05350 74.50910 90.12960 107.04100 123.80500 138.70100 150.20200 157.42100 160.28000 159.29100 155.11900 148.26200 139.04800 127.89300 115.53200 102.97900 91.19000 80.68780 71.39360 62.78130
  -95.000  -95.000 57.95210 48.61010 38.99240 29.63390 21.19400 14.19460  8.86895  5.15328  2.77847  1.39313  0.66446  0.33350  0.22733  0.24437  0.33145  0.46680  0.65692  0.95092  1.47481  2.48701  4.44506  8.04783 14.18720 23.74490 37.23830 54.44000 74.20150 94.68560 114.01100 131.03500 145.84500 159.59800 173.74700 188.99200 204.51000 217.87300 225.72500 224.95100 213.84900 192.83500 164.40500 132.42100 101.04800 73.75400 52.69980 38.60860 31.02550 28.78920 30.53820 35.12590 41.86740 50.57950 61.42150 74.58830 89.95540 106.80800 123.79800 139.19800 151.39500 159.37600 162.94600 162.54200 158.80300 152.23400 143.18700 132.11200 119.78800 107.26500 95.51230 85.02820 75.67560 66.86530
  -90.000  -90.000 59.39050 49.63600 39.67500 30.04550 21.40490 14.27050  8.86697  5.11718  2.73540  1.35427  0.62875  0.29225  0.16840  0.15565  0.20449  0.30184  0.47203  0.80202  1.49831  2.97892  5.98126 11.62140 21.29360 36.30790 57.27730 83.48580 112.62800 141.26200 165.93800 184.52300 196.97500 205.10400 211.41800 217.66900 223.85600 228.12900 227.58800 219.56800 202.81900 178.12400 148.12100 116.49300 86.92730 62.25590 44.02510 32.51470 27.04610 26.40570 29.25910 34.49220 41.43440 49.92710 60.20630 72.62120 87.26410 103.65000 120.60500 136.46700 149.56200 158.71500 163.52800 164.25300 161.41700 155.48400 146.81700 135.90500 123.56100 110.86100 98.80020 87.90400 78.07540 68.77160
  -85.000  -85.000 57.86600 47.93300 38.04380 28.65000 20.31510 13.48330  8.33724  4.78415  2.53943  1.24487  0.56685  0.24934  0.12421  0.09629  0.12233  0.19893  0.37132  0.77529  1.72686  3.86493  8.31441 16.76540 31.29360 53.76410 84.85620 123.08200 164.43900 203.20100 233.76700 252.73400 260.06300 258.68000 252.77100 245.75700 238.95500 231.44800 220.98700 205.37500 183.65800 156.67400 126.81600 97.22900 70.86490 49.79230 34.93810 26.20420 22.78030 23.49060 27.10510 32.60040 39.35840 47.25750 56.60420 67.89200 81.43800 97.02590 113.72400 130.00800 144.18200 154.89300 161.46200 163.85600 162.39000 157.42500 149.31800 138.58900 126.09000 112.93400 100.17200 88.42510 77.73720 67.71430
  -80.000  -80.000 53.37960 43.57460 34.19500 25.53570 17.99230 11.87970  7.30995  4.17297  2.20167  1.07078  0.48088  0.20384  0.09103  0.05976  0.07565  0.14630  0.34055  0.85204  2.12919  5.07921 11.29660 23.16220 43.55810 74.97790 118.10200 170.40600 225.73000 275.54500 311.70000 329.41200 328.87600 314.61100 293.04300 269.75600 247.74400 227.21800 206.62300 184.12200 158.80900 131.23600 103.19900 77.02150 54.77250 37.74570 26.32680 20.15360 18.38950 19.97940 23.86110 29.15320 35.32510 42.30360 50.44970 60.36570 72.56180 87.08660 103.28500 119.83500 135.07700 147.50500 156.13200 160.57000 160.83900 157.13000 149.74900 139.23600 126.49000 112.68100 98.95500 86.09500 74.35720 63.56540
  -75.000  -75.000 46.56350 37.23180 28.74440 21.20570 14.80880  9.71162  5.94194  3.37372  1.76979  0.85488  0.37998  0.15725  0.06545  0.03851  0.05270  0.12712  0.35466  0.98864  2.61492  6.41892 14.47980 29.88390 56.32090 96.87830 152.14700 218.41800 287.22000 347.10800 387.39300 402.07700 391.85000 363.11900 324.79500 284.77000 247.76300 215.08100 185.75200 158.11800 131.07800 104.64400 79.78960 57.89350 40.13320 27.11530 18.81730 14.73950 14.11040 16.05390 19.71490 24.38780 29.65540 35.50000 42.31260 50.75170 61.45610 74.69270 90.08170 106.54500 122.54100 136.47700 147.09800 153.64700 155.79800 153.51200 146.99300 136.78200 123.82800 109.38300 94.72140 80.81530 68.15810 56.80420
  -70.000  -70.000 38.41800 29.90850 22.59170 16.39020 11.30540  7.34609  4.46203  2.51744  1.31252  0.62983  0.27759  0.11310  0.04537  0.02631  0.04293  0.12461  0.38460  1.12639  3.05108  7.57627 17.18180 35.52810 66.94110 114.93100 179.90600 257.05200 335.88600 402.55000 444.38400 454.61900 434.64000 392.65200 339.76300 285.81400 236.91500 195.19400 160.05900 129.85900 103.16700 79.35690 58.55690 41.25310 27.85520 18.44230 12.73530 10.20670 10.21130 12.07570 15.16260 18.95190 23.15050 27.79390 33.27540 40.25020 49.40660 61.15680 75.35880 91.20250 107.33700 122.19100 134.33000 142.67600 146.55400 145.65900 140.06400 130.28900 117.33600 102.55000 87.33420 72.83340 59.74060 48.29440
