VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 13.16230  8.87079  5.57761  3.29001  1.83409  0.97349  0.49429  0.24013  0.11127  0.04929  0.02155  0.01032  0.00638  0.00518  0.00475  0.00451  0.00475  0.00632  0.01071  0.02005  0.03733  0.06638  0.11165  0.17695  0.26299  0.36398  0.46559  0.54707  0.58903  0.58388  0.54302  0.49518  0.47557  0.51048  0.60442  0.73555  0.86215  0.93836  0.93289  0.84171  0.68829  0.51182  0.35100  0.23255  0.16877  0.16253  0.21444  0.32814  0.51192  0.77597  1.12546  1.55142  2.02631  2.51258  2.98786  3.47780  4.07773  4.94746  6.27691  8.23551 10.92180 14.32310 18.28890 22.52080 26.58440 29.95190 32.08000 32.52520 31.07380 27.84550 23.30760 18.16560
 -175.000 -175.000 18.96920 12.72390  7.97228  4.68924  2.60691  1.37931  0.69785  0.33801  0.15687  0.07083  0.03327  0.01896  0.01461  0.01358  0.01302  0.01225  0.01212  0.01457  0.02258  0.04008  0.07197  0.12379  0.20103  0.30740  0.44156  0.59306  0.74013  0.85336  0.90681  0.89250  0.82967  0.76154  0.73898  0.79824  0.94280  1.13783  1.32080  1.42530  1.40807  1.26635  1.03667  0.77706  0.54390  0.37620  0.29282  0.29892  0.39439  0.57895  0.85291  1.21482  1.65719  2.16244  2.70487  3.26567  3.86270  4.58382  5.60338  7.16566  9.53522 12.92870 17.44530 23.00730 29.31890 35.85550 41.89970 46.63330 49.28040 49.28260 46.46620 41.14410 34.08810 26.34810
 -170.000 -170.000 25.70960 17.11990 10.65730  6.22893  3.43922  1.80561  0.90597  0.43593  0.20285  0.09490  0.05022  0.03545  0.03279  0.03312  0.03244  0.03020  0.02842  0.03110  0.04385  0.07350  0.12758  0.21339  0.33659  0.49882  0.69415  0.90502  1.10087  1.24403  1.30415  1.27599  1.18976  1.10518  1.08924  1.18693  1.39816  1.67174  1.92105  2.05692  2.02371  1.82134  1.50198  1.14531  0.82813  0.60462  0.50325  0.53451  0.69921  0.99155  1.39795  1.89567  2.45437  3.04235  3.64018  4.26560  5.00743  6.05498  7.70150 10.30700 14.22380 19.70370 26.80610 35.32220 44.72550 54.17140 62.57030 68.74580 71.66300 70.67740 65.73850 57.47020 47.06830 36.01720
 -165.000 -165.000 32.95260 21.74650 13.42120  7.77417  4.24889  2.20446  1.09214  0.52050  0.24400  0.12160  0.07628  0.06656  0.06981  0.07379  0.07303  0.06736  0.06095  0.06139  0.07852  0.12343  0.20708  0.33844  0.52199  0.75482  1.02335  1.30044  1.54627  1.71688  1.78151  1.74187  1.64162  1.55670  1.56771  1.72511  2.02247  2.39051  2.71756  2.89116  2.84308  2.57591  2.15788  1.69147  1.27607  0.98468  0.86040  0.92429  1.18178  1.62152  2.21077  2.89562  3.61176  4.30654  4.97052  5.67621  6.61608  8.12298 10.65110 14.70590 20.73320 28.99290 39.44530 51.66650 64.80580 77.60960 88.54480 96.03530 98.78750 96.12400 88.21870 76.13320 61.60380 46.62330
 -160.000 -160.000 40.20700 26.28360 16.06950  9.21333  4.97476  2.54357  1.24007  0.58455  0.27879  0.15355  0.11758  0.12159  0.13747  0.14887  0.14812  0.13570  0.11933  0.11208  0.13001  0.18996  0.30710  0.49193  0.74665  1.06185  1.41407  1.76536  2.06734  2.27302  2.35565  2.32727  2.24492  2.19691  2.27162  2.52031  2.92865  3.41056  3.83150  4.05645  4.00304  3.67342  3.14899  2.55426  2.01366  1.62448  1.45188  1.53527  1.89066  2.50343  3.31895  4.24472  5.17306  6.02389  6.80036  7.64559  8.88514 11.03270 14.73780 20.67000 29.35830 41.02690 55.46340 71.94040 89.20000 105.51900 118.88900 127.33600 129.34300 124.27200 112.62200 96.00090 76.76970 57.46610
 -155.000 -155.000 47.00860 30.46850 18.46940 10.48800  5.59579  2.81795  1.35050  0.63051  0.31050  0.19527  0.18060  0.20933  0.24679  0.27081  0.27046  0.24699  0.21307  0.18934  0.20004  0.26903  0.41630  0.65405  0.98223  1.38507  1.82985  2.26924  2.64913  2.92305  3.07112  3.11525  3.12060  3.17878  3.37677  3.76159  4.31223  4.93157  5.46797  5.76548  5.72350  5.33618  4.69129  3.93301  3.21431  2.66486  2.38202  2.43323  2.85282  3.62763  4.68255  5.88444  7.07792  8.15224  9.12524 10.22240 11.92310 14.94600 20.15270 28.37260 40.18570 55.71900 74.50840 95.44760 116.82100 136.42100 151.79300 160.61800 161.23200 153.11700 137.18000 115.63300 91.48630 67.80420
 -150.000 -150.000 52.94030 34.09520 20.54110 11.58290  6.12283  3.04442  1.43766  0.66799  0.34485  0.25016  0.26776  0.33227  0.40085  0.44364  0.44500  0.40674  0.34739  0.29668  0.28826  0.35374  0.51833  0.79672  1.18864  1.67555  2.22047  2.77261  3.27756  3.69285  4.00453  4.23730  4.45145  4.72618  5.13442  5.71443  6.44363  7.22467  7.89846  8.29048  8.27532  7.82740  7.03058  6.04553  5.05895  4.24372  3.74160  3.65844  4.05473  4.92518  6.18000  7.65065  9.13807 10.50360 11.78360 13.29210 15.67110 19.84850 26.88810 37.74710 52.99860 72.59800 95.75660 120.94000 145.96900 168.20200 184.82000 193.27400 191.86100 180.27100 159.86000 133.44300 104.62500 76.91050
 -145.000 -145.000 57.60470 36.96920 22.21120 12.48740  6.57096  3.24340  1.51817  0.70698  0.38537  0.31620  0.37248  0.48029  0.58748  0.65506  0.66138  0.60801  0.51905  0.43316  0.39327  0.43855  0.59980  0.89605  1.33114  1.89113  2.54474  3.24828  3.95558  4.63097  5.26087  5.85788  6.45568  7.09871  7.83028  8.67644  9.62151 10.58270 11.40600 11.90130 11.91080 11.37560 10.36450  9.05230  7.66689  6.43742  5.56271  5.19582  5.42895  6.27034  7.62426  9.29910 11.06550 12.76810 14.46840 16.57080 19.87380 25.49690 34.66960 48.41770 67.23130 90.81540 117.99800 146.80000 174.61900 198.47600 215.33200 222.56500 218.56900 203.32600 178.64900 147.88000 115.09100 84.08650
 -140.000 -140.000 60.62220 38.88220 23.38110 13.16610  6.93612  3.42249  1.60043  0.75159  0.42970  0.38362  0.47728  0.62874  0.77700  0.87399  0.89155  0.82950  0.71517  0.59363  0.51492  0.52482  0.66038  0.94818  1.40265  2.02471  2.80203  3.71186  4.72638  5.81855  6.96522  8.14561  9.33918 10.52970 11.71470 12.90540 14.10250 15.25230 16.21730 16.79460 16.78780 16.09420 14.76060 12.97780 11.02560  9.20361  7.77831  6.95435  6.85570  7.50562  8.81082 10.57310 12.55390 14.60010 16.80880 19.67150 24.12450 31.44180 42.96230 59.70760 82.00370 109.23500 139.80700 171.30600 200.77800 225.03000 240.98100 246.12000 239.09400 220.25800 191.85500 157.63300 121.94500 88.70900
 -135.000 -135.000 61.70890 39.65510 23.94630 13.56420  7.19384  3.57287  1.68141  0.79831  0.46987  0.43726  0.55806  0.74460  0.92962  1.05838  1.09684  1.04101  0.91703  0.77116  0.65664  0.62441  0.71949  0.98075  1.44115  2.12763  3.06026  4.25046  5.69733  7.38157  9.25757 11.24820 13.25190 15.16970 16.94080 18.55990 20.04850 21.38840 22.46260 23.05590 22.93070 21.94030 20.11440 17.67150 14.95890 12.35960 10.21370  8.77365  8.18683  8.48584  9.58392 11.29240 13.38750 15.74160 18.49830 22.22940 27.98010 37.13140 51.06980 70.74360 96.24970 126.60200 159.76300 192.91000 222.81000 246.19100 260.10200 262.33900 251.96700 229.78500 198.42300 161.87900 124.58000 90.35250
