VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 49.50700 36.93700 25.85270 17.09800 10.82090  6.67988  4.12028  2.59694  1.69074  1.13230  0.77367  0.54461  0.41421  0.36482  0.37783  0.42840  0.48661  0.52334  0.51860  0.46793  0.38284  0.28431  0.19317  0.12270  0.07694  0.05349  0.04793  0.05659  0.07693  0.10655  0.14225  0.18051  0.21912  0.25923  0.30620  0.36870  0.45589  0.57356  0.72080  0.88882  1.06302  1.22793  1.37301  1.49587  1.60033  1.68954  1.75849  1.79188  1.77139  1.68974  1.56292  1.43172  1.35029  1.37036  1.53563  1.89662  2.54478  3.65232  5.49754  8.45567 12.94230 19.30820 27.70190 37.93220 49.36950 60.92670 71.15160 78.45740 81.47800 79.47180 72.61610 62.03610
 -175.000 -175.000 71.03570 52.73090 36.75920 24.24400 15.32400  9.46656  5.86141  3.72598  2.46180  1.68440  1.18330  0.86015  0.67320  0.59889  0.61110  0.67429  0.74613  0.78642  0.76860  0.68808  0.56219  0.42075  0.29250  0.19522  0.13380  0.10491  0.10329  0.12547  0.16958  0.23309  0.31122  0.39757  0.48705  0.57899  0.67851  0.79449  0.93455  1.09925  1.27894  1.45634  1.61485  1.74840  1.86640  1.98926  2.13550  2.30686  2.48018  2.61271  2.66139  2.60842  2.47954  2.34281  2.28716  2.39536  2.73395  3.37621  4.45514  6.22470  9.09753 13.62950 20.43220 30.01360 42.57030 57.78010 74.65660 91.52930 106.20600 116.34500 120.00800 116.24800 105.49700 89.54180
 -170.000 -170.000 95.11990 70.22320 48.73930 32.04430 20.21840 12.48910  7.75218  4.96100  3.32008  2.31832  1.67535  1.26021  1.01747  0.91567  0.91997  0.98403  1.05462  1.08322  1.03982  0.92207  0.75391  0.57317  0.41466  0.29853  0.22920  0.20237  0.21352  0.26190  0.34901  0.47423  0.63183  0.81188  1.00437  1.20398  1.41234  1.63568  1.87789  2.13216  2.37676  2.58080  2.71982  2.79356  2.83318  2.89030  3.01104  3.20856  3.44987  3.66663  3.78807  3.78184  3.68171  3.58495  3.61952  3.90377  4.53144  5.60459  7.30920 10.00100 14.25540 20.84070 30.58990 44.17450 61.81340 82.98510 106.23200 129.15600 148.67500 161.59300 165.38000 158.96000 143.17800 120.66800
 -165.000 -165.000 119.23100 87.52770 60.47870 39.63570 24.96100 15.41130  9.58029  6.16170  4.16956  2.96975  2.21120  1.72656  1.44213  1.31508  1.30101  1.34523  1.38889  1.38203  1.29737  1.13842  0.93583  0.73240  0.56437  0.45000  0.39068  0.38128  0.42063  0.51503  0.67399  0.90266  1.19685  1.54336  1.92479  2.32558  2.73601  3.15149  3.56601  3.96170  4.30216  4.53909  4.63494  4.59113  4.46194  4.33973  4.31486  4.43068  4.65954  4.91540  5.10047  5.16420  5.14366  5.16146  5.38250  5.96048  7.01909  8.69662 11.24550 15.14170 21.14150 30.23600 43.47370 61.66040 84.98060 112.63000 142.58100 171.60600 195.68000 210.75200 213.78900 203.74100 182.03000 152.26700
 -160.000 -160.000 140.37100 102.46800 70.49720 46.06710 28.96580 17.87780 11.12570  7.18415  4.91110  3.57018  2.74662  2.23403  1.93428  1.78879  1.74375  1.74139  1.72608  1.65621  1.51537  1.31702  1.09787  0.90106  0.75781  0.67854  0.65838  0.69158  0.78382  0.95395  1.22562  1.61558  2.12573  2.74176  3.43640  4.17513  4.92268  5.64786  6.32236  6.91127  7.36264  7.61118  7.60515  7.34604  6.91332  6.44998  6.10856  5.98483  6.07674  6.29421  6.51762  6.67588  6.80156  7.03210  7.55889  8.56438 10.20250 12.65680 16.26120 21.62640 29.69290 41.65550 58.73100 81.78600 110.88200 144.84400 181.01100 215.31800 242.85300 258.86500 260.02300 245.50900 217.46200 180.49000
 -155.000 -155.000 155.78200 113.09500 77.50220 50.52680 31.74470 19.60170 12.21810  7.92223  5.47395  4.07015  3.24647  2.75715  2.47382  2.31849  2.23005  2.15509  2.05149  1.89604  1.69061  1.46193  1.25161  1.09849  1.02244  1.02046  1.07846  1.19078  1.37350  1.66330  2.10386  2.72972  3.55508  4.56865  5.73165  6.97967  8.23190  9.40698 10.43520 11.25550 11.80160 11.99780 11.78450 11.16740 10.25610  9.25359  8.39071  7.83661  7.63634  7.71272  7.93339  8.20624  8.54980  9.10009 10.05720 11.61950 13.96850 17.34170 22.16990 29.20610 39.56030 54.58020 75.56280 103.32300 137.68600 177.03600 218.06800 255.97800 285.17200 300.48200 298.57900 279.10000 244.97000 201.68500
 -150.000 -150.000 163.65100 118.18800 80.71690 52.54600 33.02730 20.43320 12.77710  8.33260  5.83194  4.44856  3.68781  3.26794  3.02791  2.86969  2.72924  2.56549  2.35834  2.10968  1.84351  1.60098  1.42748  1.35461  1.38733  1.50650  1.68829  1.92868  2.25711  2.73086  3.41625  4.36918  5.62153  7.17017  8.96474 10.90030 12.82880 14.59100 16.05190 17.11260 17.69460 17.72360 17.14740 15.98910 14.39790 12.64570 11.05270  9.87620  9.22482  9.04996  9.21684  9.61376 10.23590 11.19970 12.69300 14.91340 18.06510 22.44660 28.59590 37.40630 50.12300 68.16930 92.80460 124.65700 163.20800 206.35200 250.21500 289.45000 318.09900 330.95100 325.01300 300.56400 261.28600 213.33500
 -145.000 -145.000 163.59700 117.57600 80.08510 52.11960 32.82670 20.39070 12.82220  8.43259  5.99465  4.70058  4.04672  3.72355  3.54061  3.38370  3.19161  2.94159  2.63919  2.31189  2.00444  1.77088  1.65950  1.69484  1.86809  2.14654  2.50031  2.93085  3.48256  4.23169  5.26332  6.65182  8.44740 10.65860 13.22460 15.99330 18.73160 21.17830 23.10960 24.37540 24.88580 24.58310 23.44490 21.53440 19.05720 16.36290 13.86510 11.91180 10.68140 10.16200 10.22400 10.73810 11.66960 13.10070 15.18870 18.11670 22.10690 27.52210 35.00900 45.58450 60.57680 81.38940 109.11700 144.07400 185.31300 230.25200 274.58800 312.70400 338.65300 347.56100 337.06400 308.18300 265.23300 214.72000
 -140.000 -140.000 156.73800 112.17200 76.28130 49.70430 31.43040 19.64600 12.45260  8.27618  5.98234  4.81504  4.28122  4.05611  3.92915  3.77759  3.54838  3.23851  2.87616  2.50832  2.19420  1.99681  1.96717  2.12605  2.45730  2.92331  3.49750  4.19360  5.07200  6.22145  7.73400  9.69025 12.15070 15.13320 18.56690 22.25070 25.85910 29.01440 31.38730 32.76310 33.04060 32.19410 30.25990 27.37310 23.81960 20.03620 16.52440 13.71210 11.83680 10.91910 10.83470 11.43790 12.66140 14.54690 17.21340 20.82500 25.62170 32.03170 40.80040 53.03420 70.07540 93.20590 123.23900 160.08200 202.33000 247.00000 289.56100 324.43000 346.01700 350.10000 335.11900 302.82400 257.96300 207.06200
 -135.000 -135.000 145.33600 103.69700 70.51310 46.08600 29.31390 18.46690 11.80780  7.92482  5.80550  4.76351  4.33110  4.18261  4.10044  3.96234  3.72613  3.40448  3.03925  2.68627  2.41030  2.27859  2.34530  2.63309  3.12886  3.80395  4.64955  5.70213  7.03985  8.75519 10.92950 13.62820 16.90260 20.76690 25.13520 29.75790 34.21830 38.01950 40.71910 42.03000 41.84080 40.17700 37.17000 33.06890 28.27060 23.30680 18.75260 15.08720 12.57900 11.26070 11.00420 11.64490 13.08510 15.32980 18.46690 22.65160 28.15200 35.46140 45.40430 59.12580 77.90080 102.79100 134.24000 171.70100 213.35000 255.94500 294.95500 325.12300 341.48100 340.63700 321.86000 287.50000 242.49200 193.09700
