VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 19.91060 15.80890 11.86280  8.36933  5.52193  3.38983  1.92739  1.01102  0.48766  0.21572  0.08732  0.03229  0.01090  0.00338  0.00103  0.00046  0.00054  0.00096  0.00170  0.00277  0.00417  0.00582  0.00764  0.00960  0.01173  0.01422  0.01745  0.02200  0.02870  0.03848  0.05228  0.07102  0.09583  0.12848  0.17169  0.22857  0.30058  0.38419  0.46822  0.53471  0.56471  0.54700  0.48437  0.39309  0.29583  0.21284  0.15690  0.13404  0.14846  0.20773  0.32549  0.52018  0.81123  1.21594  1.75081  2.43742  3.30845  4.40877  5.79208  7.51861  9.65441 12.26070 15.35650 18.85680 22.52070 25.95450 28.69200 30.32070 30.59270 29.47190 27.11360 23.80630
 -175.000 -175.000 31.66440 24.94720 18.57370 13.00910  8.53167  5.21539  2.95940  1.55308  0.75142  0.33426  0.13639  0.05096  0.01743  0.00553  0.00183  0.00107  0.00152  0.00281  0.00498  0.00813  0.01226  0.01720  0.02272  0.02871  0.03528  0.04292  0.05266  0.06612  0.08549  0.11308  0.15073  0.19937  0.25920  0.33047  0.41423  0.51204  0.62353  0.74220  0.85200  0.92881  0.94857  0.89901  0.78773  0.64047  0.49059  0.36656  0.28513  0.25270  0.27203  0.34973  0.50102  0.75062  1.13055  1.67784  2.43518  3.45529  4.80509  6.56581  8.83022 11.70070 15.28460 19.66940 24.85900 30.68180 36.72020 42.32680 46.75070 49.32920 49.66120 47.68900 43.67750 38.12660
 -170.000 -170.000 47.46260 37.11250 27.42800 19.08510 12.45200  7.58696  4.30052  2.25988  1.09749  0.49116  0.20205  0.07626  0.02646  0.00867  0.00324  0.00250  0.00402  0.00748  0.01322  0.02158  0.03261  0.04594  0.06108  0.07769  0.09604  0.11731  0.14402  0.18032  0.23163  0.30325  0.39846  0.51688  0.65459  0.80581  0.96510  1.12809  1.28925  1.43724  1.55136  1.60400  1.57096  1.44542  1.24596  1.01212  0.78952  0.61421  0.50519  0.46725  0.49983  0.60673  0.80365  1.12303  1.61602  2.35260  3.42171  4.93177  7.00995  9.79773 13.44460 18.10140 23.90660 30.94250 39.14720 48.19710 57.42660 65.86100 72.39190 76.04410 76.22400 72.85390 66.36290 57.56050
 -165.000 -165.000 67.35790 52.26240 38.34050 26.50730 17.20920 10.45340  5.91994  3.11506  1.51813  0.68317  0.28311  0.10790  0.03805  0.01308  0.00582  0.00574  0.00984  0.01820  0.03191  0.05196  0.07858  0.11118  0.14872  0.19049  0.23698  0.29075  0.35757  0.44704  0.57154  0.74246  0.96486  1.23334  1.53224  1.84005  2.13548  2.40081  2.62047  2.77623  2.84409  2.79860  2.62550  2.33587  1.97093  1.59157  1.25790  1.01158  0.87013  0.83329  0.89460  1.05302  1.32390  1.75000  2.41099  3.42891  4.96790  7.22863 10.43710 14.82750 20.62160 28.00570 37.10020 47.90140 60.18410 73.38280 86.51690 98.23980 107.05300 111.63600 111.18200 105.60900 95.57480 82.31180
 -160.000 -160.000 90.84480 69.92070 50.90560 34.96070 22.57890 13.66820  7.72939  4.06959  1.98829  0.89855  0.37463  0.14415  0.05199  0.01934  0.01078  0.01287  0.02243  0.04070  0.07040  0.11393  0.17220  0.24443  0.32887  0.42419  0.53118  0.65498  0.80759  1.00947  1.28665  1.66175  2.14113  2.70586  3.31288  3.90679  4.43471  4.85528  5.13782  5.25607  5.18552  4.91126  4.44394  3.83229  3.15964  2.52191  1.99889  1.63574  1.44301  1.40995  1.52026  1.76568  2.16078  2.76279  3.69302  5.15132  7.41688 10.83330 15.77800 22.61740 31.65020 43.05000 56.80980 72.68840 90.14330 108.25800 125.69400 140.75100 151.57700 156.53500 154.62000 145.77100 130.94400 111.90700
 -155.000 -155.000 116.72800 89.11210 64.37530 43.90540 28.19490 16.99750  9.58904  5.04529  2.46731  1.11783  0.46829  0.18223  0.06823  0.02895  0.02080  0.02793  0.04784  0.08417  0.14270  0.22859  0.34445  0.48988  0.66253  0.86029  1.08455  1.34467  1.66373  2.08167  2.64899  3.40698  4.36081  5.46140  6.61050  7.68832  8.58688  9.22899  9.56620  9.56629  9.20927  8.50117  7.49654  6.30883  5.09238  4.00070  3.14417  2.57117  2.27846  2.23674  2.41371  2.79027  3.37997  4.26025  5.61066  7.74150 11.09780 16.23080 23.73500 34.14980 47.83580 64.85440 84.88730 107.22300 130.79100 154.20900 175.79200 193.59500 205.55300 209.82500 205.27200 191.89600 171.00300 144.97300
 -150.000 -150.000 143.07600 108.36900 77.69380 52.62100 33.58950 20.15280 11.32990  5.94864  2.90674  1.31797  0.55456  0.21958  0.08792  0.04536  0.04125  0.05830  0.09602  0.16214  0.26750  0.42203  0.63193  0.89869  1.22033  1.59456  2.02391  2.52445  3.13712  3.93364  5.00384  6.41712  8.17111 10.15930 12.18470 14.01820 15.46460 16.39820 16.75520 16.50550 15.64250 14.20590 12.31680 10.18660  8.07881  6.23659  4.81886  3.87992  3.39507  3.30539  3.55305  4.10249  4.96547  6.24636  8.20211 11.29090 16.18210 23.70970 34.75710 50.07180 70.03190 94.42990 122.37600 152.38300 182.60800 211.10100 235.92000 255.10000 266.62600 268.66700 260.06900 240.94300 212.95700 179.11200
 -145.000 -145.000 167.37700 125.87300 89.62100 60.30480 38.26790 22.84290 12.78820  6.69216  3.26270  1.47894  0.62611  0.25575  0.11478  0.07536  0.08159  0.11608  0.18185  0.29266  0.46669  0.72126  1.06898  1.51625  2.06430  2.71267  3.46688  4.35324  5.43893  6.84225  8.70959 11.14750 14.13450 17.46800 20.79490 23.71760 25.91410 27.19790 27.49760 26.80050 25.12900 22.57400 19.34970 15.80460 12.35540  9.37299  7.08787  5.56520  4.75037  4.54061  4.83941  5.58642  6.78984  8.58776 11.33410 15.67280 22.55720 33.17800 48.77460 70.32190 98.13710 131.54000 168.75600 207.18100 243.95200 276.50300 302.81200 321.23200 330.18200 328.13900 314.10500 288.33800 252.81100 211.05400
 -140.000 -140.000 186.98100 139.79000 98.96150 66.22410 41.80640 24.83560 13.84340  7.21679  3.50842  1.59045  0.68123  0.29412  0.15604  0.12969  0.15589  0.21834  0.32483  0.49685  0.76206  1.14788  1.67707  2.36585  3.22418  4.25858  5.48185  6.93573  8.72248 11.02090 14.04840 17.95340 22.67750 27.87720 32.97780 37.34960 40.50000 42.16700 42.28110 40.86830 38.00360 33.85650 28.76870 23.26800 17.96870 13.40690  9.90598  7.54607  6.23295  5.80351  6.10653  7.04624  8.62433 11.01860 14.69720 20.52190 29.77890 44.07430 65.04850 93.89520 130.76600 174.28200 221.46500 268.28500 310.66300 345.44800 370.79900 385.80600 389.77100 381.83300 361.33500 328.68400 286.03100 237.22100
 -135.000 -135.000 199.77400 148.71900 104.85300 69.88760 43.94820 26.01010 14.44640  7.50713  3.64234  1.65587  0.72532  0.34198  0.22163  0.22154  0.28066  0.38425  0.54544  0.79438  1.16959  1.71089  2.45536  3.43597  4.68064  6.21263  8.06064 10.28900 13.04210 16.56620 21.15380 26.98930 33.95460 41.52200 48.83930 54.98770 59.26230 61.30680 61.05720 58.59940 54.09480 47.83260 40.32770 32.33130 24.69260 18.13780 13.09460  9.65688  7.67907  6.92071  7.15924  8.25218 10.19130 13.19850 17.86780 25.29860 37.13520 55.42420 82.21230 118.86800 165.25400 219.09200 275.95800 330.18200 376.40200 411.00400 432.63700 441.56000 438.38600 423.24300 395.96500 357.06600 308.66700 254.62700
