VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  4.04892  2.54168  1.49998  0.83139  0.43193  0.20972  0.09484  0.03981  0.01548  0.00557  0.00187  0.00060  0.00020  0.00012  0.00017  0.00037  0.00077  0.00149  0.00266  0.00435  0.00652  0.00896  0.01134  0.01329  0.01457  0.01522  0.01562  0.01652  0.01893  0.02388  0.03217  0.04406  0.05911  0.07650  0.09573  0.11790  0.14715  0.19114  0.25940  0.35881  0.48797  0.63457  0.77947  0.90669  1.01205  1.10235  1.18408  1.25102  1.28310  1.26003  1.18045  1.07227  0.98795  0.99047  1.14247  1.50596  2.14951  3.15111  4.58461  6.48671  8.81427 11.41200 14.01010 16.26130 17.81140 18.38530 17.86280 16.31790 14.00330 11.28300  8.53527  6.06417
 -175.000 -175.000  8.09293  5.16863  3.09907  1.74106  0.91418  0.44735  0.20344  0.08581  0.03356  0.01221  0.00418  0.00139  0.00051  0.00034  0.00052  0.00108  0.00223  0.00427  0.00755  0.01227  0.01836  0.02529  0.03217  0.03803  0.04215  0.04453  0.04610  0.04880  0.05528  0.06835  0.09009  0.12097  0.15945  0.20231  0.24610  0.28941  0.33529  0.39243  0.47311  0.58714  0.73388  0.89803  1.05460  1.18214  1.27544  1.34661  1.41196  1.47522  1.52265  1.53643  1.51760  1.50225  1.56163  1.79034  2.29545  3.19532  4.62428  6.72711  9.62659 13.36110 17.81120 22.65260 27.36780 31.32930 33.93420 34.74950 33.62210 30.71950 26.48730 21.53820 16.50590 11.91370
 -170.000 -170.000 15.15420  9.80197  5.94316  3.36920  1.78112  0.87586  0.39987  0.16942  0.06679  0.02471  0.00874  0.00309  0.00127  0.00093  0.00144  0.00293  0.00590  0.01113  0.01946  0.03143  0.04689  0.06471  0.08281  0.09878  0.11078  0.11849  0.12390  0.13146  0.14757  0.17906  0.23095  0.30418  0.39435  0.49255  0.58813  0.67301  0.74588  0.81445  0.89327  0.99614  1.12575  1.26768  1.39544  1.48620  1.53704  1.56801  1.60790  1.67366  1.76173  1.86088  1.97971  2.17132  2.54201  3.24481  4.46905  6.43519  9.38948 13.57740 19.17500 26.17830 34.28960 42.86140 50.95050 57.49020 61.52790 62.44980 60.11640 54.87780 47.47960 38.89380 30.12190 22.01560
 -165.000 -165.000 26.45290 17.26080 10.54350  6.01169  3.19152  1.57454  0.72137  0.30745  0.12270  0.04654  0.01724  0.00658  0.00299  0.00236  0.00366  0.00724  0.01428  0.02648  0.04569  0.07323  0.10896  0.15065  0.19402  0.23378  0.26550  0.28782  0.30427  0.32406  0.36110  0.43058  0.54366  0.70213  0.89556  1.10305  1.29919  1.46215  1.58099  1.65940  1.71336  1.76219  1.81609  1.86824  1.89898  1.89246  1.85452  1.81699  1.82291  1.90373  2.06839  2.31742  2.67737  3.23772  4.17286  5.74408  8.28918 12.20620 17.92240 25.82230 36.11140 48.63440 62.71500 77.11930 90.21140 100.28400 105.95300 106.46600 101.82300 92.71590 80.33510 66.13780 51.61360 38.06900
 -160.000 -160.000 42.89330 28.14590 17.27210  9.88307  5.26116  2.60273  1.19763  0.51502  0.20942  0.08234  0.03242  0.01348  0.00673  0.00557  0.00849  0.01636  0.03158  0.05755  0.09803  0.15583  0.23120  0.32044  0.41566  0.50641  0.58303  0.64111  0.68571  0.73383  0.81287  0.95368  1.17916  1.49274  1.87261  2.27563  2.64961  2.94852  3.14466  3.23385  3.23243  3.16696  3.06044  2.92290  2.75394  2.55758  2.35876  2.20677  2.16015  2.26409  2.54129  3.01124  3.73636  4.87623  6.72851  9.74323 14.51060 21.72080 32.07900 46.14300 64.07320 85.34540 108.55800 131.47800 151.40700 165.78000 172.76800 171.65000 162.83500 147.60900 127.79600 105.46200 82.68780 61.35040
 -155.000 -155.000 64.45820 42.43310 26.11010 14.97340  7.98862  3.96500  1.83632  0.80050  0.33446  0.13800  0.05838  0.02643  0.01422  0.01206  0.01797  0.03380  0.06392  0.11457  0.19269  0.30395  0.44998  0.62578  0.81857  1.00962  1.17951  1.31641  1.42514  1.53345  1.69040  1.95338  2.36581  2.93441  3.61834  4.33746  4.99620  5.51079  5.82834  5.93255  5.83855  5.58118  5.20159  4.73787  4.22513  3.70507  3.23628  2.89337  2.75147  2.86754  3.27892  4.03473  5.25981  7.23299 10.45350 15.67290 23.87850 36.20900 53.76950 77.31100 106.79500 140.97000 177.17700 211.60400 240.03400 258.84900 265.90700 260.89100 245.07000 220.70300 190.47200 157.14600 123.44600 91.87590
 -150.000 -150.000 89.65510 59.11150 36.42910 20.92730 11.19390  5.58271  2.61111  1.16096  0.50312  0.22008  0.10044  0.04906  0.02787  0.02383  0.03466  0.06374  0.11843  0.20919  0.34796  0.54547  0.80711  1.12822  1.49077  1.86404  2.21182  2.50643  2.74669  2.97209  3.26261  3.71658  4.41035  5.35710  6.48788  7.66749  8.73710  9.56004 10.04950 10.17260  9.94037  9.39494  8.59990  7.63392  6.58774  5.56366  4.67272  4.02469  3.71202  3.80036  4.34299  5.43281  7.29112 10.37670 15.48570 23.80790 36.90240 56.54210 84.36550 121.30700 166.88500 218.61100 271.86300 320.53600 358.39500 380.67800 385.25700 372.83600 346.20200 309.08500 265.26200 218.24900 171.34000 127.61500
 -145.000 -145.000 115.36800 76.09980 46.94850 27.02360 14.50870  7.28880  3.45797  1.57907  0.71593  0.33394  0.16374  0.08505  0.05011  0.04277  0.06076  0.10961  0.20078  0.35062  0.57857  0.90404  1.34075  1.88885  2.52675  3.20804  3.86929  4.45239  4.93742  5.37163  5.87387  6.59997  7.67522  9.12515 10.84460 12.62520 14.22520 15.44100 16.14400 16.27960 15.84950 14.89900 13.51660 11.83490 10.02410  8.27467  6.77229  5.67253  5.08477  5.07864  5.72446  7.17455  9.78342 14.25310 21.77410 34.11390 53.58060 82.76440 123.95300 178.20900 244.28600 317.84400 391.50700 456.12800 503.01600 526.33300 524.51700 500.12400 458.27800 404.73600 344.59700 282.06000 220.79900 164.24800
 -140.000 -140.000 137.38900 90.61450 55.96710 32.30590 17.44170  8.85454  4.28224  2.02162  0.96448  0.47950  0.25011  0.13602  0.08197  0.06947  0.09661  0.17166  0.31132  0.53984  0.88770  1.38871  2.07295  2.95384  4.01130  5.17982  6.35430  7.42329  8.32510  9.10179  9.91430 10.99220 12.52870 14.57210 16.97800 19.45200 21.65580 23.30850 24.23400 24.35020 23.64070 22.14670 19.98200 17.34710 14.51770 11.80200  9.48345  7.77296  6.79430  6.61421  7.31917  9.13401 12.57780 18.64840 29.00990 46.11800 73.16790 113.69900 170.70900 245.27500 335.03400 433.19100 528.89400 609.34000 663.15000 683.67200 670.62900 629.35000 568.13000 495.27000 417.33100 339.03100 264.08000 195.86900
 -135.000 -135.000 151.58400 99.94320 61.83140 35.84060 19.50420 10.04170  4.97432  2.43962  1.22653  0.64600  0.35391  0.19880  0.12137  0.10187  0.13914  0.24462  0.44141  0.76424  1.25971  1.98468  2.99797  4.33981  6.00072  7.89350  9.85250 11.68010 13.23660 14.53290 15.76630 17.25260 19.27410 21.91900 25.01100 28.16980 30.95720 33.01330 34.11070 34.13210 33.03260 30.83980 27.69270 23.87300 19.78550 15.88270 12.56440 10.10330  8.63258  8.20722  8.92543 11.09020 15.40180 23.18180 36.60640 58.86940 94.10640 146.83800 220.73300 316.72900 431.02200 553.93000 670.67700 764.54300 821.53300 834.64600 805.63300 743.40100 660.03600 566.71600 471.45900 379.22800 293.32900 216.59900
