VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  6.57488  4.68856  3.12792  1.96543  1.17108  0.66482  0.35990  0.18518  0.09012  0.04161  0.01891  0.00963  0.00668  0.00624  0.00640  0.00626  0.00558  0.00447  0.00321  0.00207  0.00121  0.00066  0.00040  0.00038  0.00055  0.00096  0.00173  0.00312  0.00567  0.01022  0.01772  0.02887  0.04336  0.05942  0.07383  0.08300  0.08441  0.07783  0.06544  0.05077  0.03729  0.02730  0.02164  0.01989  0.02088  0.02313  0.02542  0.02729  0.02929  0.03280  0.03941  0.05021  0.06566  0.08649  0.11545  0.15971  0.23343  0.36082  0.57940  0.94242  1.51709  2.37431  3.56722  5.10019  6.89618  8.77647 10.46990 11.66440 12.09570 11.64310 10.38510  8.58010
 -175.000 -175.000 10.13410  7.24171  4.85113  3.06661  1.84090  1.05366  0.57508  0.29824  0.14653  0.06895  0.03311  0.01923  0.01579  0.01629  0.01727  0.01706  0.01524  0.01222  0.00878  0.00566  0.00331  0.00185  0.00118  0.00117  0.00175  0.00297  0.00506  0.00860  0.01469  0.02510  0.04196  0.06679  0.09900  0.13466  0.16672  0.18722  0.19058  0.17629  0.14912  0.11686  0.08715  0.06507  0.05249  0.04858  0.05078  0.05581  0.06090  0.06491  0.06907  0.07654  0.09101  0.11503  0.14964  0.19588  0.25818  0.34828  0.48882  0.71676  1.08751  1.67887  2.59017  3.92888  5.77847  8.14846 10.91980 13.81100 16.39500 18.18600 18.78310 18.01690 16.02740 13.22260
 -170.000 -170.000 14.55190 10.39390  6.96969  4.41669  2.66132  1.53041  0.83973  0.43824  0.21752  0.10509  0.05449  0.03693  0.03510  0.03876  0.04194  0.04165  0.03726  0.02989  0.02148  0.01386  0.00814  0.00462  0.00310  0.00329  0.00502  0.00838  0.01376  0.02213  0.03550  0.05722  0.09145  0.14128  0.20564  0.27687  0.34103  0.38226  0.38948  0.36161  0.30806  0.24425  0.18522  0.14108  0.11563  0.10740  0.11144  0.12128  0.13125  0.13893  0.14671  0.16108  0.18975  0.23820  0.30866  0.40277  0.52744  0.70114  0.95818  1.35150  1.95654  2.87671  4.24504  6.20938  8.88892 12.30080 16.27600 20.40580 24.06740 26.55620 27.30150 26.08000 23.11790 19.01960
 -165.000 -165.000 19.40230 13.82290  9.25617  5.86539  3.53906  2.04066  1.12421  0.59035  0.29689  0.14894  0.08541  0.06789  0.07234  0.08343  0.09141  0.09108  0.08156  0.06543  0.04704  0.03039  0.01794  0.01039  0.00740  0.00840  0.01311  0.02161  0.03444  0.05296  0.08026  0.12185  0.18501  0.27538  0.39144  0.51977  0.63559  0.71046  0.72439  0.67535  0.58004  0.46587  0.35962  0.27933  0.23201  0.21544  0.22115  0.23774  0.25488  0.26801  0.28128  0.30659  0.35835  0.44730  0.57814  0.75388  0.98542  1.30092  1.75046  2.40618  3.36333  4.74646  6.71461  9.44780 13.09430 17.67330 22.95850 28.40130 33.16470 36.30830 37.08410 35.22400 31.06720 25.44910
 -160.000 -160.000 24.02870 17.04740 11.38170  7.20174  4.34651  2.51148  1.38934  0.73521  0.37651  0.19885  0.12851  0.11818  0.13659  0.16185  0.17863  0.17832  0.15976  0.12820  0.09219  0.05965  0.03545  0.02108  0.01607  0.01952  0.03105  0.05078  0.07916  0.11750  0.16960  0.24337  0.35013  0.49931  0.68921  0.89888  1.08845  1.21169  1.23587  1.15730  1.00281  0.81655  0.64172  0.50753  0.42573  0.39351  0.39805  0.42145  0.44706  0.46714  0.48817  0.52958  0.61564  0.76531  0.98806  1.29025  1.68945  2.22797  2.97698  4.03128  5.50393  7.52982 10.27390 13.92150 18.62180 24.37340 30.88190 37.46370 43.08930 46.61460 47.15280 44.42600 38.91040 31.68110
 -155.000 -155.000 27.73610 19.57530 13.02200  8.22541  4.96667  2.87809  1.60124  0.85645  0.44966  0.25350  0.18575  0.19220  0.23433  0.28216  0.31272  0.31251  0.28005  0.22477  0.16171  0.10486  0.06288  0.03868  0.03182  0.04129  0.06684  0.10864  0.16656  0.24073  0.33430  0.45681  0.62403  0.85052  1.13527  1.44873  1.73255  1.91795  1.95558  1.83922  1.60804  1.32718  1.06048  0.85133  0.71788  0.65730  0.65236  0.67805  0.71051  0.73813  0.76982  0.83402  0.96739  1.20034  1.55063  2.03177  2.67283  3.53647  4.72183  6.35100  8.55215 11.45480 15.19700 19.92070 25.71930 32.52340 39.95170 47.21130 53.14910 56.51560 56.38060 52.52170 45.56980 36.81070
 -150.000 -150.000 30.02030 21.06930 13.96910  8.81651  5.33423  3.10661  1.74332  0.94663  0.51338  0.31171  0.25624  0.28856  0.36337  0.44144  0.49030  0.49021  0.43935  0.35270  0.25393  0.16517  0.10031  0.06447  0.05784  0.07988  0.13110  0.21190  0.32073  0.45450  0.61313  0.80581  1.05245  1.37387  1.77126  2.20662  2.60090  2.85903  2.91163  2.74848  2.42251  2.02305  1.63818  1.32825  1.11936  1.00969  0.97849  0.99458  1.02748  1.06175  1.10830  1.20428  1.39956  1.73867  2.25212  2.96664  3.93011  5.23370  7.01289  9.42315 12.60590 16.66750 21.67690 27.66410 34.58310 42.22320 50.08870 57.32000 62.75680 65.20160 63.82930 58.56230 50.19240 40.14910
 -145.000 -145.000 30.71180 21.44050 14.18460  8.96281  5.44777  3.19904  1.81822  1.00797  0.56857  0.37182  0.33442  0.39675  0.50793  0.61936  0.68834  0.68824  0.61685  0.49532  0.35703  0.23336  0.14440  0.09845  0.09737  0.14235  0.23577  0.37861  0.56678  0.79133  1.04556  1.33557  1.68451  2.12049  2.64861  3.22287  3.74197  4.08111  4.14719  3.92410  3.47924  2.92938  2.39091  1.94452  1.62623  1.43634  1.35196  1.33787  1.35922  1.39767  1.46505  1.60474  1.87813  2.34494  3.05329  4.05099  5.41381  7.27084  9.80284 13.20560 17.63370 23.15290 29.71740 37.16600 45.21400 53.42180 61.14660 67.51900 71.51640 72.18620 68.98340 62.07080 52.39100 41.42120
 -140.000 -140.000 29.97060 20.82760 13.77320  8.73472  5.35056  3.18072  1.84082  1.04909  0.61877  0.43153  0.41045  0.49785  0.63956  0.77932  0.86540  0.86490  0.77514  0.62270  0.44979  0.29639  0.18894  0.13978  0.15405  0.23649  0.39283  0.62507  0.92546  1.27668  1.66233  2.08319  2.56515  3.14456  3.83125  4.57044  5.23517  5.66576  5.74035  5.43435  4.83115  4.08019  3.33323  2.69715  2.22106  1.90827  1.73446  1.66239  1.65562  1.69437  1.78978  1.98729  2.35569  2.96908  3.89728  5.21697  7.04110  9.54520 12.96300 17.53650 23.43380 30.66510 39.02720 48.09340 57.24520 65.73390 72.74570 77.46510 79.15440 77.29330 71.77680 63.08360 52.27910 40.78170
 -135.000 -135.000 28.16280 19.49710 12.90900  8.23577  5.10028  3.08346  1.82968  1.08127  0.66943  0.48936  0.47396  0.57090  0.72630  0.88001  0.97465  0.97306  0.87192  0.70108  0.50842  0.34003  0.22776  0.18887  0.23367  0.37254  0.61594  0.96705  1.41354  1.92811  2.48344  3.07488  3.73202  4.50032  5.39327  6.34297  7.18918  7.72831  7.80233  7.37534  6.55038  5.51913  4.48072  3.57833  2.87937  2.39077  2.08568  1.92479  1.87144  1.90537  2.03520  2.30378  2.78210  3.55622  4.71969  6.38379  8.70512 11.91080 16.29080 22.13550 29.62460 38.70050 48.97110 59.69010 69.84180 78.32010 84.14070 86.60600 85.38240 80.51740 72.44850 62.00270 50.32350 38.67500
