VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 18.90330 13.24800  8.63574  5.30526  3.12827  1.80444  1.02965  0.57910  0.31557  0.16295  0.07819  0.03438  0.01378  0.00515  0.00209  0.00146  0.00193  0.00297  0.00430  0.00563  0.00665  0.00712  0.00701  0.00662  0.00655  0.00779  0.01175  0.02022  0.03492  0.05660  0.08391  0.11274  0.13689  0.15027  0.14947  0.13537  0.11253  0.08703  0.06414  0.04700  0.03684  0.03393  0.03848  0.05082  0.07087  0.09725  0.12665  0.15440  0.17660  0.19357  0.21373  0.25682  0.35580  0.55671  0.91538  1.48990  2.32892  3.46015  4.88627  6.59613  8.59283 10.92790 13.71520 17.09040 21.09930 25.54340 29.87050 33.22210 34.68420 33.66080 30.17310 24.89690
 -175.000 -175.000 29.22820 20.31600 13.10790  7.94219  4.59687  2.59120  1.44261  0.79363  0.42536  0.21735  0.10372  0.04556  0.01837  0.00713  0.00346  0.00333  0.00509  0.00806  0.01174  0.01541  0.01827  0.01969  0.01958  0.01861  0.01827  0.02087  0.02964  0.04855  0.08143  0.12996  0.19119  0.25610  0.31116  0.34292  0.34383  0.31549  0.26753  0.21294  0.16297  0.12456  0.10065  0.09225  0.10022  0.12567  0.16879  0.22679  0.29247  0.35508  0.40447  0.43802  0.46822  0.52845  0.67578  0.99042  1.57068  2.52121  3.93347  5.86335  8.31881 11.27300 14.70900 18.67870 23.32830 28.83580 35.23180 42.16140 48.72950 53.59780 55.39100 53.26910 47.36040 38.78440
 -170.000 -170.000 41.87810 28.87800 18.45740 11.04610  6.28781  3.47037  1.88740  1.01601  0.53553  0.27078  0.12857  0.05648  0.02304  0.00956  0.00590  0.00738  0.01222  0.01964  0.02871  0.03784  0.04512  0.04904  0.04936  0.04755  0.04682  0.05207  0.06991  0.10837  0.17514  0.27368  0.39829  0.53132  0.64614  0.71613  0.72587  0.67765  0.58928  0.48526  0.38718  0.30875  0.25653  0.23364  0.24300  0.28795  0.36985  0.48397  0.61628  0.74459  0.84604  0.91026  0.95352  1.02910  1.23118  1.69281  2.57754  4.06153  6.30263  9.40158 13.37480 18.16610 23.71180 30.03160 37.27390 45.62710 55.06150 64.99460 74.09460 80.45270 82.18410 78.23060 68.93020 55.99520
 -165.000 -165.000 55.80050 38.18710 24.20410 14.33550  8.04874  4.36471  2.32663  1.22858  0.63789  0.31951  0.15112  0.06654  0.02770  0.01273  0.01024  0.01534  0.02648  0.04292  0.06298  0.08342  0.10021  0.11015  0.11268  0.11068  0.11041  0.12114  0.15513  0.22709  0.35108  0.53370  0.76534  1.01518  1.23609  1.38036  1.41913  1.35388  1.21311  1.03749  0.86381  0.71667  0.60959  0.55102  0.54937  0.61363  0.74884  0.94850  1.18822  1.42658  1.61790  1.73531  1.79636  1.88119  2.13806  2.77761  4.05808  6.25798  9.62991 14.33920 20.41410 27.75050 36.19480 45.67420 56.26830 68.09930 80.99940 94.08680 105.54400 112.88500 113.77400 107.04300 93.37550 75.19620
 -160.000 -160.000 69.44550 47.17910 29.68750 17.43930  9.69108  5.18718  2.72360  1.41702  0.72709  0.36157  0.17062  0.07547  0.03236  0.01702  0.01744  0.02921  0.05160  0.08413  0.12398  0.16526  0.20043  0.22356  0.23350  0.23533  0.23988  0.26294  0.32502  0.45055  0.66317  0.97481  1.37162  1.80556  2.20156  2.48187  2.59626  2.54065  2.35307  2.09210  1.81323  1.55655  1.34816  1.20838  1.15829  1.21962  1.40676  1.71373  2.10256  2.50318  2.83307  3.03544  3.12296  3.20893  3.51543  4.36071  6.13253  9.24659 14.08070 20.88590 29.70620 40.36580 52.56380 66.03990 80.68160 96.41290 112.81600 128.65300 141.65200 148.87700 147.72900 137.13800 118.28000 94.34870
 -155.000 -155.000 81.14020 54.73170 34.22540 19.98290 11.02930  5.85536  3.04539  1.56933  0.79892  0.39536  0.18635  0.08296  0.03699  0.02265  0.02816  0.05043  0.09031  0.14797  0.21926  0.29466  0.36185  0.41117  0.44068  0.45831  0.48080  0.53206  0.64299  0.85070  1.19197  1.68751  2.32098  3.02596  3.69454  4.21041  4.49146  4.51713  4.32592  3.98874  3.57897  3.15646  2.76859  2.45926  2.27543  2.26446  2.46087  2.86535  3.42534  4.03253  4.55110  4.87672  5.00663  5.09077  5.44472  6.52608  8.88874 13.12020 19.75260 29.14260 41.35410 56.11490 72.90550 91.15130 110.37300 130.11300 149.56700 167.12500 180.19000 185.64700 180.96300 165.43600 140.87000 111.19100
 -150.000 -150.000 89.52300 59.95690 37.28920 21.67930 11.92170  6.30517  3.26494  1.67423  0.84836  0.41836  0.19698  0.08827  0.04118  0.02934  0.04207  0.07848  0.14187  0.23373  0.34881  0.47381  0.59128  0.68760  0.76020  0.82010  0.88999  1.00199  1.19799  1.52972  2.05078  2.79564  3.75091  4.83561  5.90889  6.80956  7.40973  7.65272  7.55627  7.18667  6.62734  5.96089  5.26850  4.63645  4.15880  3.92924  4.01981  4.44938  5.15371  5.97904  6.72034  7.20656  7.40542  7.50248  7.92164  9.28704 12.35010 17.89850 26.64080 39.05500 55.22810 74.76630 96.85360 120.45300 144.51300 167.98200 189.54600 207.25600 218.43200 220.16200 210.38500 189.06100 158.69800 123.81400
 -145.000 -145.000 93.85020 62.40480 38.62490 22.39440 12.30090  6.50361  3.36570  1.72284  0.87024  0.42749  0.20071  0.09039  0.04419  0.03613  0.05735  0.10988  0.20018  0.33201  0.50017  0.68899  0.87756  1.04987  1.20356  1.35232  1.52295  1.75318  2.09401  2.61201  3.38095  4.45576  5.83529  7.43360  9.08237 10.57140 11.70970 12.37490 12.52940 12.20520 11.47980 10.45990  9.27738  8.08750  7.06177  6.36912  6.14312  6.43738  7.18342  8.17959  9.14057  9.81278 10.12010 10.27760 10.82250 12.55970 16.45490 23.50970 34.61810 50.38480 70.91900 95.67940 123.47700 152.66500 181.42300 207.91700 230.24500 246.23600 253.43300 249.55800 233.42600 205.88600 170.14000 131.07600
 -140.000 -140.000 94.07040 62.10570 38.27760 22.16050 12.18310  6.45558  3.34709  1.71282  0.86229  0.42114  0.19652  0.08863  0.04523  0.04153  0.07085  0.13832  0.25401  0.42496  0.64824  0.90936  1.18833  1.47074  1.75657  2.06131  2.41214  2.84723  3.42212  4.21630  5.32593  6.83371  8.76238 11.03430 13.46250 15.78490 17.72740 19.06550 19.66200 19.47560 18.55560 17.03330 15.11140 13.04820 11.13060  9.63797  8.79305  8.70265  9.30422 10.35170 11.47740 12.33880 12.80680 13.11580 13.90830 16.16360 21.05460 29.78710 43.42860 62.70010 87.71950 117.77100 151.22900 185.72700 218.53300 246.93000 268.44200 280.85500 282.27300 271.43000 248.31600 214.77600 174.58500 132.72500
 -135.000 -135.000 90.69830 59.47170 36.52550 21.14050 11.65190  6.19926  3.22499  1.65057  0.82728  0.40063  0.18506  0.08312  0.04388  0.04407  0.07908  0.15670  0.29043  0.49154  0.76235  1.09482  1.47662  1.90135  2.37501  2.91463  3.54377  4.29470  5.22114  6.41124  7.98342 10.05310 12.67710 15.79810 19.21900 22.62280 25.63240 27.88560 29.10120 29.12440 27.95240 25.74040 22.78500 19.48480 16.28460 13.61000 11.79790 11.02270 11.23650 12.15670 13.34270 14.37100 15.06010 15.65360 16.87760 19.85520 25.93100 36.47610 52.69370 75.38590 104.65100 139.57100 178.04700 216.95200 252.61400 281.46300 300.56600 307.89700 302.40100 284.07700 254.21000 215.58400 172.34100 129.27100
 -130.000 -130.000 84.59680 55.12940 33.76950 19.56250 10.82390  5.78953  3.02445  1.54816  0.77169  0.36970  0.16842  0.07486  0.04024  0.04291  0.07970  0.16009  0.30020  0.51611  0.81827  1.21080  1.69671  2.28516  2.99364  3.84259  4.85011  6.03782  7.45096  9.17956 11.35930 14.13720 17.60760 21.73960 26.32980 31.00350 35.26690 38.59540 40.53150 40.77570 39.25370 36.14480 31.86090 26.97800 22.13730 17.94030 14.85210 13.11770 12.70530 13.30510 14.42340 15.57810 16.54890 17.58170 19.45490 23.38500 30.82670 43.25090 61.93120 87.69160 120.56400 159.40300 201.64900 243.46700 280.35700 308.06400 323.41400 324.78800 312.13900 286.79500 251.25600 209.05000 164.42700 121.74200
 -125.000 -125.000 76.76190 49.75930 30.42670 17.65600  9.81332  5.27901  2.76932  1.41734  0.70217  0.33241  0.14900  0.06512  0.03493  0.03829  0.07270  0.14809  0.28215  0.49567  0.80923  1.24357  1.82358  2.58145  3.55303  4.76745  6.23988  7.97991 10.01800 12.43530 15.37240 18.99740 23.43510 28.67810 34.51640 40.51750 46.06970 50.48070 53.10710 53.49240 51.48120 47.27970 41.43340 34.72390 28.01600 22.10060 17.56730 14.71770 13.52600 13.66180 14.60280 15.84240 17.14520 18.75730 21.47680 26.55400 35.47830 49.73880 70.59620 98.81850 134.31300 175.69500 220.00600 262.86000 299.16900 324.26900 335.00400 330.31500 311.18200 280.12300 240.61600 196.65200 152.34200 111.43800
 -120.000 -120.000 68.15410 43.98140 26.85980 15.61340  8.71270  4.70863  2.47724  1.26636  0.62328  0.29157  0.12855  0.05500  0.02881  0.03140  0.06038  0.12516  0.24398  0.44190  0.75042  1.20946  1.87044  2.79524  4.04637  5.67046  7.68626 10.09160 12.89330 16.14550 19.97060 24.53590 29.98090 36.31350 43.31690 50.50860 57.17420 62.47230 65.59080 65.92750 63.25340 57.80930 50.28590 41.68380 33.09670 25.49460 19.56540 15.63560 13.66380 13.29970 14.01620 15.31680 16.97930 19.25400 22.93090 29.23990 39.63460 55.54260 78.12750 108.02000 144.94700 187.29200 231.80500 273.77700 307.85000 329.27700 335.14900 325.02500 300.77500 265.82500 224.30100 180.36500 137.80600 99.71100
