VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 52.57920 37.23440 24.39700 14.81390  8.38811  4.49734  2.35316  1.26123  0.73676  0.50321  0.43235  0.47459  0.60549  0.79477  0.99597  1.15294  1.21692  1.16501  1.00913  0.78975  0.55786  0.35552  0.20461  0.10700  0.05212  0.02572  0.01558  0.01348  0.01482  0.01752  0.02122  0.02675  0.03595  0.05183  0.07901  0.12421  0.19589  0.30200  0.44597  0.62287  0.81931  1.01821  1.20580  1.37543  1.52544  1.65437  1.75881  1.83600  1.88715  1.91746  1.93346  1.94369  1.96617  2.03979  2.23241  2.64276  3.40384  4.70221  6.81882 10.17240 15.31760 22.84140 33.13350 46.07950 60.80480 75.62200 88.28210 96.49570 98.56970 93.93510 83.35910 68.74500
 -175.000 -175.000 74.32760 52.34890 34.16700 20.69710 11.71030  6.28630  3.30267  1.78376  1.05128  0.71710  0.59771  0.61740  0.73633  0.91193  1.08894  1.20908  1.22946  1.13797  0.95629  0.72879  0.50352  0.31570  0.18063  0.09636  0.05153  0.03281  0.02916  0.03302  0.03993  0.04786  0.05675  0.06811  0.08435  0.10816  0.14231  0.19028  0.25721  0.34998  0.47525  0.63604  0.82913  1.04576  1.27532  1.50926  1.74201  1.96900  2.18431  2.38009  2.54799  2.68174  2.78144  2.86097  2.95809  3.14391  3.52708  4.25517  5.52561  7.62364 10.98880 16.27490 24.32890 36.00720 51.80590 71.39690 93.27680 114.76400 132.46400 143.11500 144.52000 136.23000 119.69800 97.86870
 -170.000 -170.000 97.43990 68.19070 44.29030 26.73690 15.09610  8.09995  4.26429  2.31834  1.38330  0.95527  0.79241  0.79100  0.89527  1.05126  1.19684  1.27376  1.24652  1.11413  0.90738  0.67328  0.45594  0.28338  0.16465  0.09479  0.06241  0.05552  0.06411  0.08065  0.09996  0.11948  0.13953  0.16296  0.19366  0.23454  0.28647  0.34925  0.42465  0.51948  0.64575  0.81654  1.03950  1.31232  1.62356  1.95818  2.30326  2.64956  2.98812  3.30565  3.58432  3.80887  3.97966  4.12717  4.32309  4.68494  5.37513  6.60210  8.64114 11.89390 16.98320 24.82930 36.60160 53.43510 75.89050 103.30800 133.35900 162.13900 184.92300 197.41100 197.00600 183.60900 159.64300 129.31900
 -165.000 -165.000 118.79200 82.52750 53.28860 32.02390 18.02190  9.65175  5.08609  2.78622  1.69440  1.20239  1.01387  0.99801  1.08488  1.21309  1.31881  1.34817  1.27462  1.10681  0.88132  0.64480  0.43610  0.27684  0.17196  0.11587  0.09891  0.11100  0.14248  0.18427  0.22870  0.27146  0.31319  0.35909  0.41584  0.48735  0.57238  0.66641  0.76779  0.88472  1.03722  1.25083  1.54411  1.91779  2.35357  2.82373  3.30410  3.78005  4.24110  4.67087  5.04486  5.34314  5.57353  5.79342  6.12041  6.73096  7.85384  9.77167 12.85130 17.62290 24.89870 35.86000 51.97440 74.60310 104.28300 139.90000 178.16600 213.84500 240.85500 253.96200 250.37800 230.62400 198.31700 159.04200
 -160.000 -160.000 135.10000 93.08300 59.69450 35.67800 19.99480 10.68230  5.63865  3.12724  1.96156  1.45599  1.27033  1.25027  1.31537  1.40331  1.45680  1.43312  1.31705  1.12437  0.89200  0.66118  0.46338  0.31514  0.22090  0.17848  0.18282  0.22656  0.29917  0.38727  0.47776  0.56266  0.64281  0.72713  0.82675  0.94733  1.08488  1.22938  1.37553  1.53439  1.73676  2.02267  2.42075  2.93029  3.51946  4.14194  4.76007  5.35596  5.92286  6.44733  6.90329  7.27005  7.56626  7.87976  8.37896  9.30708 10.97150 13.74550 18.10370 24.71060 34.55140 49.01660 69.78010 98.30370 134.96600 178.09200 223.39900 264.39300 293.83400 305.83100 297.71700 270.87300 230.21300 182.63200
 -155.000 -155.000 143.86100 98.20440 62.49450 37.12370 20.71440 11.04920  5.86356  3.32468  2.18802  1.72893  1.57919  1.56673  1.60526  1.63888  1.62618  1.54332  1.38943  1.18458  0.95973  0.74464  0.56082  0.42151  0.33542  0.30916  0.34597  0.44201  0.58367  0.74930  0.91625  1.07058  1.21349  1.35946  1.52593  1.72053  1.93505  2.15198  2.36150  2.57848  2.84615  3.21950  3.73504  4.38613  5.12245  5.87676  6.60000  7.27782  7.91670  8.51525  9.05180  9.50580  9.90244 10.35280 11.07040 12.36710 14.64120 18.37750 24.17840 32.84460 45.49570 63.63610 88.99000 122.92900 165.50300 214.39700 264.42500 308.10600 337.45000 346.36000 332.64200 298.70500 250.69600 196.55600
 -150.000 -150.000 144.07800 97.35680 61.44030 36.27220 20.17000 10.77440  5.79133  3.40634  2.39451  2.03477  1.94955  1.95612  1.96673  1.93782  1.85107  1.70765  1.52314  1.31928  1.11534  0.92442  0.75637  0.62390  0.54577  0.54338  0.63194  0.81105  1.06051  1.34512  1.62824  1.88813  2.12746  2.36885  2.63761  2.94256  3.26832  3.58650  3.88045  4.16777  4.50303  4.95376  5.56091  6.30908  7.12986  7.93986  8.68768  9.37429 10.03160 10.68060 11.30870 11.89210 12.44990 13.09820 14.08050 15.77240 18.67510 23.40960 30.72830 41.56650 57.12510 78.89740 108.46100 146.86600 193.64800 245.82300 297.49000 340.61500 367.02600 370.96500 351.05700 310.79100 257.30600 199.16700
 -145.000 -145.000 136.48700 91.23140 57.09030 33.52670 18.62960 10.02480  5.51906  3.42086  2.59505  2.36355  2.35816  2.39304  2.38224  2.29680  2.14383  1.95102  1.75000  1.56147  1.38937  1.22777  1.07576  0.95002  0.88578  0.92488  1.09686  1.40290  1.81104  2.26675  2.71571  3.12836  3.51174  3.89984  4.32675  4.79985  5.29139  5.75608  6.16493  6.53302  6.92048  7.40158  8.01827  8.74869  9.51577 10.23490 10.86910 11.44960 12.04580 12.70900 13.43820 14.19950 14.98850 15.90250 17.19250 19.28920 22.80570 28.52060 37.35660 50.37700 68.80500 93.98890 127.15600 168.80500 217.79400 270.47800 320.51400 359.82200 380.67900 378.20300 352.11300 306.89800 250.32900 191.07900
 -140.000 -140.000 123.19400 81.44180 50.57580 29.61660 16.52860  9.04021  5.16320  3.40664  2.77637  2.66798  2.73903  2.80792  2.79192  2.67453  2.48422  2.27071  2.07768  1.92204  1.79160  1.66318  1.52980  1.41858  1.38779  1.50380  1.81048  2.30640  2.94149  3.63655  4.31813  4.95161  5.55313  6.17118  6.84783  7.58363  8.32985  9.01414  9.58402 10.04000 10.43640 10.84620 11.31300 11.82030 12.30460 12.70630 13.02510 13.33750 13.75770 14.37030 15.18530 16.15180 17.22660 18.46530 20.10480 22.61800 26.73070 33.39040 43.69800 58.83150 79.97700 108.21800 144.25500 187.85400 237.08100 287.69900 333.21700 366.01500 379.38000 369.74700 338.07000 289.65300 232.46900 174.79800
 -135.000 -135.000 106.96100 69.97950 43.21770 25.34830 14.31770  8.04712  4.81600  3.37531  2.89936  2.87632  3.00216  3.10583  3.10764  2.99760  2.81614  2.62526  2.47372  2.37219  2.29470  2.20713  2.10457  2.03281  2.07896  2.33592  2.85945  3.63968  4.60201  5.63893  6.65884  7.62672  8.57247  9.56000 10.63460 11.78030 12.91420 13.92090 14.70580 15.23570 15.54310 15.69480 15.74630 15.71370 15.58420 15.35920 15.09990 14.93700 15.02850 15.48740 16.33050 17.48580 18.86350 20.46450 22.49530 25.45620 30.17470 37.75900 49.47680 66.59440 90.20760 121.04400 159.16200 203.48400 251.26300 297.78600 336.71000 361.28200 366.21100 349.49300 313.31000 263.51100 207.86200 153.84800
