VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 16.28360 12.88300  9.46983  6.44953  4.06066  2.36138  1.27081  0.63726  0.30206  0.13849  0.06315  0.02929  0.01395  0.00692  0.00380  0.00258  0.00225  0.00225  0.00231  0.00231  0.00230  0.00244  0.00300  0.00432  0.00675  0.01055  0.01574  0.02193  0.02831  0.03381  0.03757  0.03938  0.03993  0.04061  0.04295  0.04823  0.05712  0.06959  0.08476  0.10084  0.11581  0.12897  0.14280  0.16359  0.19937  0.25554  0.33072  0.41623  0.50055  0.57672  0.64752  0.72534  0.82758  0.97201  1.17542  1.45489  1.82875  2.31607  2.93637  3.71221  4.67497  5.87163  7.36639  9.22698 11.48600 14.08110 16.80020 19.27600 21.05620 21.73500 21.09260 19.17500
 -175.000 -175.000 22.50760 17.78240 13.07680  8.92840  5.65102  3.31753  1.81499  0.93590  0.46405  0.22726  0.11264  0.05710  0.02963  0.01606  0.00983  0.00751  0.00709  0.00736  0.00763  0.00764  0.00752  0.00775  0.00907  0.01239  0.01854  0.02807  0.04086  0.05588  0.07112  0.08410  0.09292  0.09728  0.09884  0.10067  0.10599  0.11702  0.13459  0.15811  0.18554  0.21344  0.23798  0.25759  0.27622  0.30454  0.35651  0.44202  0.55992  0.69705  0.83567  0.96513  1.09007  1.22977  1.41060  1.65899  2.00034  2.46218  3.07608  3.87480  4.88746  6.13804  7.65152  9.46645 11.64490 14.26110 17.35190 20.83190 24.41590 27.61080 29.81420 30.49820 29.39310 26.58820
 -170.000 -170.000 29.00000 22.85740 16.80750 11.50710  7.33162  4.35883  2.43822  1.30445  0.68406  0.36093  0.19452  0.10695  0.05992  0.03536  0.02401  0.02028  0.02037  0.02167  0.02263  0.02264  0.02209  0.02223  0.02497  0.03246  0.04657  0.06827  0.09694  0.12997  0.16288  0.19052  0.20920  0.21868  0.22273  0.22753  0.23897  0.26033  0.29186  0.33129  0.37450  0.41575  0.44908  0.47216  0.49134  0.52352  0.59101  0.71013  0.88048  1.08353  1.29367  1.49552  1.69583  1.92230  2.21270  2.60523  3.13772  3.85324  4.80252  6.03694  7.59560  9.49632 11.74100 14.33710 17.32290 20.76490 24.69920 29.01960 33.37140 37.13980 39.58150 40.06190 38.28570 34.41020
 -165.000 -165.000 35.00300 27.48080 20.18650 13.85840  8.90147  5.37869  3.09599  1.73383  0.96983  0.55291  0.32232  0.19048  0.11454  0.07348  0.05507  0.05053  0.05302  0.05736  0.06019  0.06020  0.05833  0.05759  0.06245  0.07770  0.10712  0.15209  0.21059  0.27666  0.34121  0.39459  0.43053  0.44953  0.45927  0.47109  0.49446  0.53311  0.58471  0.64328  0.70133  0.75075  0.78425  0.80012  0.80888  0.83591  0.91414  1.06798  1.29811  1.57960  1.87715  2.16888  2.46273  2.79554  3.21939  3.78941  4.56296  5.60642  6.99659  8.80720 11.08460 13.82830 16.99430 20.52960 24.41850 28.69820 33.39430 38.38230 43.25140 47.28770 49.63870 49.60390 46.90430 41.79820
 -160.000 -160.000 39.82350 31.06830 22.75970 15.65920 10.15210  6.25743  3.72973  2.20287  1.32039  0.81165  0.50800  0.32045  0.20640  0.14387  0.11783  0.11534  0.12476  0.13643  0.14359  0.14354  0.13832  0.13453  0.14173  0.16974  0.22554  0.31070  0.41981  0.54063  0.65637  0.75069  0.81434  0.85011  0.87219  0.89922  0.94454  1.01012  1.08753  1.16388  1.22714  1.26791  1.28033  1.26657  1.24437  1.25009  1.32919  1.51510  1.80953  2.17985  2.57870  2.97450  3.37341  3.82064  4.38613  5.15047  6.20219  7.64234  9.58120 12.11570 15.29250 19.07630 23.35190 27.97310 32.83750 37.92490 43.23470 48.62410 53.64330 57.51520 59.33020 58.38310 54.46980 47.99000
 -155.000 -155.000 43.02600 33.24290 24.22080 16.67700 10.91890  6.88668  4.27336  2.67522  1.71940  1.13394  0.75691  0.50782  0.35033  0.26466  0.23390  0.24013  0.26493  0.29147  0.30721  0.30689  0.29452  0.28315  0.29148  0.33799  0.43471  0.58249  0.76945  0.97277  1.16418  1.31875  1.42483  1.48991  1.53760  1.59515  1.67824  1.78290  1.88956  1.97483  2.02169  2.02237  1.97730  1.89754  1.81204  1.77071  1.83285  2.04151  2.39931  2.86487  3.37597  3.88655  4.39555  4.95389  5.65322  6.61112  7.96335  9.85984 12.45100 15.85380 20.10280 25.10850 30.66020 36.49050 42.38030 48.22360 53.97340 59.46190 64.21620 67.43640 68.21860 65.92560 60.49510 52.51150
 -150.000 -150.000 44.51240 33.91810 24.48680 16.82940 11.12190  7.19242  4.66313  3.10063  2.13187  1.50010  1.06308  0.75784  0.56015  0.45607  0.42860  0.45473  0.50736  0.55945  0.58964  0.58850  0.56311  0.53682  0.54286  0.61321  0.76706  1.00325  1.29925  1.61672  1.91234  2.15181  2.32283  2.44048  2.53943  2.65420  2.79829  2.95557  3.08990  3.16516  3.16111  3.07650  2.92407  2.72911  2.53525  2.40779  2.42095  2.62848  3.03519  3.59150  4.21855  4.85064  5.47252  6.13635  6.95850  8.10564  9.77786 12.18800 15.53040 19.93360 25.40210 31.77160 38.71520 45.82620 52.74990 59.27450 65.28590 70.58140 74.67550 76.78420 76.07070 72.03750 64.82570 55.24210
 -145.000 -145.000 44.46320 33.26830 23.69140 16.19230 10.78010  7.15046  4.85022  3.42340  2.50840  1.87458  1.40729  1.06636  0.84356  0.73388  0.72251  0.78225  0.87645  0.96535  1.01586  1.01277  0.96725  0.91707  0.91580  1.01403  1.24032  1.59001  2.02601  2.49044  2.92315  3.28162  3.55562  3.76942  3.96662  4.18271  4.42020  4.64309  4.79509  4.82902  4.72716  4.50174  4.18355  3.81511  3.45557  3.18564  3.09534  3.25192  3.66677  4.28638  5.01674  5.76978  6.51004  7.28580  8.23882  9.59327 11.62610 14.62200 18.81740 24.33760 31.13430 38.94540 47.31310 55.68540 63.57030 70.64510 76.71940 81.54830 84.64320 85.26910 82.70960 76.66380 67.51960 56.32250
 -140.000 -140.000 43.19950 31.62190 22.11270 14.96050  9.99880  6.79107  4.81447  3.59802  2.79811  2.21389  1.75947  1.41744  1.19577  1.09960  1.11832  1.22253  1.36703  1.49908  1.57255  1.56553  1.49407  1.41331  1.40135  1.53106  1.84196  2.32517  2.92732  3.57051  4.17968  4.70777  5.14931  5.53566  5.91072  6.29716  6.67254  6.97236  7.12034  7.06627  6.80630  6.37575  5.82786  5.22165  4.62827  4.14097  3.86594  3.88857  4.23493  4.85663  5.65156  6.51186  7.38006  8.29673  9.42666 11.05250 13.53070 17.21710 22.38040 29.12180 37.31240 46.56710 56.28520 65.77450 74.42280 81.81400 87.69090 91.77400 93.58600 92.47170 87.87660 79.73100 68.68140 55.99720
 -135.000 -135.000 41.06510 29.34880 20.08180 13.38610  8.93895  6.19366  4.57520  3.60720  2.96652  2.47984  2.08537  1.78339  1.59417  1.53122  1.58877  1.73795  1.92868  2.09851  2.19049  2.17694  2.07911  1.96959  1.95111  2.11880  2.52317  3.15199  3.93839  4.78981  5.62365  6.39478  7.10391  7.78203  8.45634  9.11436  9.68883 10.07720 10.18720  9.98007  9.48361  8.76949  7.91807  7.00175  6.09680  5.30316  4.74188  4.52107  4.69129  5.22186  6.01486  6.95188  7.95797  9.06553 10.45780 12.46870 15.52510 20.04190 26.30270 34.35860 43.96830 54.59570 65.48500 75.81570 84.88830 92.23300 97.56210 100.59000 100.87700 97.88070 91.23530 81.11050 68.38800 54.50920
