VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 24.27920 20.46640 16.37600 12.44230  9.00606  6.24617  4.17861  2.70965  1.70412  1.03451  0.60093  0.33078  0.17149  0.08437  0.04129  0.02290  0.01688  0.01601  0.01646  0.01645  0.01540  0.01343  0.01103  0.00888  0.00798  0.00995  0.01765  0.03588  0.07171  0.13392  0.23094  0.36784  0.54350  0.74902  0.96771  1.17601  1.34607  1.45139  1.47599  1.42387  1.32273  1.21857  1.16345  1.20265  1.36625  1.66634  2.09848  2.64568  3.28380  3.98672  4.72943  5.48783  6.23673  6.94937  7.60074  8.17424  8.66910  9.10808  9.54640 10.08110 10.85410 12.03730 13.79000 16.18940 19.15980 22.43880 25.61390 28.22350 29.87440 30.31860 29.47000 27.39040
 -175.000 -175.000 35.25330 30.03300 24.31550 18.71300 13.72580  9.64042  6.51778  4.25756  2.68765  1.63299  0.94807  0.52192  0.27180  0.13629  0.07086  0.04484  0.03851  0.04003  0.04279  0.04357  0.04138  0.03657  0.03034  0.02435  0.02078  0.02270  0.03488  0.06477  0.12293  0.22227  0.37541  0.59061  0.86782  1.19596  1.55174  1.89997  2.19697  2.39973  2.48084  2.44320  2.32544  2.19384  2.12476  2.18680  2.42884  2.87475  3.52271  4.34826  5.31127  6.36573  7.46834  8.58173  9.67154 10.70230 11.63850 12.45310 13.14190 13.73940 14.33250 15.06780 16.14640 17.79660 20.21580 23.48810 27.50310 31.92160 36.22140 39.81620 42.19080 42.99150 42.05350 39.40070
 -170.000 -170.000 47.39380 40.74790 33.33910 25.95340 19.25840 13.66810  9.31365  6.10980  3.85916  2.33986  1.35432  0.74454  0.39000  0.20120  0.11386  0.08387  0.08247  0.09167  0.10085  0.10445  0.10064  0.09025  0.07589  0.06135  0.05134  0.05180  0.07066  0.11884  0.21080  0.36368  0.59470  0.91695  1.33486  1.83958  2.40428  2.98082  3.50217  3.89630  4.11089  4.13794  4.02375  3.85801  3.74932  3.80056  4.09216  4.67292  5.55503  6.71352  8.09294  9.62152 11.22690 12.84490 14.41830 15.89150 17.21100 18.33820 19.27040 20.06120 20.83410 21.78370 23.16180 25.24110 28.24980 32.28170 37.20730 42.63450 47.95620 52.47710 55.56230 56.74110 55.75180 52.56110
 -165.000 -165.000 59.17660 51.27230 42.33350 33.28280 24.93640 17.83990 12.21700  8.02342  5.05473  3.04905  1.75497  0.96235  0.50857  0.27388  0.17357  0.14988  0.16438  0.19177  0.21578  0.22708  0.22218  0.20242  0.17295  0.14171  0.11867  0.11544  0.14547  0.22440  0.37032  0.60321  0.94348  1.40961  2.01448  2.75823  3.61687  4.53031  5.40089  6.11284  6.57113  6.74172  6.66976  6.46688  6.27907  6.25456  6.52154  7.17322  8.25478  9.75429 11.60550 13.70580 15.94180 18.20760 20.40820 22.45590 24.27210 25.80460 27.05370 28.09430 29.08350 30.25110 31.87820 34.25970 37.64240 42.13610 47.61960 53.68950 59.69750 64.87340 68.48140 69.94000 68.88860 65.23020
 -160.000 -160.000 68.88380 60.05410 49.95980 39.59760 29.88890 21.49800 14.75170  9.66858  6.05619  3.62341  2.06878  1.13100  0.60666  0.34835  0.25409  0.25487  0.30348  0.36653  0.42026  0.44934  0.44685  0.41416  0.36025  0.30050  0.25487  0.24589  0.29680  0.43010  0.66663  1.02565  1.52647  2.19126  3.04493  4.10530  5.36050  6.74201  8.11435  9.30026 10.13920 10.54990 10.56230 10.30500  9.96564  9.75045  9.85569 10.44420 11.61920 13.40030 15.71800 18.43490 21.38460 24.40460 27.34960 30.09000 32.51550 34.55620 36.21280 37.57660 38.82630 40.20550 41.99410 44.47920 47.90930 52.41750 57.92380 64.06540 70.20940 75.56160 79.32290 80.82850 79.63750 75.59450
 -155.000 -155.000 75.10770 65.78710 55.05220 43.90100 33.30490 24.01780 16.46520 10.73730  6.66661  3.94461  2.22921  1.21618  0.66943  0.42173  0.36063  0.41071  0.51832  0.64195  0.74836  0.81306  0.82257  0.77655  0.68895  0.58711  0.50835  0.49455  0.58585  0.81514  1.20467  1.76704  2.51287  3.46337  4.65788  6.14145  7.92562  9.93782 11.99550 13.83700 15.20610 15.94680 16.05650 15.67700 15.04660 14.44910 14.17470 14.48510 15.56880 17.49670 20.20410 23.51540 27.20050 31.02840 34.79340 38.31740 41.45210 44.10250 46.26040 48.02130 49.56800 51.13280 52.96380 55.31020 58.40460 62.40760 67.31070 72.84150 78.44320 83.35690 86.77540 87.99690 86.53560 82.19230
 -150.000 -150.000 77.19900 67.83800 57.00990 45.64920 34.72370 25.04060 17.10340 11.06710  6.79287  3.96510  2.21513  1.21068  0.69671  0.49771  0.49953  0.62634  0.82144  1.03601  1.22570  1.35315  1.39360  1.34164  1.21645  1.06271  0.94497  0.93606  1.10311  1.49461  2.13274  3.01588  4.13604  5.50689  7.18391  9.24917 11.74860 14.60720 17.57920 20.28500 22.33130 23.45210 23.59520 22.92090 21.74240 20.45500 19.47910 19.20700 19.93670 21.80570 24.75940 28.58100 32.96850 37.61390 42.24460 46.62730 50.56730 53.93050 56.68080 58.89740 60.74730 62.43200 64.14910 66.09250 68.46780 71.46500 75.16500 79.42260 83.80720 87.65530 90.21360 90.80090 88.92780 84.36700
 -145.000 -145.000 75.48260 66.46720 56.01790 44.96200 34.22350 24.62680 16.72430 10.71740  6.49180  3.73348  2.06373  1.14055  0.70588  0.58774  0.67829  0.90652  1.21610  1.55269  1.86037  2.08558  2.18700  2.14931  1.99606  1.79453  1.64734  1.67178  1.97366  2.62343  3.64225  5.00724  6.68282  8.67040 11.04510 13.93580 17.43030 21.44280 25.63310 29.45120 32.30780 33.78290 33.76230 32.44950 30.28380 27.83220 25.69710 24.43540 24.47200 26.01600 29.02200 33.22820 38.25670 43.71860 49.26960 54.61330 59.49150 63.70450 67.15490 69.87340 71.99060 73.67170 75.06870 76.33060 77.64180 79.22340 81.24940 83.71490 86.34480 88.61780 89.89220 89.56250 87.17360 82.48000
 -140.000 -140.000 71.17940 62.76810 53.01020 42.60580 32.41420 23.25040 15.68780  9.95386  5.95209  3.37746  1.85697  1.05592  0.72665  0.70899  0.90573  1.25307  1.69737  2.18129  2.63890  2.99945  3.20128  3.21477  3.06624  2.84945  2.71430  2.83446  3.36512  4.40474  5.97393  8.02541 10.49370 13.37100 16.76140 20.85040 25.76480 31.38140 37.20640 42.43840 46.21060 47.89720 47.32230 44.78700 40.94770 36.63910 32.71840 29.94460 28.87510 29.78040 32.61300 37.06150 42.67350 48.98220 55.56970 62.06330 68.11270 73.40630 77.73070 81.02030 83.34600 84.84710 85.66830 85.95790 85.91170 85.79100 85.85340 86.22210 86.78120 87.17550 86.91550 85.51220 82.56920 77.82370
 -135.000 -135.000 66.08870 58.37150 49.40270 39.76030 30.23860 21.63320 14.52230  9.14518  5.41846  3.05138  1.68755  1.01038  0.78945  0.87862  1.19021  1.66601  2.25508  2.89972  3.52809  4.05575  4.40191  4.52186  4.44406  4.29026  4.26216  4.59602  5.50211  7.11068  9.44428 12.43560 15.99940 20.13580 24.99640 30.83030 37.78370 45.63580 53.64210 60.63180 65.35850 66.93990 65.16300 60.52400 54.03510 46.93440 40.42760 35.51160 32.86620 32.79310 35.21760 39.77170 45.93730 53.18260 61.02080 68.98700 76.59600 83.35640 88.85800 92.87150 95.37740 96.51190 96.47790 95.50330 93.85590 91.85770 89.83640 88.01500 86.41600 84.85100 82.99830 80.50310 77.03320 72.29830
 -130.000 -130.000 62.16100 55.03690 46.71210 37.67210 28.67060 20.49580 13.73070  8.62186  5.09529  2.87438  1.62116  1.03838  0.91167  1.10477  1.53365  2.14005  2.87297  3.67619  4.47860  5.19157  5.72468  6.02496  6.12602  6.17732  6.43013  7.18031  8.69030 11.12080 14.49960 18.75260 23.80020 29.68430 36.63120 44.95330 54.76760 65.65260 76.46870 85.52590 91.08860 91.98950 88.04840 80.10740 69.72100 58.69580 48.68660 40.95290 36.26260 34.89370 36.70290 41.25420 47.98090 56.31240 65.70880 75.60080 85.31790 94.10470 101.25300 106.28000 109.03600 109.67500 108.53800 106.03200 102.57700 98.59620 94.47890 90.51840 86.84510 83.41850 80.07680 76.58870 72.66800 67.97250
 -125.000 -125.000 61.07570 54.25720 46.19330 37.33280 28.44260 20.33990 13.62930  8.56539  5.07610  2.88835  1.67229  1.14082  1.08725  1.37709  1.92167  2.65504  3.52109  4.46563  5.42659  6.32693  7.08612  7.66054  8.09931  8.58048  9.39698 10.89070 13.36090 16.98700 21.80130 27.74030 34.76780 43.01410 52.81130 64.51880 78.13850 92.89610 107.07300 118.29900 124.26500 123.55000 116.14400 103.44300 87.75850 71.63090 57.24370 46.11050 39.02180 36.15070 37.22710 41.73100 49.06720 58.66600 69.96420 82.28870 94.74270 106.22400 115.61900 122.09300 125.30900 125.44700 123.05100 118.80600 113.37400 107.32700 101.13300 95.13930 89.56060 84.47850 79.86180 75.56640 71.30550 66.64080
 -120.000 -120.000 63.90980 56.96170 48.58530 39.27560 29.89370 21.34530 14.28460  8.97506  5.32936  3.05401  1.80426  1.28509  1.28487  1.66205  2.31613  3.16662  4.14699  5.20471  6.29578  7.37524  8.40169  9.37138 10.37160 11.61690 13.43300 16.18370 20.17110 25.55940 32.36670 40.54860 50.15270 61.45050 74.90710 90.89000 109.16100 128.40500 146.12600 159.14700 164.58300 160.88500 148.43500 129.42900 107.14100 84.95730 65.60490 50.78960 41.22250 36.87180 37.27230 41.79700 49.84000 60.87320 74.35480 89.53090 105.26600 120.06000 132.31100 140.74200 144.75900 144.54600 140.88000 134.79000 127.25700 119.06600 110.79800 102.86800 95.56910 89.08210 83.46610 78.60440 74.13860 69.46980
