VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 15.68470 11.15080  7.57132  4.99739  3.29108  2.21739  1.53858  1.07753  0.73559  0.47392  0.28197  0.15323  0.07603  0.03499  0.01585  0.00852  0.00778  0.01243  0.02431  0.04728  0.08587  0.14351  0.22071  0.31433  0.41808  0.52353  0.62030  0.69559  0.73528  0.72847  0.67365  0.58203  0.47417  0.37172  0.28941  0.23206  0.19662  0.17639  0.16426  0.15452  0.14395  0.13281  0.12569  0.13191  0.16600  0.24823  0.40411  0.66011  1.03385  1.52125  2.08853  2.67917  3.24000  3.75830  4.29158  4.97174  5.97795  7.48873  9.63377 12.46250 15.93400 19.91940 24.20200 28.47060 32.31740 35.26400 36.83590 36.67900 34.67940 31.03170 26.21520 20.87980
 -175.000 -175.000 23.31680 16.36750 10.92350  7.03598  4.48078  2.89886  1.93193  1.31006  0.87547  0.55758  0.33073  0.18104  0.09224  0.04545  0.02383  0.01589  0.01616  0.02438  0.04435  0.08253  0.14591  0.23897  0.36071  0.50381  0.65636  0.80482  0.93546  1.03365  1.08399  1.07459  1.00439  0.88764  0.75045  0.62056  0.51718  0.44686  0.40584  0.38487  0.37308  0.36073  0.34190  0.31742  0.29657  0.29692  0.34308  0.46572  0.70024  1.08162  1.63279  2.34909  3.18866  4.08170  4.96428  5.82744  6.75786  7.94547  9.64864 12.12900 15.58200 20.08640 25.58080 31.85580 38.55070 45.14830 50.98630 55.31450 57.41830 56.79540 53.32820 47.37310 39.70960 31.35540
 -170.000 -170.000 32.42530 22.51090 14.80860  9.34655  5.78311  3.60482  2.30815  1.51204  0.98663  0.62088  0.36869  0.20617  0.11158  0.06264  0.04044  0.03273  0.03454  0.04739  0.07792  0.13597  0.23123  0.36856  0.54383  0.74327  0.94750  1.13761  1.29847  1.41726  1.48104  1.47897  1.40979  1.28804  1.14198  1.00314  0.89474  0.82616  0.79412  0.78670  0.78714  0.77809  0.74810  0.69865  0.64774  0.62792  0.68071  0.85165  1.18707  1.72896  2.50341  3.50422  4.68262  5.95870  7.26281  8.59693 10.08800 12.00080 14.69470 18.53690 23.80480 30.60730 38.83940 48.16130 57.99260 67.51900 75.73550 81.55290 83.98740 82.40540 76.74750 67.62450 56.22040 44.01410
 -165.000 -165.000 42.34550 29.12280 18.94130 11.77140  7.12330  4.30787  2.66301  1.68833  1.07634  0.67120  0.40325  0.23659  0.14302  0.09655  0.07637  0.06993  0.07360  0.09164  0.13451  0.21596  0.34818  0.53513  0.76741  1.02275  1.27364  1.49750  1.68205  1.82185  1.91104  1.94130  1.90851  1.82189  1.70592  1.59246  1.50891  1.47007  1.47567  1.51080  1.54842  1.55678  1.51320  1.41927  1.30799  1.23786  1.27846  1.49702  1.95156  2.68714  3.72784  5.06299  6.63801  8.36779 10.18460 12.11210 14.33220 17.20470 21.21430 26.85560 34.49760 44.26720 55.97420 69.07690 82.68020 95.57330 106.32600 113.46800 115.75900 112.50300 103.80300 90.63810 74.69610 57.98010
 -160.000 -160.000 52.17100 35.59610 22.95520 14.11560  8.41543  4.98269  2.99960  1.85210  1.15921  0.72199  0.44702  0.28530  0.20093  0.16319  0.14887  0.14534  0.15106  0.17419  0.23004  0.33675  0.50830  0.74598  1.03291  1.33708  1.62394  1.87150  2.07676  2.24829  2.39146  2.50000  2.56151  2.57149  2.54304  2.50485  2.49012  2.52387  2.61255  2.73704  2.85242  2.90110  2.83972  2.66837  2.44370  2.26635  2.25067  2.49598  3.07294  4.02321  5.36022  7.06337  9.07279 11.30470 13.70430 16.33090 19.44030 23.50990 29.17210 37.06410 47.64200 61.01890 76.85760 94.32670 112.11700 128.53100 141.65600 149.63800 151.04600 145.23300 132.60600 114.63800 93.59360 72.01860
 -155.000 -155.000 60.96000 41.30910 26.47730 16.18000  9.56896  5.59867  3.31563  2.01170  1.24628  0.78470  0.51226  0.36654  0.30232  0.28243  0.28013  0.28252  0.29095  0.31874  0.38726  0.51949  0.73051  1.01718  1.35338  1.69738  2.01078  2.27836  2.51409  2.74685  2.99561  3.25312  3.49077  3.68024  3.81501  3.91758  4.02993  4.19344  4.42541  4.69981  4.94305  5.05612  4.96202  4.65668  4.23139  3.85000  3.69401  3.90913  4.58051  5.73808  7.37299  9.44708 11.89570 14.64520 17.66830 21.07930 25.22840 30.73150 38.38390 48.96360 62.98840 80.50150 100.93900 123.09000 145.14800 164.87300 179.85900 187.91800 187.52600 178.23700 160.90500 137.60700 111.22800 84.81970
 -150.000 -150.000 67.93960 45.75700 29.20340 17.79740 10.50120  6.11998  3.59830  2.16436  1.33902  0.86337  0.60573  0.49032  0.46083  0.47149  0.49051  0.50428  0.51762  0.55032  0.63105  0.78830  1.03801  1.37172  1.75377  2.13449  2.47643  2.77827  3.07799  3.42921  3.86431  4.36988  4.89212  5.36847  5.76430  6.09238  6.40540  6.76593  7.20502  7.68604  8.09492  8.27497  8.10243  7.56698  6.80732  6.07439  5.64226  5.71983  6.40955  7.72070  9.60939 12.01170 14.85980 18.10200 21.75860 26.02120 31.35620 38.53260 48.50800 62.17720 80.06510 102.06500 127.29600 154.08600 180.09200 202.53000 218.55900 225.75300 222.62800 209.07400 186.51600 157.70200 126.12900 95.28210
 -145.000 -145.000 72.62290 48.63050 30.94590 18.85930 11.15200  6.51433  3.83016  2.30016  1.43151  0.95451  0.72580  0.65686  0.67874  0.73504  0.78737  0.82084  0.84405  0.88402  0.97775  1.16002  1.44831  1.82986  2.26181  2.69091  3.08689  3.46884  3.90338  4.46982  5.21086  6.10058  7.05119  7.95600  8.74283  9.40762 10.01040 10.63430 11.32390 12.02870 12.58670 12.77380 12.41320 11.49120 10.20780  8.92351  8.02770  7.80725  8.38418  9.73916 11.78190 14.41640 17.57560 21.24530 25.51640 30.68350 37.34880 46.43900 59.05470 76.15800 98.19940 124.82200 154.73000 185.73500 214.95900 239.15900 255.18000 260.51000 253.84800 235.52900 207.60500 173.49600 137.24900 102.67400
 -140.000 -140.000 74.82350 49.82740 31.64400 19.32490 11.49260  6.76136  3.99728  2.40940  1.51582  1.04983  0.86229  0.85333  0.94078  1.05646  1.15438  1.21769  1.25857  1.31142  1.42176  1.63139  1.96111  2.39770  2.89730  3.41110  3.92380  4.47999  5.17555  6.11159  7.33449  8.79805 10.37230 11.89660 13.24890 14.39420 15.38650 16.31960 17.24640 18.10170 18.67930 18.69550 17.93130 16.38330 14.32920 12.25400 10.67430  9.96008 10.25150 11.49370 13.54300 16.26890 19.61170 23.61160 28.45440 34.56250 42.68860 53.91090 69.43730 90.22650 116.55600 147.70500 181.87300 216.32300 247.69400 272.42300 287.24200 289.75100 278.97900 255.77100 222.79000 184.03900 143.99400 106.65300
 -135.000 -135.000 74.62400 49.43040 31.35010 19.21460 11.52230  6.85198  4.09008  2.48425  1.58432  1.13876  0.99876  1.05571  1.21524  1.39769  1.54937  1.65124  1.71862  1.79272  1.92719  2.17150  2.55301  3.06520  3.67412  4.34776  5.09544  5.99041  7.15308  8.69599 10.65710 12.95940 15.42130 17.81740 19.95950 21.75920 23.23870 24.47990 25.53210 26.32010 26.61480 26.10750 24.57640 22.06200 18.93810 15.81790 13.33680 11.93620 11.76320 12.72130 14.61090 17.26960 20.65370 24.87260 30.22750 37.28750 46.96340 60.46860 79.07100 103.64800 134.20100 169.54500 207.29500 244.15800 276.37900 300.25700 312.65500 311.51200 296.33600 268.50900 231.21400 188.87000 146.19900 107.23300
