VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 35.56780 25.18070 16.44500  9.90314  5.49458  2.80517  1.31549  0.56544  0.22226  0.07972  0.02611  0.00802  0.00295  0.00274  0.00519  0.01038  0.01892  0.03100  0.04555  0.06003  0.07098  0.07533  0.07182  0.06168  0.04809  0.03484  0.02502  0.02030  0.02090  0.02606  0.03450  0.04490  0.05610  0.06723  0.07736  0.08535  0.08994  0.09033  0.08685  0.08115  0.07587  0.07407  0.07925  0.09583  0.12934  0.18543  0.26746  0.37451  0.50223  0.64799  0.81849  1.03477  1.33032  1.74366  2.31286  3.07989  4.10546  5.48550  7.35737  9.89159 13.27630 17.70370 23.34840 30.30200 38.42550 47.14880 55.34840 61.47940 64.02120 62.07580 55.79220 46.35990
 -175.000 -175.000 52.07050 36.61480 23.73800 14.18390  7.80627  3.95325  1.83951  0.78505  0.30667  0.10946  0.03580  0.01126  0.00491  0.00599  0.01221  0.02462  0.04496  0.07370  0.10835  0.14288  0.16906  0.17956  0.17139  0.14746  0.11538  0.08429  0.06168  0.05167  0.05493  0.06964  0.09256  0.12012  0.14914  0.17709  0.20166  0.22025  0.23020  0.22999  0.22060  0.20596  0.19208  0.18572  0.19413  0.22593  0.29143  0.40061  0.55845  0.76074  0.99533  1.25168  1.53546  1.87902  2.33995  2.98874  3.89710  5.14002  6.81376  9.05839 12.06870 16.08620 21.37950 28.22230 36.85340 47.37010 59.51010 72.37050 84.25320 92.88080 96.06210 92.55940 82.69230 68.29960
 -170.000 -170.000 71.11210 49.63470 31.93140 18.92750 10.33270  5.19096  2.39720  1.01612  0.39468  0.14033  0.04597  0.01501  0.00806  0.01217  0.02588  0.05243  0.09584  0.15719  0.23122  0.30509  0.36124  0.38403  0.36705  0.31655  0.24890  0.18388  0.13784  0.12001  0.13219  0.17046  0.22746  0.29455  0.36367  0.42829  0.48292  0.52225  0.54141  0.53802  0.51481  0.48034  0.44706  0.42860  0.43879  0.49286  0.60811  0.80031  1.07562  1.42329  1.81779  2.23503  2.67747  3.19312  3.87517  4.84307  6.22151  8.13659 10.73440 14.20790 18.81290 24.86250 32.70510 42.69330 55.11750 70.04510 87.01850 104.68900 120.64800 131.76600 135.12200 129.18100 114.56400 93.94930
 -165.000 -165.000 90.84640 62.89720 40.13490 23.59600 12.77710  6.36898  2.92014  1.23019  0.47564  0.16878  0.05562  0.01923  0.01290  0.02265  0.04933  0.10023  0.18335  0.30086  0.44280  0.58464  0.69278  0.73730  0.70595  0.61083  0.48362  0.36281  0.28062  0.25578  0.29258  0.38368  0.51391  0.66435  0.81646  0.95474  1.06707  1.14345  1.17614  1.16271  1.10996  1.03492  0.96133  0.91436  0.91830  0.99790  1.17931  1.48462  1.91963  2.46313  3.07071  3.70028  4.35064  5.09135  6.06405  7.45561  9.46537 12.29220 16.14940 21.29160 28.03260 36.74200 47.82380 61.67550 78.59160 98.53980 120.77200 143.39100 163.19600 176.18500 178.77900 169.28200 148.80000 121.00400
 -160.000 -160.000 108.96500 74.77700 47.30650 27.58010 14.81480  7.32982  3.33906  1.39986  0.53997  0.19198  0.06416  0.02396  0.01979  0.03832  0.08453  0.17204  0.31488  0.51697  0.76131  1.00589  1.19307  1.27156  1.22053  1.06116  0.84869  0.65056  0.52408  0.50373  0.59891  0.79757  1.07156  1.38332  1.69385  1.96956  2.18516  2.32301  2.37269  2.33437  2.22344  2.07133  1.91958  1.81122  1.78592  1.88098  2.13229  2.56715  3.18830  3.96064  4.81838  5.70140  6.60866  7.63897  8.99379 10.94280 13.77970 17.79890 23.30130 30.61370 40.09960 52.15300 67.17750 85.53820 107.43600 132.62800 159.96500 186.92800 209.53900 223.05100 223.44900 209.13500 181.89700 146.48100
 -155.000 -155.000 123.26200 83.77740 52.52220 30.36130 16.18170  7.95231  3.60445  1.50771  0.58282  0.20919  0.07182  0.02943  0.02868  0.05867  0.13022  0.26525  0.48572  0.79788  1.17572  1.55474  1.84633  1.97184  1.89977  1.66387  1.35098  1.06768  0.90609  0.92401  1.14027  1.53793  2.07001  2.66867  3.25905  3.77411  4.16425  4.39930  4.46761  4.37752  4.16070  3.87119  3.57663  3.34554  3.23902  3.31005  3.60408  4.15090  4.94695  5.94229  7.05298  8.20842  9.41716 10.81580 12.67210 15.34630 19.23910 24.76100 32.32430 42.34160 55.21420 71.31170 90.94730 114.32700 141.40800 171.58500 203.20000 233.10000 256.66400 268.69000 265.09900 244.73400 210.24400 167.41900
 -150.000 -150.000 132.17200 88.90920 55.21760 31.65110 16.74830  8.18721  3.70257  1.55293  0.60664  0.22275  0.08000  0.03606  0.03889  0.08120  0.18039  0.36752  0.67329  1.10663  1.63193  2.16042  2.57022  2.75359  2.66865  2.36443  1.96436  1.62050  1.46695  1.59217  2.03068  2.76312  3.71911  4.78708  5.83557  6.74142  7.41268  7.79829  7.88707  7.70418  7.30861  6.78785  6.24558  5.78501  5.49626  5.45217  5.70751  6.29144  7.19206  8.34767  9.66656 11.08280 12.62870 14.48590 16.98810 20.58260 25.78140 33.12690 43.16600 56.41190 73.28860 94.07720 118.88000 147.57600 179.68700 214.07700 248.49700 279.23600 301.29200 309.43600 300.00000 272.62000 230.91900 181.57500
 -145.000 -145.000 135.07000 89.88370 55.29900 31.44890 16.54520  8.06749  3.65855  1.55184  0.62097  0.23775  0.09106  0.04442  0.04915  0.10157  0.22482  0.45787  0.83917  1.38025  2.03756  2.70190  3.22355  3.47138  3.39707  3.06621  2.63768  2.30772  2.25332  2.59850  3.40124  4.64639  6.23979  8.01419  9.75803 11.26250 12.36720 12.98520 13.10450 12.77630 12.10030 11.21070 10.25960  9.39687  8.75256  8.42660  8.48526  8.95604  9.81932 11.00920 12.44140 14.07400 15.97800 18.38410 21.68480 26.40390 33.16010 42.63610 55.52950 72.46200 93.85650 119.82900 150.13100 184.12600 220.70100 258.04000 293.28100 322.32700 340.17800 342.08000 325.26000 290.43900 242.20500 187.83800
 -140.000 -140.000 132.26200 87.07100 53.09640 30.00040 15.73370  7.68859  3.52444  1.53098  0.63862  0.26002  0.10739  0.05489  0.05793  0.11502  0.25231  0.51330  0.94119  1.54960  2.29129  3.04670  3.65258  3.96830  3.94733  3.67116  3.32584  3.14062  3.32770  4.04667  5.38685  7.34846  9.82013 12.57320 15.29510 17.65870 19.40110 20.37450 20.55670 20.02870 18.94300 17.49560 15.90370 14.38170 13.11700 12.25010 11.86670 11.99580 12.61400 13.66010 15.07230 16.84860 19.10940 22.13520 26.36840 32.39710 40.93870 52.81380 68.86950 89.82290 116.05400 147.42800 183.21200 222.07700 262.10800 300.72100 334.51100 359.26000 370.41100 364.19700 339.13200 297.17100 243.71800 186.27300
 -135.000 -135.000 124.75300 81.29730 49.20520 27.68930 14.53680  7.16842  3.35695  1.51513  0.66935  0.29296  0.12987  0.06728  0.06397  0.11821  0.25525  0.51830  0.95104  1.56848  2.32587  3.10800  3.75878  4.14804  4.24249  4.13752  4.03228  4.16946  4.78012  6.05296  8.11416 10.99320 14.57570 18.57640 22.56980 26.08260 28.71120 30.21110 30.52470 29.75390 28.10880 25.86300 23.32200 20.79270 18.54800 16.79280 15.64720 15.15060 15.28040 15.98510 17.23130 19.06260 21.65110 25.32580 30.57550 38.04840 48.55290 63.03200 82.45300 107.58300 138.69400 175.31200 216.11100 258.95600 301.04200 339.02000 369.10100 387.27300 389.85900 374.48100 341.18900 293.14300 236.28400 177.91600
