VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 11.04070  7.81139  5.19684  3.25955  1.93199  1.08421  0.57704  0.29184  0.14071  0.06513  0.02955  0.01408  0.00839  0.00728  0.00810  0.00933  0.01007  0.00992  0.00897  0.00786  0.00783  0.01111  0.02175  0.04667  0.09581  0.17997  0.30517  0.46498  0.63564  0.77937  0.85764  0.84844  0.75720  0.61373  0.45758  0.32145  0.22190  0.16007  0.12833  0.11722  0.11970  0.13225  0.15402  0.18518  0.22566  0.27505  0.33398  0.40559  0.49551  0.61004  0.75446  0.93388  1.15699  1.43938  1.80250  2.26890  2.86003  3.60311  4.54544  5.76380  7.35439  9.39771 11.90770 14.78300 17.77950 20.51980 22.55170 23.45510 22.97340 21.11570 18.17440 14.63840
 -175.000 -175.000 16.35260 11.59660  7.73996  4.87694  2.91083  1.65157  0.89433  0.46429  0.23236  0.11308  0.05482  0.02863  0.01913  0.01810  0.02083  0.02422  0.02620  0.02579  0.02319  0.01971  0.01751  0.01973  0.03126  0.05990  0.11682  0.21421  0.35905  0.54435  0.74347  0.91386  1.01217  1.01384  0.92506  0.77892  0.61864  0.47912  0.37741  0.31438  0.28250  0.27343  0.28209  0.30744  0.35098  0.41404  0.49535  0.59053  0.69422  0.80322  0.91848  1.04498  1.19166  1.37357  1.61548  1.95297  2.42823  3.08365  3.96144  5.11418  6.62078  8.59149 11.14650 14.36590 18.22530 22.53890 26.93250 30.86320 33.70070 34.87190 34.03620 31.22390 26.86040 21.64790
 -170.000 -170.000 22.52150 15.98190 10.68540  6.75729  4.06184  2.33483  1.29232  0.69366  0.36339  0.18727  0.09728  0.05534  0.04057  0.04084  0.04810  0.05628  0.06101  0.06014  0.05412  0.04564  0.03871  0.03791  0.04873  0.07880  0.13887  0.24104  0.39267  0.58757  0.80002  0.98838  1.11033  1.14223  1.09033  0.98581  0.86748  0.76443  0.68892  0.64028  0.61354  0.60608  0.62015  0.66200  0.73910  0.85596  1.01015  1.19139  1.38499  1.57766  1.76197  1.93811  2.11525  2.31543  2.57832  2.96201  3.53730  4.38012  5.57156  7.20902  9.41885 12.35190 16.14680 20.86310 26.40410 32.45660 38.47220 43.70810 47.34010 48.64670 47.22540 43.15950 37.04170 29.81990
 -165.000 -165.000 28.95940 20.53040 13.73270  8.71125  5.27857  3.08372  1.75458  0.98078  0.54118  0.29594  0.16401  0.10035  0.07906  0.08320  0.09960  0.11711  0.12722  0.12569  0.11352  0.09615  0.08103  0.07518  0.08446  0.11490  0.17466  0.27381  0.41971  0.60906  0.82207  1.02524  1.18455  1.28175  1.32220  1.32811  1.32250  1.31663  1.30925  1.29534  1.27570  1.26088  1.26934  1.32290  1.44118  1.63522  1.90170  2.22180  2.56670  2.90712  3.22136  3.49933  3.74588  3.98695  4.27681  4.69991  5.36430  6.39276  7.92153 10.10870 13.13940 17.20770 22.46090 28.91460 36.36330 44.32260 52.02880 58.51460 62.76510 63.94130 61.62650 56.00290 47.86380 38.41850
 -160.000 -160.000 34.90820 24.68710 16.50400 10.50150  6.42529  3.82964  2.25264  1.31822  0.76740  0.44355  0.25982  0.16853  0.14026  0.15251  0.18481  0.21818  0.23751  0.23534  0.21383  0.18319  0.15670  0.14537  0.15526  0.18894  0.24943  0.34287  0.47669  0.65346  0.86518  1.09427  1.32261  1.54198  1.75573  1.96876  2.17415  2.34928  2.46663  2.51152  2.49381  2.44721  2.41940  2.46012  2.61044  2.89309  3.30491  3.81591  4.37780  4.93835  5.45404  5.89750  6.26364  6.57932  6.91394  7.38296  8.14014  9.36596 11.26270 14.05690 17.99460 23.30660 30.13290 38.41970 47.81990 57.64220 66.88190 74.34400 78.85080 79.50310 75.93770 68.49180 58.18450 46.48030
 -155.000 -155.000 39.60460 27.90410 18.63190 11.89680  7.36463  4.49495  2.74427  1.68368  1.03063  0.62453  0.38237  0.25954  0.22527  0.25110  0.30720  0.36388  0.39703  0.39485  0.36164  0.31494  0.27681  0.26402  0.28252  0.32922  0.39916  0.49293  0.61904  0.78992  1.01579  1.30255  1.65505  2.07916  2.57470  3.12031  3.66307  4.12709  4.44187  4.57436  4.54539  4.42286  4.29965  4.26942  4.40713  4.75467  5.31185  6.03682  6.85851  7.69644  8.47854  9.15298  9.69846 10.13890 10.55860 11.10770 11.99270 13.45900 15.77900 19.24520 24.15280 30.74900 39.14040 49.17440 60.33660 71.71350 82.06170 89.98840 94.21300 93.85580 88.68580 79.24720 66.79370 53.01100
 -150.000 -150.000 42.45850 29.77300 19.84690 12.72350  7.98278  5.00106  3.17232  2.03499  1.30061  0.81832  0.51823  0.36419  0.32652  0.37102  0.45734  0.54334  0.59432  0.59382  0.54946  0.48865  0.44495  0.44231  0.48591  0.56450  0.66240  0.77364  0.90981  1.09814  1.37370  1.77272  2.32853  3.06390  3.97300  4.99920  6.02751  6.90843  7.50916  7.76595  7.70878  7.44835  7.13833  6.93362  6.95787  7.28248  7.91664  8.81062  9.87298 10.99540 12.07500 13.03080 13.81900 14.45450 15.03320 15.74040 16.83880 18.64230 21.49110 25.72970 31.67500 39.55230 49.39240 60.90950 73.40440 85.75230 96.51530 104.17700 107.44800 105.56500 98.50370 87.04920 72.67020 57.20890
 -145.000 -145.000 43.19380 30.12180 20.04030 12.90280  8.21068  5.28074  3.47236  2.31516  1.53173  0.99151  0.64382  0.46440  0.42664  0.49183  0.60981  0.72643  0.79692  0.80096  0.75083  0.68540  0.65111  0.67948  0.77384  0.91263  1.06758  1.22621  1.40605  1.65421  2.03636  2.62380  3.48134  4.64908  6.11267  7.77271  9.43926 10.87200 11.85740 12.28540 12.18690 11.71680 11.09930 10.56600 10.30520 10.43170 10.97620 11.89240 13.07910 14.40970 15.75620 17.00850 18.09550 19.01520 19.86670 20.86600 22.33120 24.64360 28.20220 33.37910 40.46960 49.61930 60.72390 73.32130 86.52060 99.02640 109.29500 115.80800 117.39700 113.51700 104.40900 91.09740 75.21010 58.65120
 -140.000 -140.000 41.91040 29.05330 19.28770 12.46980  8.04350  5.29938  3.59435  2.47224  1.67912  1.10959  0.73335  0.53858  0.50289  0.58520  0.72845  0.86984  0.95766  0.96999  0.92472  0.87210  0.87062  0.95839  1.13591  1.37075  1.62235  1.87344  2.15062  2.52447  3.09386  3.96575  5.23480  6.95552  9.10158 11.52690 13.96130 16.06490 17.52960 18.18180 18.03640 17.28200 16.21410 15.15130 14.36320 14.02720 14.21370 14.89830 15.98930 17.35880 18.86720 20.38180 21.80270 23.10280 24.37430 25.85450 27.91070 30.98460 35.51740 41.87410 50.27230 60.70610 72.86560 86.06540 99.22550 110.94800 119.71000 124.15400 123.37800 117.15400 106.01700 91.18810 74.36220 57.38950
 -135.000 -135.000 39.04750 26.91230 17.82990 11.57090  7.55304  5.07776  3.52991  2.48549  1.72033  1.15307  0.77047  0.57084  0.53620  0.62568  0.77999  0.93334  1.03236  1.05680  1.03056  1.01313  1.07216  1.25037  1.54559  1.91684  2.31503  2.72202  3.17606  3.77122  4.63638  5.90786  7.70213 10.08080 13.00190 16.27450 19.55380 22.40350 24.41510 25.33370 25.13330 24.01450 22.33460 20.50600 18.89890 17.77660 17.27330 17.40820 18.11950 19.29700 20.80550 22.50030 24.25610 26.01790 27.86290 30.04030 32.95600 37.09680 42.92010 50.74060 60.63660 72.37840 85.38130 98.69710 111.07200 121.09000 127.39800 128.96700 125.30800 116.58700 103.62200 87.75390 70.62910 53.92360
