VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  3.18878  1.96703  1.14102  0.62123  0.31685  0.15111  0.06730  0.02796  0.01084  0.00393  0.00134  0.00045  0.00019  0.00015  0.00022  0.00034  0.00050  0.00069  0.00090  0.00116  0.00153  0.00205  0.00276  0.00364  0.00464  0.00579  0.00731  0.00979  0.01433  0.02245  0.03595  0.05631  0.08398  0.11748  0.15300  0.18468  0.20609  0.21228  0.20171  0.17700  0.14397  0.10946  0.07913  0.05606  0.04073  0.03201  0.02846  0.02925  0.03459  0.04568  0.06494  0.09701  0.15130  0.24672  0.41906  0.73020  1.27566  2.18165  3.58061  5.55820  8.08276 10.94870 13.77660 16.09210 17.46500 17.64750 16.64680 14.70360 12.19640  9.52339  7.01102  4.86909
 -175.000 -175.000  5.58500  3.49300  2.06308  1.14821  0.60071  0.29472  0.13533  0.05809  0.02330  0.00876  0.00311  0.00111  0.00052  0.00049  0.00073  0.00115  0.00169  0.00232  0.00304  0.00392  0.00513  0.00685  0.00918  0.01204  0.01525  0.01875  0.02301  0.02938  0.04033  0.05931  0.09010  0.13562  0.19631  0.26856  0.34407  0.41070  0.45533  0.46800  0.44561  0.39342  0.32328  0.24949  0.18410  0.13397  0.10047  0.08152  0.07427  0.07724  0.09117  0.11898  0.16622  0.24321  0.37022  0.58652  0.96314  1.61719  2.72028  4.48728  7.12815 10.75580 15.27020 20.27490 25.09130 28.90570 31.00940 31.02840 29.03280 25.48210 21.04780 16.40840 12.09900  8.44758
 -170.000 -170.000  9.83506  6.27788  3.78887  2.15566  1.15280  0.57800  0.27122  0.11903  0.04890  0.01887  0.00693  0.00260  0.00135  0.00142  0.00220  0.00348  0.00513  0.00704  0.00921  0.01187  0.01549  0.02061  0.02752  0.03599  0.04538  0.05530  0.06651  0.08184  0.10654  0.14770  0.21271  0.30661  0.42911  0.57207  0.71878  0.84619  0.93014  0.95262  0.90817  0.80654  0.66982  0.52505  0.39562  0.29544  0.22802  0.19001  0.17651  0.18524  0.21831  0.28239  0.38963  0.56217  0.84223  1.30851  2.09709  3.42045  5.57126  8.88968 13.67270 20.02360 27.68200 35.92120 43.60780 49.45890 52.42040 52.00380 48.41870 42.45110 35.17130 27.62090 20.60270 14.60640
 -165.000 -165.000 16.74060 10.88850  6.69301  3.87487  2.10667  1.07325  0.51182  0.22854  0.09574  0.03779  0.01429  0.00564  0.00325  0.00374  0.00595  0.00945  0.01395  0.01918  0.02513  0.03239  0.04223  0.05610  0.07475  0.09752  0.12259  0.14844  0.17607  0.21087  0.26314  0.34651  0.47424  0.65407  0.88303  1.14396  1.40571  1.62797  1.77043  1.80395  1.72038  1.53659  1.29015  1.02767  0.79059  0.60472  0.47809  0.40647  0.38259  0.40368  0.47498  0.61052  0.83566  1.19606  1.77650  2.72914  4.30518  6.87548 10.91600 16.92820 25.27530 35.94980 48.35200 61.20400 72.71640 81.01690 84.69910 83.25190 77.16630 67.69260 56.39760 44.74650 33.85190 24.40840
 -160.000 -160.000 26.96660 17.79910 11.09290  6.50530  3.58046  1.84676  0.89252  0.40470  0.17266  0.06969  0.02714  0.01129  0.00718  0.00889  0.01443  0.02303  0.03410  0.04701  0.06177  0.07983  0.10425  0.13851  0.18437  0.24018  0.30132  0.36335  0.42684  0.50122  0.60535  0.76364  0.99833  1.31984  1.71847  2.16061  2.59188  2.94719  3.16526  3.20429  3.05458  2.74348  2.32950  1.88593  1.47985  1.15561  0.93010  0.80039  0.75780  0.80038  0.93938  1.20227  1.63906  2.33976  3.46744  5.30403  8.29466 13.06100 20.34220 30.82590 44.86340 62.13170 81.38260 100.45400 116.65200 127.43400 131.15100 127.49700 117.49600 103.03800 86.26960 69.09490 52.93920 38.72980
 -155.000 -155.000 40.65680 27.11820 17.06790 10.10350  5.61352  2.92516  1.43069  0.65826  0.28592  0.11798  0.04730  0.02073  0.01445  0.01905  0.03142  0.05041  0.07493  0.10379  0.13715  0.17828  0.23385  0.31138  0.41462  0.53980  0.67633  0.81327  0.94892  1.09825  1.29342  1.57561  1.97997  2.51870  3.16857  3.86841  4.52910  5.05261  5.35404  5.38076  5.12521  4.62902  3.97550  3.26981  2.61185  2.07276  1.68591  1.45534  1.37473  1.44575  1.68999  2.15723  2.94032  4.20728  6.25588  9.58327 14.94190 23.32800 35.83660 53.33810 76.00960 102.86800 131.54300 158.52600 179.92600 192.52900 194.71200 186.80200 170.74300 149.31200 125.29800 101.00400 78.10880 57.75720
 -150.000 -150.000 57.04050 38.30920 24.27410 14.46800  8.09896  4.25807  2.10599  0.98277  0.43445  0.18312  0.07550  0.03484  0.02645  0.03676  0.06151  0.09929  0.14844  0.20716  0.27621  0.36238  0.47894  0.64059  0.85441  1.11241  1.39273  1.67148  1.94057  2.22124  2.56458  3.03613  3.68915  4.53626  5.53147  6.57175  7.51932  8.23564  8.61299  8.59426  8.18065  7.43110  6.45372  5.38624  4.36647  3.50239  2.85641  2.45091  2.28976  2.38329  2.76876  3.52997  4.82828  6.95825 10.43230 16.07890 25.10360 39.02480 59.38310 87.18140 122.15700 162.16900 203.09700 239.50200 265.99300 278.78300 276.74000 261.45400 236.35000 205.40600 172.11900 139.08900 108.11500 80.46930
 -145.000 -145.000 74.26230 50.07160 31.86440 19.08650 10.74980  5.69688  2.84729  1.34682  0.60541  0.26032  0.11022  0.05347  0.04393  0.06390  0.10847  0.17648  0.26614  0.37550  0.50727  0.67454  0.90135  1.21366  1.62329  2.11469  2.64649  3.17163  3.66777  4.16067  4.72540  5.46083  6.44557  7.69285  9.12484 10.58120 11.86130 12.77970 13.20990 13.10050 12.46920 11.39250  9.99726  8.44854  6.92439  5.58211  4.53180  3.83242  3.51088  3.59307  4.13778  5.27628  7.27040 10.60250 16.09850 25.05590 39.29620 61.00840 92.24180 134.01700 185.26600 242.08500 297.86800 344.63100 375.22400 385.50200 375.45500 348.72900 310.90900 267.55800 222.94600 179.82500 139.90500 104.40100
 -140.000 -140.000 89.63410 60.52420 38.60740 23.20560 13.13480  7.00975  3.53725  1.69418  0.77323  0.33848  0.14683  0.07474  0.06615  0.10032  0.17289  0.28431  0.43415  0.62221  0.85592  1.15879  1.57072  2.13326  2.86380  3.73423  4.67241  5.59327  6.44667  7.25573  8.12146  9.18534 10.56240 12.27200 14.20110 16.12050 17.75480 18.86700 19.31700 19.06820 18.16040 16.68270 14.76860 12.60010 10.39680  8.38032  6.73280  5.57351  4.96859  4.96714  5.65470  7.22351 10.07000 14.93000 23.04590 36.32040 57.33950 89.07640 134.09500 193.25000 264.24700 340.79100 413.10600 470.14900 502.86800 507.10500 484.67000 442.09200 387.80500 329.33100 271.76900 217.86300 168.96200 125.95700
 -135.000 -135.000 100.33100 67.70000 43.21440 26.02970 14.78950  7.93945  4.03987  1.95597  0.90440  0.40197  0.17819  0.09507  0.09040  0.14275  0.25038  0.41785  0.64941  0.95080  1.33919  1.85409  2.55647  3.50694  4.72798  6.17238  7.72338  9.23795 10.61640 11.86270 13.09830 14.51540 16.28240 18.44230 20.85570 23.22490 25.19360 26.46970 26.90020 26.46630 25.22720 23.27470 20.73400 17.79410 14.71880 11.81200  9.35277  7.54423  6.50636  6.31738  7.09291  9.09748 12.89200 19.52160 30.72860 49.12150 78.14170 121.58200 182.44300 261.18100 353.87500 451.34100 540.18300 606.05300 638.08800 632.53100 593.65300 531.52600 457.93100 382.61100 311.51200 247.19500 190.37700 141.30900
