VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  7.61015  5.25973  3.39376  2.04749  1.15808  0.61566  0.30798  0.14484  0.06389  0.02640  0.01025  0.00379  0.00138  0.00054  0.00031  0.00045  0.00115  0.00307  0.00754  0.01666  0.03317  0.05940  0.09576  0.13906  0.18203  0.21508  0.22990  0.22329  0.19886  0.16547  0.13335  0.11001  0.09794  0.09488  0.09584  0.09583  0.09183  0.08334  0.07182  0.05946  0.04822  0.03944  0.03385  0.03171  0.03292  0.03713  0.04407  0.05405  0.06870  0.09220  0.13348  0.21022  0.35448  0.61840  1.07591  1.81540  2.91984  4.43708  6.35073  8.56658 10.92530 13.23850 15.33040 17.06500 18.34550 19.09400 19.23310 18.68870 17.42190 15.47540 13.00780 10.28280
 -175.000 -175.000 11.99330  8.25788  5.30316  3.18008  1.78518  0.94087  0.46659  0.21798  0.09608  0.04017  0.01618  0.00648  0.00269  0.00124  0.00076  0.00096  0.00225  0.00587  0.01429  0.03152  0.06267  0.11224  0.18111  0.26340  0.34562  0.40980  0.44033  0.43111  0.38884  0.33020  0.27454  0.23605  0.21936  0.21981  0.22741  0.23199  0.22715  0.21164  0.18815  0.16117  0.13510  0.11341  0.09851  0.09178  0.09348  0.10302  0.11959  0.14339  0.17703  0.22739  0.30895  0.44961  0.69967  1.14139  1.89347  3.10191  4.91083  7.41484 10.60680 14.34430 18.35630 22.29440 25.81060 28.62550 30.55760 31.50610 31.41070 30.22810 27.95240 24.67570 20.64500 16.26030
 -170.000 -170.000 17.57190 12.00900  7.65286  4.55049  2.53061  1.32058  0.64911  0.30199  0.13415  0.05798  0.02523  0.01155  0.00571  0.00306  0.00193  0.00205  0.00412  0.01025  0.02459  0.05390  0.10684  0.19109  0.30833  0.44901  0.59077  0.70363  0.76140  0.75380  0.69201  0.60415  0.52289  0.47221  0.45969  0.47669  0.50499  0.52570  0.52634  0.50349  0.46118  0.40739  0.35107  0.30049  0.26260  0.24225  0.24143  0.25943  0.29433  0.34560  0.41698  0.51942  0.67573  0.92926  1.35778  2.08960  3.31306  5.26553  8.18957 12.25520 17.46790 23.59980 30.18580 36.60280 42.20940 46.48880 49.13050 50.02130 49.17350 46.65220 42.56710 37.13470 30.75400 24.01090
 -165.000 -165.000 24.13690 16.31760 10.29130  6.05600  3.33219  1.72127  0.84016  0.39201  0.17880  0.08294  0.04110  0.02234  0.01300  0.00779  0.00498  0.00444  0.00732  0.01676  0.03903  0.08433  0.16578  0.29517  0.47541  0.69272  0.91413  1.09517  1.19687  1.20393  1.13327  1.02729  0.93532  0.89350  0.91259  0.97795  1.05925  1.12421  1.14982  1.12719  1.06015  0.96088  0.84595  0.73367  0.64176  0.58420  0.56828  0.59411  0.65773  0.75654  0.89507  1.08998  1.37661  1.82158  2.54368  3.73947  5.70016  8.79787 13.41920 19.84140 28.07920 37.76270 48.12020 58.10080 66.61100 72.77080 76.07760 76.41780 73.95370 68.98250 61.87260 53.10070 43.32370 33.37600
 -160.000 -160.000 31.43430 20.96360 13.05870  7.59587  4.13462  2.11757  1.03216  0.49019  0.23697  0.12374  0.07236  0.04617  0.03021  0.01942  0.01256  0.00993  0.01321  0.02667  0.05881  0.12346  0.23843  0.41989  0.67237  0.97833  1.29477  1.56331  1.73280  1.78355  1.73895  1.65639  1.60240  1.62521  1.73782  1.91711  2.11649  2.28433  2.37998  2.38197  2.28873  2.11544  1.89052  1.65174  1.43992  1.28981  1.22190  1.23998  1.33687  1.50540  1.74959  2.09361  2.59171  3.34595  4.53608  6.45693  9.54379 14.35280 21.46140 31.28020 43.81510 58.47560 74.04190 88.85360 101.17900 109.62700 113.42300 112.46100 107.15100 98.18910 86.40760 72.74440 58.26660 44.13340
 -155.000 -155.000 39.33150 25.83430 15.88070  9.13234  4.92603  2.51293  1.23658  0.61205  0.32592  0.19778  0.13513  0.09686  0.06824  0.04593  0.03026  0.02249  0.02508  0.04343  0.08805  0.17585  0.32850  0.56580  0.89399  1.29359  1.71538  2.09228  2.36589  2.51524  2.57026  2.60091  2.68707  2.88532  3.20775  3.61974  4.05387  4.43141  4.68247  4.75941  4.64363  4.34876  3.92099  3.43358  2.97228  2.61385  2.40685  2.36505  2.47716  2.72733  3.11625  3.67766  4.49415  5.72185  7.63056 10.65270 15.41500 22.70640 33.33310 47.84640 66.20040 87.47890 109.85200 130.85300 147.92000 158.99300 162.94800 159.69500 149.99500 135.14400 116.69000 96.28350 75.59110 56.18000
 -150.000 -150.000 47.90160 30.99400 18.81780 10.72080  5.75427  2.94728  1.48725  0.78779  0.47417  0.33245  0.25504  0.19706  0.14580  0.10175  0.06862  0.04999  0.04981  0.07486  0.13736  0.25619  0.45505  0.75544  1.16496  1.66507  2.20738  2.72601  3.16499  3.50781  3.79078  4.09068  4.49226  5.05229  5.77608  6.61322  7.46949  8.22753  8.76950  8.99840  8.85851  8.35365  7.55711  6.60373  5.65941  4.87701  4.35751  4.13574  4.19626  4.50881  5.06607  5.91351  7.17544  9.08904 12.05410 16.68990 23.86550 34.64390 50.07710 70.83290 96.73650 126.41000 157.23400 185.74400 208.36700 222.25000 225.85000 219.11500 203.27600 180.43400 153.12500 123.97800 95.45470 69.61540
 -145.000 -145.000 57.33000 36.62060 22.02210 12.47980  6.70651  3.48312  1.83056  1.05553  0.71697  0.56258  0.46644  0.37905  0.29117  0.20990  0.14543  0.10624  0.09973  0.13530  0.22713  0.39517  0.66289  1.05095  1.56744  2.19833  2.90509  3.63610  4.35063  5.04411  5.75836  6.56844  7.55134  8.75207 10.16040 11.70330 13.25010 14.62640 15.63720 16.10160 15.89830 15.01200 13.56050 11.78070  9.97044  8.40716  7.27836  6.65593  6.52101  6.82181  7.53635  8.72414 10.56840 13.42230 17.86560 24.76170 35.27300 50.76550 72.52530 101.27300 136.58300 176.44600 217.26400 254.39400 283.12000 299.71700 302.21400 290.65100 266.85700 233.93500 195.65200 155.85400 117.96600 84.60290
 -140.000 -140.000 67.66130 42.82310 25.61160 14.51010  7.85797  4.17358  2.30512  1.44732  1.08600  0.92285  0.80724  0.68184  0.54124  0.40238  0.28657  0.21192  0.19334  0.24586  0.38754  0.63975  1.02445  1.55951  2.25315  3.09986  4.08074  5.17199  6.36059  7.65969  9.11274 10.78070 12.71660 14.93880 17.41040 20.02530 22.60000 24.87420 26.53430 27.27010 26.86290 25.27650 22.70560 19.54920 16.30640 13.43930 11.26220  9.90169  9.33568  9.48192 10.29580 11.85260 14.41370 18.48650 24.88580 34.77870 49.66870 71.23800 100.96800 139.52600 186.06900 237.75600 289.81000 336.26100 371.17900 389.97700 390.32700 372.47800 339.00100 294.17500 243.17400 191.21000 142.76800 101.03800
 -135.000 -135.000 78.53810 49.44770 29.53690 16.80590  9.21693  5.02845  2.91962  1.97292  1.59586  1.43562  1.30807  1.14203  0.93446  0.71524  0.52294  0.39246  0.35293  0.43074  0.65226  1.04327  1.62584  2.41605  3.42485  4.66135  6.13648  7.86550  9.86994 12.17820 14.82200 17.82750 21.20270 24.92280 28.91190 33.01690 36.97640 40.40330 42.81220 43.71480 42.77180 39.94320 35.55950 30.26370 24.83920 19.99670 16.21370 13.68350 12.37660 12.16870 12.98290 14.91070 18.30750 23.87010 32.69660 46.31100 66.59680 95.55350 134.79700 184.80500 244.11800 308.83600 372.81400 428.65000 469.21200 489.16700 486.01500 460.40200 415.81200 357.81600 293.06600 228.16900 168.64800 118.21800
