VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 23.24410 19.31150 14.91400 10.70610  7.15146  4.45630  2.60273  1.43634  0.75823  0.38920  0.19809  0.10285  0.05825  0.04187  0.04383  0.06089  0.09298  0.14058  0.20272  0.27653  0.35905  0.44992  0.55147  0.66393  0.77805  0.87205  0.91846  0.89863  0.81528  0.69347  0.56915  0.47389  0.42525  0.42663  0.47244  0.55296  0.65704  0.77427  0.89859  1.03212  1.18535  1.37175  1.59915  1.86416  2.15492  2.46189  2.79006  3.16468  3.62732  4.22534  4.99933  5.96884  7.11430  8.35954  9.56907 10.57530 11.23470 11.48830 11.39310 11.10660 10.83520 10.78290 11.12530 12.01030 13.55360 15.79920 18.64490 21.77540 24.66120 26.66170 27.21450 26.03750
 -175.000 -175.000 31.79750 26.45020 20.49900 14.80450  9.97901  6.29895  3.74579  2.11891  1.15587  0.61811  0.32997  0.18088  0.10915  0.08330  0.08850  0.11896  0.17339  0.25110  0.34851  0.45803  0.57082  0.68179  0.79192  0.90358  1.01127  1.09615  1.13233  1.10287  1.01406  0.89639  0.79134  0.73408  0.74358  0.82335  0.96692  1.16139  1.38798  1.62374  1.84797  2.05070  2.23735  2.42598  2.63941  2.89845  3.22039  3.62227  4.12482  4.75478  5.54556  6.53703  7.77030  9.26995 11.01200 12.89060 14.71090 16.23040 17.24410 17.67350 17.61050 17.28710 16.99340 16.99610 17.50400 18.67830 20.64570 23.45960 27.00400 30.89410 34.45990 36.87270 37.39550 35.65460
 -170.000 -170.000 40.56090 33.75220 26.23930 19.06440 12.97170  8.30018  5.03060  2.91971  1.64593  0.91528  0.51052  0.29432  0.18905  0.15349  0.16639  0.21765  0.30308  0.41931  0.55862  0.70689  0.84744  0.96894  1.07066  1.15886  1.23575  1.29133  1.30758  1.27412  1.20278  1.12841  1.09497  1.13826  1.27718  1.51557  1.84662  2.25268  2.70174  3.14870  3.54648  3.86290  4.09349  4.26395  4.42377  4.63607  4.96682  5.47357  6.19586  7.15355  8.35803  9.83085 11.61170 13.73690 16.18780 18.83530 21.42450 23.63030 25.17420 25.94670 26.06410 25.82600 25.60080 25.71150 26.38830 27.79150 30.04510 33.20730 37.15770 41.46710 45.36050 47.85970 48.08560 45.59200
 -165.000 -165.000 48.50120 40.34220 31.45120 22.99200 15.79820 10.25270  6.33545  3.77092  2.19213  1.26216  0.73153  0.44189  0.30222  0.26160  0.29076  0.37283  0.49819  0.65865  0.84094  1.02375  1.18246  1.29985  1.37434  1.41772  1.44304  1.45386  1.44588  1.42055  1.39826  1.41826  1.52516  1.75358  2.12188  2.63483  3.28491  4.04572  4.86259  5.65389  6.32990  6.82272  7.11206  7.23633  7.28784  7.39553  7.69722  8.30528  9.27812 10.61610 12.29120 14.29400 16.66160 19.45200 22.66780 26.17180 29.65790 32.71900 34.99410 36.32390 36.82620 36.84610 36.81170 37.08820 37.91360 39.42970 41.73830 44.88920 48.76470 52.92780 56.56550 58.63190 58.17930 54.73100
 -160.000 -160.000 54.67770 45.42800 35.51290 26.12830 18.13680 11.93920  7.51630  4.57746  2.73173  1.61813  0.96836  0.61108  0.44557  0.41179  0.47087  0.59640  0.77022  0.97697  1.19697  1.40271  1.56424  1.66157  1.69487  1.68292  1.65056  1.61663  1.59362  1.59870  1.66411  1.83562  2.15987  2.67209  3.39277  4.32946  5.47227  6.77801  8.15431  9.46262 10.54920 11.29380 11.65370 11.68730 11.55050 11.46620 11.67000 12.34300 13.56060 15.28900 17.44240 19.96860 22.90100 26.33030 30.29840 34.68020 39.13610 43.18430 46.37490 48.47700 49.57810 50.03520 50.31070 50.79660 51.72700 53.20840 55.29480 58.00390 61.21900 64.53610 67.19170 68.18850 66.61810 62.03420
 -155.000 -155.000 58.47570 48.49880 38.01770 28.15980 19.74980 13.17940  8.43539  5.23396  3.18556  1.92610  1.18245  0.77804  0.60598  0.59802  0.70469  0.88772  1.11766  1.36993  1.61836  1.83188  1.98006  2.04576  2.03503  1.97505  1.90142  1.84648  1.83874  1.91207  2.11303  2.49748  3.11945  4.02203  5.23548  6.77474  8.62456 10.71180 12.88360 14.91620 16.56420 17.63480 18.05630 17.91770 17.46380 17.04400 17.01970 17.65530 19.04190 21.09950 23.67060 26.65050 30.06790 34.05270 38.70020 43.91680 49.34830 54.45080 58.68230 61.71960 63.58560 64.61390 65.27680 65.98170 66.95370 68.25040 69.85140 71.70950 73.69720 75.47840 76.43040 75.73270 72.63780 66.79900
 -150.000 -150.000 59.73520 49.42730 38.85230 28.97650 20.52700 13.86510  8.99126  5.65070  3.47953  2.12904  1.33236  0.91325  0.76123  0.80104  0.97287  1.22584  1.51781  1.81398  2.08247  2.29199  2.41730  2.45048  2.40840  2.32837  2.25521  2.23122  2.29730  2.50158  2.90473  3.57616  4.58543  5.99636  7.86307 10.21670 13.03310 16.18990 19.44060 22.43650 24.80320 26.25020 26.67120 26.20130 25.20670 24.20200 23.70690 24.08770 25.45500 27.67890 30.52420 33.82850 37.61140 42.03920 47.26330 53.23170 59.59110 65.74850 71.07050 75.12540 77.84260 79.50240 80.56790 81.45720 82.38810 83.36490 84.27050 84.96350 85.28770 84.99810 83.68720 80.82190 75.92310 68.80450
 -145.000 -145.000 58.74800 48.46410 38.19250 28.67470 20.49880 13.98200  9.14582  5.78239  3.57125  2.19165  1.38952  0.99167  0.88564  0.99093  1.23933  1.56882  1.92541  2.26475  2.55072  2.75481  2.86149  2.87718  2.83397  2.78193  2.77530  2.86412  3.09748  3.53268  4.24071  5.30543  6.82090  8.88903 11.60830 15.03960 19.14640 23.73020 28.40380 32.63650 35.87300 37.69230 37.94890 36.84850 34.92420 32.90720 31.51890 31.25550 32.26240 34.36640 37.25720 40.71160 44.72930 49.49740 55.20970 61.85200 69.07970 76.26080 82.67470 87.77060 91.36290 93.65510 95.08640 96.08510 96.87020 97.39750 97.45020 96.77870 95.18970 92.53990 88.67850 83.42560 76.63580 68.31970
 -140.000 -140.000 56.16000 46.15750 36.44970 27.52940 19.82970 13.61850  8.94241  5.64893  3.46947  2.11643  1.35062  1.00252  0.95869  1.13580  1.46073  1.86401  2.28291  2.66604  2.97510  3.18639  3.29613  3.32746  3.33064  3.37215  3.51920  3.83135  4.36400  5.17777  6.34714  7.96818 10.16780 13.10580 16.95020 21.80840 27.62490 34.08810 40.60520 46.38440 50.61840 52.71290 52.48230 50.24230 46.75980 43.05580 40.11640 38.61150 38.74840 40.32650 42.96600 46.37690 50.51850 55.56980 61.73910 69.03420 77.11680 85.32310 92.84790 99.01460 103.50300 106.42000 108.16400 109.17200 109.67600 109.60400 108.66200 106.51000 102.92800 97.88140 91.47940 83.90110 75.34050 66.00610
 -135.000 -135.000 52.83680 43.24810 34.20070 25.95570 18.80200 12.96170  8.50621  5.33678  3.23483  1.94428  1.23926  0.95315  0.97223  1.21290  1.60133  2.06563  2.53920  2.96753  3.31277  3.55703  3.70793  3.80463  3.91654  4.13077  4.53444  5.20331  6.20140  7.58895  9.43680 11.85000 14.99600 19.11360 24.46520 31.21830 39.28370 48.18410 57.03490 64.68340 69.98300 72.11890 70.87320 66.73330 60.79420 54.46850 49.09160 45.56680 44.19710 44.76990 46.83580 50.02220 54.22020 59.56320 66.24090 74.26000 83.28090 92.60760 101.34900 108.69200 114.15900 117.73300 119.75500 120.66300 120.71900 119.85700 117.75600 114.04000 108.49900 101.21100 92.52090 82.91640 72.87730 62.77100
