VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  7.03483  7.11746  7.17699  7.21898  7.24781  7.26689  7.27878  7.28540  7.28815  7.28807  7.28592  7.28223  7.27741  7.27174  7.26542  7.25817  7.23529  6.72692  3.29289  2.12966  2.05615  2.03173  2.01049  1.98807  1.96079  1.92417  1.87277  1.80051  1.70188  1.57427  1.42045  1.24951  1.07471  0.90924  0.76274  0.64011  0.54222  0.46725  0.41190  0.37221  0.34428  0.32468  0.31067  0.30024  0.29204  0.28522  0.27926  0.27388  0.26903  0.26536  0.27040  0.35056  0.80274  2.06743  3.20906  3.44707  3.47314  3.47950  3.49483  3.54160  3.64972  3.84210  4.12248  4.47569  4.87384  5.28419  5.67679  6.02975  6.33109  6.57769  6.77263  6.92242
 -175.000 -175.000  6.97255  7.06093  7.12470  7.16971  7.20062  7.22105  7.23376  7.24079  7.24367  7.24350  7.24110  7.23705  7.23179  7.22561  7.21873  7.21083  7.18576  6.64458  3.25354  2.17127  2.09007  2.05685  2.02964  2.00382  1.97550  1.94013  1.89230  1.82583  1.73471  1.61501  1.46763  1.29983  1.12407  0.95407  0.80080  0.67057  0.56531  0.48382  0.42308  0.37924  0.34828  0.32657  0.31115  0.29982  0.29107  0.28392  0.27779  0.27236  0.26756  0.26439  0.27400  0.38727  0.95141  2.32331  3.28882  3.45843  3.47828  3.48485  3.49717  3.53179  3.61590  3.77688  4.02679  4.35707  4.74284  5.15111  5.54961  5.91337  6.22755  6.48690  6.69326  6.85258
 -170.000 -170.000  6.90589  7.00022  7.06839  7.11652  7.14958  7.17142  7.18497  7.19243  7.19543  7.19516  7.19249  7.18806  7.18232  7.17561  7.16814  7.15952  7.13148  6.54755  3.22592  2.23485  2.14128  2.09472  2.05781  2.02565  1.99396  1.95796  1.91217  1.85028  1.76583  1.65382  1.51332  1.34963  1.17398  1.00027  0.84064  0.70288  0.59007  0.50177  0.43534  0.38702  0.35276  0.32875  0.31180  0.29949  0.29014  0.28265  0.27635  0.27086  0.26615  0.26373  0.27998  0.43634  1.12746  2.56371  3.34704  3.46714  3.48329  3.49097  3.50242  3.52883  3.59297  3.72396  3.94156  4.24521  4.61462  5.01750  5.41963  5.79287  6.11928  6.39123  6.60910  6.77815
 -165.000 -165.000  6.83475  6.93519  7.00789  7.05926  7.09453  7.11782  7.13223  7.14012  7.14324  7.14285  7.13990  7.13506  7.12883  7.12155  7.11346  7.10402  7.07163  6.42797  3.21319  2.32751  2.21697  2.15157  2.09996  2.05732  2.01896  1.97973  1.93387  1.87489  1.79591  1.69100  1.55753  1.39870  1.22421  1.04767  0.88220  0.73703  0.61655  0.52116  0.44870  0.39560  0.35778  0.33126  0.31263  0.29927  0.28927  0.28142  0.27494  0.26942  0.26484  0.26351  0.28935  0.50041  1.33137  2.77715  3.38891  3.47399  3.48814  3.49751  3.50969  3.53138  3.58000  3.68368  3.86819  4.14183  4.49064  4.88443  5.28752  5.66863  6.00646  6.29075  6.52014  6.69906
 -160.000 -160.000  6.75905  6.86575  6.94308  6.99777  7.03532  7.06008  7.07537  7.08370  7.08692  7.08641  7.08316  7.07789  7.07114  7.06327  7.05453  7.04413  7.00491  6.27337  3.21695  2.45446  2.32478  2.23514  2.16283  2.10424  2.05464  2.00850  1.95966  1.90127  1.82605  1.72718  1.60047  1.44700  1.27458  1.09611  0.92537  0.77299  0.64474  0.54203  0.46323  0.40503  0.36337  0.33412  0.31368  0.29916  0.28847  0.28023  0.27358  0.26804  0.26368  0.26401  0.30353  0.58235  1.56124  2.95661  3.41876  3.47951  3.49280  3.50421  3.51824  3.53810  3.57571  3.65586  3.80785  4.04871  4.37261  4.75315  5.15409  5.54113  5.88937  6.18558  6.42642  6.61528
 -155.000 -155.000  6.67877  6.79181  6.87387  6.93194  6.97181  6.99807  7.01425  7.02301  7.02634  7.02568  7.02211  7.01640  7.00910  7.00063  6.99121  6.97959  6.92910  6.06579  3.23460  2.61464  2.46998  2.35347  2.25471  2.17369  2.10690  2.04882  1.99291  1.93190  1.85795  1.76344  1.64269  1.49466  1.32501  1.14548  0.97010  0.81076  0.67470  0.56442  0.47897  0.41536  0.36956  0.33738  0.31495  0.29918  0.28775  0.27911  0.27228  0.26676  0.26277  0.26567  0.32445  0.68537  1.81180  3.10031  3.43998  3.48405  3.49723  3.51084  3.52745  3.54772  3.57853  3.63974  3.76125  3.96762  4.26245  4.62519  5.02037  5.41098  5.76836  6.07590  6.32801  6.52683
 -150.000 -150.000  6.59392  6.71337  6.80020  6.86169  6.90390  6.93167  6.94874  6.95794  6.96135  6.96054  6.95663  6.95045  6.94260  6.93350  6.92336  6.91009  6.84035  5.78363  3.25705  2.79591  2.65074  2.51181  2.38395  2.27446  2.18355  2.10706  2.03858  1.97045  1.89428  1.80157  1.68526  1.54218  1.37565  1.19575  1.01634  0.85034  0.70644  0.58838  0.49599  0.42663  0.37642  0.34105  0.31648  0.29935  0.28712  0.27807  0.27109  0.26568  0.26237  0.26932  0.35476  0.81299  2.07390  3.21078  3.45509  3.48785  3.50135  3.51721  3.53680  3.55910  3.58677  3.63398  3.72852  3.90012  4.16224  4.50235  4.88759  5.27896  5.64387  5.96197  6.22506  6.43378
 -145.000 -145.000  6.50458  6.63043  6.72206  6.78698  6.83154  6.86082  6.87878  6.88838  6.89187  6.89089  6.88663  6.87998  6.87155  6.86181  6.85090  6.83520  6.73204  5.41026  3.27019  2.97420  2.85338  2.70759  2.55553  2.41507  2.29381  2.19159  2.10356  2.02230  1.93901  1.84439  1.73000  1.59061  1.42698  1.24713  1.06419  0.89180  0.74005  0.61399  0.51433  0.43890  0.38397  0.34518  0.31829  0.29970  0.28662  0.27714  0.27010  0.26500  0.26303  0.27663  0.39816  0.96911  2.33518  3.29307  3.46589  3.49102  3.50509  3.52311  3.54584  3.57123  3.59867  3.63677  3.70898  3.84728  4.07407  4.38672  4.75731  5.14605  5.51649  5.84417  6.11780  6.33627
 -140.000 -140.000  6.41089  6.54311  6.63951  6.70783  6.75471  6.78549  6.80430  6.81431  6.81786  6.81669  6.81207  6.80492  6.79592  6.78552  6.77376  6.75423  6.59290  4.94994  3.26101  3.12073  3.05200  2.92583  2.76596  2.60005  2.44621  2.31194  2.19668  2.09484  1.99794  1.89617  1.77987  1.64178  1.48004  1.30014  1.11393  0.93532  0.77566  0.64135  0.53409  0.45224  0.39227  0.34980  0.32041  0.30024  0.28628  0.27643  0.26950  0.26526  0.26608  0.29085  0.46012  1.15788  2.58227  3.35306  3.47364  3.49360  3.50830  3.52833  3.55414  3.58318  3.61255  3.64591  3.70118  3.80941  3.99984  4.28063  4.63143  5.01351  5.38701  5.72296  6.00655  6.23451
 -135.000 -135.000  6.31309  6.45157  6.55265  6.62432  6.67348  6.70569  6.72533  6.73571  6.73929  6.73792  6.73293  6.72529  6.71570  6.70465  6.69191  6.66596  6.40481  4.43997  3.22364  3.21423  3.21631  3.13922  2.99878  2.82470  2.64461  2.47651  2.32774  2.19734  2.07894  1.96310  1.83939  1.69878  1.53672  1.35588  1.16618  0.98129  0.81352  0.67064  0.55539  0.46674  0.40139  0.35496  0.32289  0.30104  0.28619  0.27614  0.26982  0.26771  0.27453  0.31843  0.54899  1.38351  2.80391  3.39628  3.47920  3.49553  3.51081  3.53258  3.56127  3.59413  3.62682  3.65903  3.70287  3.78585  3.94090  4.18648  4.51220  4.88294  5.25643  5.59901  5.89174  6.12883
