VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 10.09790  6.92656  4.41456  2.61326  1.43742  0.73534  0.35025  0.15550  0.06440  0.02489  0.00898  0.00302  0.00095  0.00028  0.00009  0.00006  0.00012  0.00028  0.00060  0.00117  0.00207  0.00331  0.00483  0.00645  0.00801  0.00947  0.01113  0.01376  0.01847  0.02640  0.03810  0.05288  0.06862  0.08224  0.09078  0.09265  0.08815  0.07912  0.06803  0.05715  0.04819  0.04220  0.03960  0.04008  0.04281  0.04687  0.05199  0.05897  0.06975  0.08718  0.11544  0.16205  0.24179  0.38200  0.62764  1.04410  1.71557  2.73723  4.19975  6.16614  8.64310 11.55360 14.72180 17.88080 20.70550 22.86190 24.05770 24.08830 22.88140 20.53540 17.33270 13.69750
 -175.000 -175.000 15.03420 10.32280  6.61251  3.95059  2.20204  1.14591  0.55714  0.25326  0.10766  0.04279  0.01589  0.00550  0.00177  0.00054  0.00019  0.00017  0.00035  0.00082  0.00177  0.00345  0.00610  0.00977  0.01425  0.01904  0.02359  0.02766  0.03184  0.03779  0.04806  0.06525  0.09071  0.12317  0.15824  0.18946  0.21056  0.21790  0.21156  0.19477  0.17220  0.14857  0.12784  0.11298  0.10552  0.10526  0.11047  0.11900  0.12997  0.14496  0.16803  0.20514  0.26435  0.35888  0.51324  0.77111  1.20214  1.90485  3.00381  4.63957  6.94909 10.03350 13.91260 18.47420 23.43920 28.36620 32.70790 35.90670 37.49900 37.20470 34.99030 31.09940 26.03110 20.44960
 -170.000 -170.000 21.04630 14.47040  9.31911  5.61982  3.17373  1.67905  0.83247  0.38687  0.16849  0.06871  0.02619  0.00931  0.00309  0.00098  0.00038  0.00041  0.00093  0.00218  0.00470  0.00915  0.01616  0.02588  0.03778  0.05055  0.06265  0.07325  0.08327  0.09600  0.11670  0.15090  0.20164  0.26694  0.33875  0.40494  0.45340  0.47640  0.47266  0.44654  0.40558  0.35845  0.31371  0.27876  0.25839  0.25332  0.26048  0.27535  0.29567  0.32406  0.36830  0.43981  0.55344  0.73155  1.01304  1.46447  2.18862  3.32698  5.05496  7.56898 11.06150 15.67660 21.44130 28.18440 35.47630 42.63300 48.80820 53.15600 55.01080 54.03360 50.29150 44.26030 36.74120 28.69760
 -165.000 -165.000 27.81160 19.14570 12.39230  7.53828  4.30875  2.31407  1.16773  0.55356  0.24636  0.10280  0.04014  0.01464  0.00500  0.00166  0.00075  0.00095  0.00221  0.00519  0.01117  0.02176  0.03840  0.06155  0.09000  0.12076  0.15014  0.17577  0.19878  0.22508  0.26457  0.32791  0.42153  0.54301  0.67937  0.81011  0.91392  0.97552  0.98912  0.95791  0.89162  0.80446  0.71342  0.63546  0.58304  0.56029  0.56277  0.58214  0.61334  0.66011  0.73574  0.86040  1.05981  1.37039  1.85134  2.59921  3.75789  5.51985  8.11872 11.81290 16.85400 23.42580 31.54770 40.95680 51.02070 60.74600 68.92110 74.36400 76.19910 74.06740 68.21640 59.44870 48.94640 38.01460
 -160.000 -160.000 34.81670 23.98340 15.58700  9.55134  5.51556  3.00036  1.53701  0.74115  0.33612  0.14320  0.05724  0.02147  0.00761  0.00270  0.00140  0.00201  0.00472  0.01109  0.02384  0.04641  0.08193  0.13154  0.19289  0.25996  0.32503  0.38256  0.43334  0.48684  0.55997  0.67151  0.83392  1.04566  1.28833  1.53088  1.73888  1.88393  1.94900  1.92964  1.83387  1.68227  1.50612  1.34081  1.21512  1.14202  1.11724  1.12737  1.16276  1.22761  1.34220  1.53892  1.85954  2.36097  3.13009  4.30098  6.06514  8.67058 12.41100 17.60550 24.55760 33.47620 44.34580 56.77090 69.86610 82.27740 92.38740 98.66510 100.04700 96.21760 87.68960 75.67730 61.80050 47.72080
 -155.000 -155.000 41.42310 28.52200 18.58480 11.44990  6.66418  3.66184  1.89868  0.92862  0.42827  0.18626  0.07651  0.02985  0.01124  0.00440  0.00260  0.00389  0.00908  0.02126  0.04565  0.08889  0.15713  0.25295  0.37257  0.50538  0.63729  0.75728  0.86453  0.97252  1.10723  1.29883  1.56921  1.92045  2.33018  2.75603  3.14646  3.45168  3.63125  3.65999  3.53502  3.28232  2.95566  2.62289  2.34364  2.15020  2.04335  2.00494  2.01893  2.08837  2.24050  2.52237  2.99703  3.74950  4.90323  6.63801  9.19832 12.88870 18.05850 25.07570 34.27550 45.85870 59.73170 75.31920 91.44100 106.35900 118.05400 124.67800 125.04300 118.95300 107.26700 91.66980 74.23850 56.97200
 -150.000 -150.000 46.97580 32.28600 21.05410 13.01260  7.61392  4.21412  2.20559  1.09205  0.51237  0.22871  0.09793  0.04081  0.01698  0.00757  0.00488  0.00699  0.01577  0.03662  0.07854  0.15311  0.27135  0.43870  0.65040  0.89044  1.13642  1.36952  1.58532  1.80032  2.05012  2.37832  2.81958  3.38373  4.04808  4.76028  5.44777  6.02773  6.41751  6.54999  6.39587  5.98333  5.39929  4.76425  4.19066  3.74766  3.45135  3.28246  3.21775  3.25620  3.42923  3.79812  4.45057  5.50725  7.13800  9.57742 13.12840 18.15110 25.04090 34.19350 45.93750 60.41300 77.38560 96.04640 114.89400 131.81900 144.45500 150.72700 149.41900 140.54400 125.36900 106.06600 85.14860 64.89830
 -145.000 -145.000 50.94220 34.89560 22.73280 14.06580  8.25522  4.59224  2.42267  1.21554  0.58388  0.27187  0.12507  0.05811  0.02776  0.01413  0.00930  0.01178  0.02482  0.05679  0.12165  0.23770  0.42314  0.68876  1.03100  1.42990  1.85512  2.27887  2.69071  3.10695  3.56988  4.13532  4.85215  5.74201  6.78704  7.92745  9.06479 10.06770 10.78580 11.08210 10.88050 10.20730  9.19698  8.04926  6.95957  6.05937  5.39695  4.95997  4.71864  4.66335  4.82321  5.26860  6.11128  7.51239  9.69707 12.96420 17.68140 24.26400 33.14200 44.70900 59.23590 76.72890 96.73610 118.15700 139.15900 157.31500 170.01900 175.10100 171.44300 159.36100 140.55700 117.67000 93.58240 70.77720
 -140.000 -140.000 53.05190 36.17450 23.51000 14.54270  8.55054  4.77819  2.54509  1.30289  0.65168  0.32660  0.16834  0.09021  0.04964  0.02788  0.01789  0.01893  0.03567  0.07955  0.17014  0.33391  0.59880  0.98492  1.49511  2.11118  2.79946  3.52510  4.26912  5.04134  5.88256  6.85392  8.01569  9.40316 11.00720 12.76140 14.53310 16.12150 17.27860 17.76650 17.44330 16.33400 14.64090 12.67710 10.75810  9.10969  7.83447  6.93804  6.38505  6.15075  6.25114  6.75525  7.79253  9.56423 12.35540 16.53660 22.54650 30.85710 41.92160 56.10040 73.54900 94.06060 116.88400 140.57400 162.97700 181.43100 193.23100 196.27500 189.68400 174.14600 151.80100 125.68800 98.96310 74.20640
 -135.000 -135.000 53.38000 36.21110 23.46780 14.51090  8.55253  4.81279  2.60602  1.38285  0.74148  0.41546  0.24640  0.15129  0.09236  0.05482  0.03381  0.02948  0.04735  0.10128  0.21612  0.42734  0.77550  1.29592  2.00716  2.90420  3.96069  5.14028  6.41333  7.77281  9.24306 10.87630 12.73550 14.86670 17.26940 19.86530 22.47100 24.78830 26.43850 27.05750 26.42920 24.59160 21.84750 18.66540 15.52260 12.77250 10.59360  9.01834  8.00381  7.49992  7.49517  8.04238  9.27669 11.43200 14.85070 19.97660 27.32310 37.41960 50.73450 67.56880 87.91350 111.28100 136.55500 161.91500 184.90700 202.73400 212.74600 213.07000 203.18700 184.20200 158.65700 129.89200 101.21900 75.21270
