VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 59.40990 44.88930 31.83810 21.31750 13.60200  8.38828  5.09436  3.11000  1.93917  1.24241  0.81829  0.56150  0.42126  0.37044  0.38698  0.44546  0.51616  0.56935  0.58275  0.54798  0.47222  0.37361  0.27302  0.18663  0.12279  0.08307  0.06539  0.06676  0.08452  0.11635  0.16018  0.21467  0.27995  0.35780  0.45053  0.55946  0.68406  0.82234  0.97170  1.12856  1.28683  1.43670  1.56592  1.66340  1.72248  1.74134  1.72064  1.66156  1.56759  1.44971  1.33079  1.24448  1.22801  1.31485  1.53691  1.94355  2.63630  3.80823  5.77012  8.94356 13.80580 20.78190 30.09560 41.60850 54.68950 68.16270 80.38440 89.49200 93.81850 92.37870 85.24140 73.59130
 -175.000 -175.000 85.36020 64.19520 45.36240 30.29150 19.29770 11.89950  7.24384  4.45161  2.81201  1.83919  1.24597  0.88412  0.68398  0.60901  0.62882  0.70774  0.80415  0.87679  0.89460  0.84529  0.73774  0.59616  0.44938  0.32086  0.22404  0.16333  0.13812  0.14626  0.18552  0.25336  0.34684  0.46336  0.60193  0.76296  0.94597  1.14644  1.35438  1.55631  1.73965  1.89689  2.02731  2.13578  2.22975  2.31552  2.39456  2.46089  2.50085  2.49758  2.44076  2.33842  2.22426  2.15409  2.19174  2.39441  2.81359  3.52334  4.67428  6.55476  9.63025 14.53020 21.96030 32.53490 46.54920 63.73790 83.08530 102.76700 120.29800 132.94200 138.34700 135.24500 123.94100 106.32800
 -170.000 -170.000 114.22400 85.43030 60.09800 39.99500 25.42150 15.66240  9.54835  5.90039  3.77195  2.51751  1.75596  1.29147  1.03281  0.93239  0.95082  1.04275  1.15658  1.24205  1.26127  1.19839  1.06248  0.88156  0.69057  0.51971  0.38844  0.30616  0.27653  0.30114  0.38068  0.51413  0.69832  0.92910  1.20288  1.51601  1.86105  2.22247  2.57555  2.89069  3.14159  3.31357  3.40853  3.44482  3.45172  3.45985  3.48995  3.54416  3.60405  3.63866  3.62223  3.55571  3.48071  3.47594  3.63579  4.04655  4.78491  5.95720  7.77676 10.65110 15.23490 22.40510 33.12820 48.21700 68.00730 92.02260 118.72600 145.47000 168.76000 184.86800 190.74000 184.92200 168.13800 143.20300
 -165.000 -165.000 142.81700 106.16200 74.30920 49.26360 31.23140 19.21890 11.72710  7.28052  4.70613  3.20574  2.30675  1.76429  1.46245  1.34023  1.34922  1.43750  1.54923  1.63181  1.64568  1.57308  1.42129  1.21774  0.99897  0.79902  0.64314  0.54788  0.52507  0.58468  0.73468  0.97887  1.31580  1.73988  2.24257  2.81071  3.42177  4.03993  4.61771  5.10409  5.45595  5.64879  5.68387  5.59045  5.42126  5.23992  5.10214  5.03705  5.03760  5.06757  5.08652  5.08363  5.10268  5.24165  5.62511  6.37068  7.58480  9.41420 12.14870 16.33480 22.83890 32.80140 47.44840 67.76040 94.04570 125.51200 159.97300 193.83600 222.51800 241.30800 246.56100 236.82400 213.45000 180.33700
 -160.000 -160.000 167.46900 123.67200 86.11030 56.86490 35.96050 22.10650 13.50140  8.41864  5.50183  3.82965  2.85186  2.27646  1.95936  1.82313  1.81133  1.87118  1.95173  2.00777  2.00566  1.92900  1.78164  1.58522  1.37146  1.17325  1.01952  0.93544  0.94524  1.07301  1.33969  1.75872  2.33370  3.05850  3.91650  4.87661  5.88815  6.88073  7.77278  8.48597  8.95891  9.15676  9.07817  8.76116  8.28385  7.75307  7.27836  6.93909  6.76049  6.71441  6.74964  6.83991  7.02353  7.40960  8.14655  9.38050 11.24960 13.94840 17.85540 23.66800 32.46670 45.63850 64.62240 90.48790 123.41300 162.17800 203.85800 243.88400 276.64400 296.61600 299.80500 285.02400 254.44600 213.10400
 -155.000 -155.000 184.94600 135.65500 93.95750 61.82330 39.02180 23.98340 14.67290  9.19561  6.08278  4.33763  3.35534  2.80200  2.50259  2.36091  2.31493  2.31850  2.33569  2.33893  2.30844  2.23348  2.11445  1.96333  1.80093  1.65299  1.54862  1.52174  1.61241  1.86387  2.31532  2.99462  3.91437  5.06964  6.43264  7.94406  9.50831 11.00170 12.29430 13.27370 13.86030 14.01140 13.72440 13.04710 12.08720 11.00620  9.98711  9.18312  8.67372  8.45425  8.46942  8.67598  9.09879  9.84639 11.07920 12.96360 15.66780 19.43980 24.75440 32.45970 43.82890 60.44040 83.85400 115.10800 154.12400 199.16300 246.53500 290.78700 325.49300 344.63600 344.23000 323.63000 285.94700 237.26800
 -150.000 -150.000 193.31500 140.82800 97.05490 63.67280 40.15590 24.71130 15.17020  9.57386  6.42601  4.71013  3.79480  3.31288  3.05853  2.91698  2.82476  2.74965  2.67876  2.60921  2.54080  2.47275  2.40440  2.33762  2.27907  2.24288  2.25495  2.35715  2.60673  3.06814  3.80043  4.84758  6.23366  7.95710  9.97721 12.19720 14.45990 16.56840 18.32750 19.58280 20.23620 20.24200 19.60290 18.38350 16.73060 14.87430 13.08830 11.61870 10.61690 10.11470 10.05980 10.39220 11.11620 12.32700 14.18240 16.85770 20.54730 25.55550 32.45420 42.22690 56.29260 76.33200 103.89900 139.85700 183.75200 233.27200 284.03200 329.89900 363.97900 380.17500 374.89500 348.27900 304.37600 250.10100
 -145.000 -145.000 192.41300 139.24600 95.54010 62.55650 39.47820 24.37260 15.04890  9.58929  6.54979  4.94597  4.14766  3.76651  3.57077  3.43119  3.28794  3.12742  2.96270  2.81669  2.71015  2.65549  2.65548  2.70575  2.80051  2.94206  3.15243  3.48107  4.00145  4.79594  5.93808  7.48287  9.46390 11.88420 14.69090 17.74550 20.81730 23.61940 25.87480 27.37510 28.00090 27.70910 26.52080 24.53440 21.95420 19.09530 16.33540 14.02330 12.38870 11.50510 11.32650 11.77560 12.83050 14.56220 17.11300 20.65820 25.41640 31.74880 40.31780 52.21150 68.92410 92.12620 123.22300 162.76800 209.84200 261.57800 313.05100 357.74800 388.71700 400.21000 389.35800 357.20900 308.63900 251.05900
 -140.000 -140.000 183.80600 132.21800 90.40310 59.15750 37.42300 23.22520 14.45460  9.31821  6.48417  5.03783  4.37331  4.09543  3.95663  3.82057  3.63543  3.40652  3.16897  2.96616  2.83652  2.80686  2.88898  3.07967  3.36772  3.74941  4.24735  4.92065  5.85646  7.14621  8.86410 11.06200 13.77360 17.00470 20.69320 24.66080 28.59980 32.12230 34.85350 36.51620 36.96230 36.15870 34.16600 31.14730 27.39380 23.32540 19.43030 16.15550 13.80000 12.47050 12.12200 12.65640 14.02080 16.25530 19.48170 23.87440 29.68050 37.32120 47.53630 61.47330 80.61590 106.50100 140.25200 182.00200 230.34100 281.94100 331.56700 372.67500 398.64700 404.43000 388.07600 351.52700 300.25500 241.80600
 -135.000 -135.000 170.26600 121.89800 83.18530 54.49380 34.61210 21.62080 13.56970  8.84230  6.24808  4.96047  4.41265  4.21714  4.12361  3.99740  3.79668  3.54075  3.27741  3.06048  2.93961  2.95544  3.13386  3.48195  3.99419  4.67237  5.54997  6.70179  8.22674 10.21360 12.71750 15.76450 19.37090 23.53600 28.18870 33.11590 37.93470 42.14970 45.27320 46.94200 46.97300 45.35680 42.23020 37.86790 32.68920 27.23950 22.11340 17.83380 14.74050 12.94880 12.39850 12.96210 14.55190 17.17750 20.94460 26.03870 32.75040 41.56790 53.29240 69.07760 90.30310 118.25500 153.66100 196.18100 243.95200 293.34400 339.08800 374.94900 394.95800 394.96500 373.96400 334.63100 282.73500 225.60800
