VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 23.27440 18.64980 14.13300 10.07350  6.71599  4.16614  2.39331  1.26797  0.61735  0.27541  0.11229  0.04177  0.01415  0.00439  0.00131  0.00053  0.00056  0.00097  0.00172  0.00283  0.00432  0.00617  0.00834  0.01086  0.01378  0.01727  0.02164  0.02749  0.03583  0.04807  0.06590  0.09096  0.12465  0.16813  0.22245  0.28845  0.36546  0.44888  0.52788  0.58599  0.60623  0.57910  0.50852  0.41119  0.30973  0.22409  0.16668  0.14338  0.15833  0.21924  0.34015  0.54062  0.84258  1.26783  1.83934  2.58593  3.54623  4.76834  6.30754  8.22815 10.60760 13.52610 17.02080 21.00930 25.22330 29.21140 32.43340 34.41210 34.86230 33.74170 31.21870 27.60180
 -175.000 -175.000 36.98550 29.44880 22.18800 15.74030 10.45930  6.47785  3.72241  1.97666  0.96655  0.43389  0.17835  0.06699  0.02298  0.00727  0.00232  0.00120  0.00156  0.00283  0.00504  0.00831  0.01270  0.01819  0.02470  0.03228  0.04110  0.05154  0.06444  0.08137  0.10489  0.13840  0.18543  0.24864  0.32898  0.42544  0.53544  0.65536  0.77986  0.89965  0.99910  1.05722  1.05438  0.98248  0.85194  0.68979  0.52938  0.39848  0.31311  0.27920  0.29945  0.38063  0.53853  0.79946  1.19940  1.78283  2.60355  3.72713  5.23187  7.20666  9.74975 12.97290 17.00320 21.95590 27.85620 34.52290 41.47880 47.96910 53.11880 56.16770 56.67380 54.59390 50.23670 44.14620
 -170.000 -170.000 55.36400 43.78650 32.79480 23.15500 15.33810  9.48708  5.45527  2.90461  1.42692  0.64474  0.26721  0.10137  0.03523  0.01145  0.00404  0.00271  0.00408  0.00754  0.01338  0.02204  0.03374  0.04846  0.06611  0.08675  0.11076  0.13909  0.17374  0.21857  0.27966  0.36456  0.48010  0.62963  0.81100  1.01612  1.23232  1.44448  1.63638  1.79015  1.88508  1.89951  1.81846  1.64422  1.40198  1.13449  0.88769  0.69620  0.57737  0.53507  0.56861  0.68206  0.89174  1.23207  1.75984  2.55657  3.72911  5.40753  7.73957 10.88280 14.99990 20.26040 26.83250 34.83510 44.22410 54.64010 65.30350 75.05910 82.60510 86.82900 87.10110 83.39950 76.24980 66.54760
 -165.000 -165.000 78.44390 61.57870 45.81700 32.17960 21.24040 13.11680  7.54582  4.02782  1.98760  0.90374  0.37756  0.14469  0.05107  0.01726  0.00703  0.00607  0.00995  0.01834  0.03230  0.05300  0.08116  0.11691  0.16016  0.21105  0.27037  0.34013  0.42491  0.53355  0.67958  0.87862  1.14258  1.47330  1.85875  2.27350  2.68292  3.04884  3.33461  3.50802  3.54335  3.42552  3.15794  2.77019  2.31756  1.86823  1.48337  1.20192  1.03808  0.98973  1.05024  1.21910  1.51224  1.97455  2.69314  3.80690  5.50763  8.03104 11.63860 16.59470 23.14760 31.51400 41.85410 54.20290 68.33720 83.60960 98.84750 112.42700 122.56900 127.77200 127.21000 120.91800 109.73000 95.02910
 -160.000 -160.000 105.62000 82.23180 60.73240 42.39790 27.86490 17.16830  9.87498  5.28127  2.61634  1.19647  0.50367  0.19509  0.07029  0.02532  0.01255  0.01336  0.02262  0.04098  0.07120  0.11609  0.17752  0.25620  0.35227  0.46610  0.59915  0.75548  0.94484  1.18619  1.50765  1.93931  2.49968  3.18241  3.95088  4.74304  5.48302  6.09345  6.50527  6.66513  6.54278  6.14004  5.49916  4.70363  3.86427  3.09185  2.46877  2.03524  1.79547  1.73514  1.83776  2.09615  2.52559  3.18543  4.20642  5.81224  8.32351 12.13870 17.69350 25.40660 35.62100 48.55220 64.23520 82.45400 102.63100 123.69800 144.02800 161.53100 173.98100 179.51700 177.13500 166.97800 150.28000 129.05000
 -155.000 -155.000 135.49900 104.57600 76.61700 53.12590 34.73870 21.33730 12.26090  6.56455  3.26208  1.49917  0.63570  0.24933  0.09274  0.03710  0.02327  0.02864  0.04816  0.08472  0.14424  0.23270  0.35445  0.51178  0.70574  0.93734  1.20914  1.52888  1.91610  2.40871  3.06123  3.92765  5.03275  6.34703  7.78144  9.20461 10.47090 11.44390 12.01090 12.09200 11.65420 10.72940  9.42496  7.91507  6.40334  5.07066  4.03272  3.32932  2.94571  2.84595  2.99733  3.38305  4.01813  4.98268  6.46869  8.81987 12.54170 18.26850 26.68590 38.41620 53.88480 73.19870 96.06380 121.75000 149.08600 176.44500 201.74800 222.55300 236.34000 241.00800 235.45300 219.96600 196.25100 167.04400
 -150.000 -150.000 165.83500 126.87100 92.19020 63.46820 41.26840 25.25230 14.48460  7.75666  3.86258  1.78247  0.76145  0.30382  0.11921  0.05594  0.04452  0.05929  0.09654  0.16313  0.27025  0.42928  0.64923  0.93600  1.29312  1.72324  2.23100  2.83051  3.55843  4.48530  5.70925  7.32025  9.34486 11.70300 14.20740 16.60750 18.64860 20.11450 20.84150 20.72400 19.73270 17.94570 15.56750 12.90790 10.31150  8.06745  6.34398  5.18127  4.53499  4.33423  4.51982  5.06041  5.97172  7.36353  9.51094 12.91910 18.34340 26.73800 39.12090 56.36070 78.91840 106.61900 138.54400 173.10300 208.24000 241.65700 270.92100 293.49900 306.87600 308.95100 298.63600 276.41000 244.45800 206.26400
 -145.000 -145.000 193.70700 146.97400 105.95800 72.43370 46.82640 28.53340 16.32680  8.73758  4.35613  2.01728  0.86934  0.35628  0.15268  0.08837  0.08568  0.11738  0.18268  0.29441  0.47143  0.73337  1.09711  1.57557  2.17791  2.91078  3.78306  4.81965  6.08474  7.69980  9.82791 12.60740 16.05530 19.99890 24.08770 27.88420 30.97650 33.04740 33.88350 33.36500 31.48210 28.38220 24.40360 20.04200 15.83700 12.22980  9.46546  7.58720  6.50911  6.10783  6.28292  6.98077  8.21888 10.14800 13.15110 17.93820 25.58030 37.43340 54.92270 79.18490 110.63100 148.57400 191.11200 235.39700 278.20600 316.50700 347.72600 369.64300 380.19700 377.62100 361.01000 331.04300 290.30800 242.93900
 -140.000 -140.000 216.03600 162.72700 116.49100 79.12090 50.86970 30.86710 17.61360  9.41473  4.69625  2.18249  0.95220  0.40756  0.19934  0.14473  0.16070  0.21999  0.32618  0.49990  0.77009  1.16762  1.72132  2.45627  3.39281  4.54655  5.93519  7.60119  9.64902 12.27080 15.71520 20.17680 25.64280 31.79340 38.03650 43.66970 48.07000 50.79970 51.60590 50.37960 47.16020 42.19970 36.01310 29.33210 22.94180 17.47540 13.27650 10.39380  8.68665  7.95905  8.05067  8.87513 10.45250 12.98710 16.99420 23.42720 33.72580 49.70890 73.25460 105.75600 147.45600 196.89700 250.83300 304.80000 354.17500 395.23300 425.57400 443.78800 448.80100 439.57400 415.56900 377.62700 328.56200 272.93000
 -135.000 -135.000 230.36700 172.49900 122.77300 82.93780 53.07330 32.08440 18.26150  9.74919  4.86627  2.27264  1.01074  0.46275  0.26818  0.23787  0.28599  0.38631  0.54765  0.79970  1.18319  1.74302  2.52463  3.57239  4.92672  6.62134  8.69132 11.20580 14.32160 18.31580 23.53380 30.22200 38.30820 47.26700 56.18850 64.03180 69.91130 73.25280 73.77870 71.42800 66.33800 58.91600 49.90330 40.31120 31.20510 23.43320 17.44790 13.30010 10.78110  9.60231  9.52439 10.41660 12.30170 15.44870 20.52510 28.75150 41.96170 62.45720 92.56530 133.88000 186.33400 247.47700 312.44500 374.91500 428.79100 469.79100 496.06000 507.51700 504.57000 487.27800 455.60500 410.46900 354.64900 292.77500
