VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000  7.11811  5.05901  3.36454  2.10626  1.24868  0.70415  0.37813  0.19286  0.09305  0.04262  0.01923  0.00972  0.00670  0.00625  0.00640  0.00626  0.00558  0.00447  0.00321  0.00207  0.00120  0.00064  0.00035  0.00026  0.00032  0.00054  0.00106  0.00218  0.00448  0.00886  0.01633  0.02758  0.04224  0.05841  0.07277  0.08159  0.08232  0.07476  0.06126  0.04564  0.03163  0.02172  0.01673  0.01606  0.01824  0.02159  0.02473  0.02717  0.02950  0.03317  0.03983  0.05071  0.06648  0.08837  0.12029  0.17172  0.26110  0.41946  0.69377  1.14795  1.85804  2.89743  4.31088  6.08142  8.09987 10.15150 11.93480 13.12220 13.45300 12.82770 11.35620  9.32880
 -175.000 -175.000 11.03810  7.86934  5.25898  3.31305  1.97839  1.12402  0.60791  0.31215  0.15186  0.07079  0.03368  0.01939  0.01583  0.01630  0.01727  0.01706  0.01524  0.01222  0.00877  0.00565  0.00328  0.00178  0.00100  0.00078  0.00098  0.00162  0.00293  0.00558  0.01087  0.02076  0.03753  0.06269  0.09545  0.13155  0.16357  0.18321  0.18473  0.16778  0.13758  0.10269  0.07153  0.04968  0.03896  0.03804  0.04361  0.05174  0.05924  0.06489  0.06999  0.07788  0.09245  0.11655  0.15166  0.19981  0.26748  0.37051  0.53876  0.82048  1.28604  2.02938  3.16210  4.79321  6.99076  9.72963 12.84130 15.99060 18.70750 20.48540 20.93040 19.90450 17.59220 14.44720
 -170.000 -170.000 15.93240 11.36670  7.61048  4.80837  2.88186  1.64405  0.89302  0.46088  0.22621  0.10810  0.05542  0.03719  0.03517  0.03877  0.04194  0.04165  0.03726  0.02989  0.02147  0.01384  0.00807  0.00441  0.00260  0.00218  0.00283  0.00451  0.00764  0.01348  0.02455  0.04479  0.07878  0.12958  0.19560  0.26827  0.33265  0.37200  0.37485  0.34048  0.27951  0.20923  0.14665  0.10309  0.08229  0.08154  0.09406  0.11173  0.12789  0.13981  0.15004  0.16546  0.19428  0.24263  0.31370  0.41088  0.54455  0.73975  1.04210  1.52153  2.27502  3.42808  5.12878  7.52372 10.70690 14.64440 19.09810 23.58660 27.43040 29.89950 30.43440 28.85350 25.44160 20.86230
 -165.000 -165.000 21.33590 15.20000 10.17190  6.42954  3.85867  2.20608  1.20203  0.62348  0.30962  0.15334  0.08678  0.06827  0.07244  0.08345  0.09141  0.09108  0.08156  0.06543  0.04702  0.03033  0.01775  0.00987  0.00610  0.00554  0.00747  0.01165  0.01870  0.03070  0.05207  0.08989  0.15248  0.24544  0.36594  0.49838  0.61550  0.68686  0.69159  0.62842  0.51681  0.38842  0.27437  0.19544  0.15857  0.15881  0.18366  0.21809  0.24952  0.27255  0.29159  0.31931  0.37119  0.45941  0.59055  0.77072  1.01627  1.36526  1.88404  2.66811  3.84115  5.55490  7.98443 11.30340 15.62330 20.89510 26.80330 32.70850 37.70430 40.82010 41.32340 38.99800 34.25490 28.00230
 -160.000 -160.000 26.51090 18.82500 12.56970  7.93670  4.76425  2.72822  1.49146  0.77873  0.39324  0.20464  0.13031  0.11868  0.13672  0.16187  0.17863  0.17832  0.15975  0.12819  0.09214  0.05951  0.03501  0.01986  0.01306  0.01290  0.01799  0.02773  0.04275  0.06604  0.10450  0.16959  0.27511  0.43043  0.63098  0.85092  1.04505  1.16289  1.16986  1.06393  0.87750  0.66326  0.47312  0.34183  0.28110  0.28280  0.32624  0.38629  0.44165  0.48270  0.51605  0.56247  0.64839  0.79566  1.01747  1.32540  1.74536  2.33357  3.18298  4.41819  6.18624  8.65192 11.99420 16.38490 21.92410 28.52690 35.79240 42.93040 48.82960 52.31130 52.50770 49.20360 42.96080 34.94100
 -155.000 -155.000 30.65820 21.66670 14.41970  9.09045  5.45857  3.13340  1.72156  0.90773  0.46937  0.26031  0.18787  0.19279  0.23447  0.28219  0.31273  0.31252  0.28005  0.22475  0.16162  0.10456  0.06196  0.03613  0.02556  0.02750  0.03964  0.06067  0.09085  0.13379  0.19909  0.30371  0.46854  0.70811  1.01564  1.35188  1.64800  1.82708  1.83639  1.67283  1.38575  1.05568  0.76217  0.55864  0.46334  0.46432  0.53054  0.62414  0.71264  0.78048  0.83609  0.90986  1.04235  1.26953  1.61606  2.10412  2.77512  3.71051  5.03698  6.91181  9.50002 12.95950 17.43610 23.04850 29.83040 37.61730 45.90950 53.79360 60.02340 63.30910 62.74370 58.18080 50.35430 40.65340
 -150.000 -150.000 33.18460 23.31620 15.46190  9.73652  5.85594  3.37691  1.87055  1.00081  0.53419  0.31890  0.25847  0.28918  0.36352  0.44148  0.49031  0.49021  0.43934  0.35265  0.25376  0.16461  0.09857  0.05969  0.04609  0.05402  0.08015  0.12209  0.17907  0.25452  0.36046  0.51996  0.76249  1.10893  1.55002  2.03028  2.45216  2.70654  2.71839  2.48284  2.06954  1.59277  1.16601  0.86589  0.71918  0.71005  0.79619  0.92595  1.05446  1.15874  1.24757  1.36041  1.55354  1.88131  2.38637  3.10948  4.11626  5.52264  7.49755 10.23540 13.91350 18.65860 24.53560 31.53850 39.55280 48.26700 57.06030 64.94290 70.64980 72.93740 71.00990 64.88440 55.47990 44.35060
 -145.000 -145.000 33.88910 23.65850 15.63810  9.84957  5.94705  3.45648  1.93902  1.05931  0.58826  0.37862  0.33653  0.39734  0.50807  0.61939  0.68835  0.68824  0.61684  0.49524  0.35676  0.23241  0.14147  0.09040  0.07755  0.09874  0.14988  0.22726  0.32815  0.45467  0.62048  0.85506  1.19765  1.67664  2.27998  2.93331  3.50566  3.85030  3.86576  3.54413  2.97758  2.31924  1.72239  1.29153  1.06450  1.02255  1.11281  1.27084  1.44008  1.58924  1.72475  1.89197  2.16187  2.61021  3.30486  4.31522  5.74204  7.74634 10.54860 14.38580 19.44230 25.78920 33.35620 41.92950 51.14760 60.47030 69.13060 76.12420 80.31460 80.69820 76.76840 68.80720 57.91610 45.72290
 -140.000 -140.000 32.97480 22.86650 15.07770  9.51566  5.78419  3.40214  1.94404  1.09277  0.63548  0.43729  0.41224  0.49835  0.63968  0.77934  0.86540  0.86490  0.77511  0.62259  0.44937  0.29496  0.18451  0.12759  0.12403  0.17037  0.26260  0.39559  0.56370  0.76644  1.01837  1.35573  1.82888  2.47475  3.27782  4.14155  4.89603  5.35061  5.37215  4.94749  4.19313  3.30623  2.48671  1.87290  1.51753  1.40111  1.46220  1.62619  1.82704  2.02497  2.22058  2.45990  2.82490  3.41362  4.32541  5.66808  7.58830 10.30210 14.08980 19.23550 25.92650 34.15500 43.66390 53.94980 64.30870 73.89650 81.78540 87.02920 88.77330 86.44480 79.98830 70.02870 57.82510 44.97370
 -135.000 -135.000 30.90270 21.28440 14.01120  8.87519  5.44666  3.25713  1.90961  1.11480  0.68218  0.49374  0.47531  0.57127  0.72640  0.88003  0.97465  0.97306  0.87189  0.70094  0.50787  0.33811  0.22180  0.17241  0.19300  0.28278  0.43885  0.65469  0.92080  1.23290  1.60602  2.08402  2.73002  3.59061  4.64538  5.77086  6.75044  7.34085  7.37027  6.81730  5.82497  4.64147  3.52256  2.64894  2.09402  1.84078  1.82156  1.95421  2.16559  2.40768  2.67211  2.99986  3.47869  4.22727  5.37948  7.08801  9.55263 13.05020 17.92480 24.50910 32.98790 43.25520 54.82660 66.84770 78.20560 87.70850 94.27870 97.10520 95.74550 90.19850 80.96150 69.03000 55.77070 42.65010
