VARS   PHI PSI -180 -175 -170 -165 -160 -155 -150 -145 -140 -135 -130 -125 -120 -115 -110 -105 -100 -95 -90 -85 -80 -75 -70 -65 -60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 
FORMAT  %8.3f %8.3f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f %8.5f

 -180.000 -180.000 21.37830 15.18560 10.04880  6.25961  3.72193  2.14290  1.20577  0.66248  0.35140  0.17690  0.08310  0.03595  0.01424  0.00527  0.00213  0.00150  0.00200  0.00313  0.00459  0.00613  0.00741  0.00817  0.00831  0.00804  0.00786  0.00867  0.01174  0.01868  0.03108  0.04976  0.07372  0.09956  0.12189  0.13520  0.13613  0.12500  0.10552  0.08300  0.06224  0.04635  0.03678  0.03410  0.03875  0.05122  0.07154  0.09840  0.12862  0.15786  0.18319  0.20751  0.24483  0.32503  0.49603  0.82069  1.36599  2.18513  3.29914  4.68972  6.31379  8.14004 10.19340 12.58360 15.49170 19.09650 23.44180 28.28290 32.99560 36.64600 38.26020 37.20840 33.50760 27.85810
 -175.000 -175.000 33.08220 23.31300 15.28070  9.40301  5.50306  3.10752  1.71176  0.92161  0.48074  0.23913  0.11149  0.04807  0.01911  0.00734  0.00354  0.00344  0.00532  0.00855  0.01267  0.01701  0.02072  0.02308  0.02379  0.02330  0.02286  0.02457  0.03139  0.04701  0.07507  0.11743  0.17192  0.23101  0.28277  0.31487  0.31970  0.29760  0.25639  0.20746  0.16128  0.12482  0.10159  0.09327  0.10126  0.12702  0.17093  0.23034  0.29819  0.36402  0.41875  0.46287  0.51605  0.62517  0.86783  1.34815  2.18182  3.47026  5.27090  7.57953 10.34250 13.50510 17.08060 21.20210 26.11010 32.04010 39.01230 46.59490 53.77760 59.10490 61.11110 58.90860 52.62610 43.42800
 -170.000 -170.000 47.49440 33.22670 21.59940 13.15420  7.59509  4.21655  2.27803  1.20302  0.61723  0.30329  0.14034  0.06036  0.02421  0.00991  0.00608  0.00767  0.01287  0.02103  0.03136  0.04240  0.05215  0.05880  0.06160  0.06141  0.06090  0.06456  0.07862  0.11075  0.16843  0.25560  0.36817  0.49124  0.60109  0.67288  0.69074  0.65432  0.57790  0.48311  0.39035  0.31378  0.26130  0.23749  0.24637  0.29195  0.37600  0.49400  0.63199  0.76778  0.87923  0.95901  1.03161  1.16683  1.48508  2.15126  3.35442  5.27187  8.02429 11.64110 16.06310 21.19950 27.02530 33.66520 41.38740 50.44790 60.78920 71.70940 81.70770 88.70920 90.70630 86.58160 76.68300 62.79560
 -165.000 -165.000 63.48830 44.12330 28.48630 17.20820  9.83328  5.38722  2.86525  1.48869  0.75279  0.36585  0.16816  0.07224  0.02946  0.01330  0.01062  0.01606  0.02815  0.04647  0.06976  0.09508  0.11824  0.13533  0.14451  0.14726  0.14865  0.15723  0.18484  0.24584  0.35435  0.51810  0.73050  0.96540  1.18040  1.33021  1.38441  1.33934  1.21719  1.05396  0.88506  0.73667  0.62537  0.56257  0.55878  0.62425  0.76477  0.97417  1.22785  1.48362  1.69518  1.83743  1.93597  2.08971  2.47867  3.35414  5.01001  7.73394 11.74320 17.12610 23.82630 31.70050 40.64250 50.70390 62.10180 75.02470 89.24650 103.71100 116.37200 124.52900 125.69600 118.64300 104.08000 84.54050
 -160.000 -160.000 79.35360 54.80910 35.18560 21.13040 11.99010  6.51098  3.42595  1.75942  0.88009  0.42410  0.19395  0.08341  0.03488  0.01791  0.01822  0.03084  0.05541  0.09222  0.13949  0.19198  0.24191  0.28179  0.30776  0.32186  0.33256  0.35439  0.40747  0.51624  0.70501  0.98812  1.35694  1.77096  2.16220  2.45561  2.59704  2.57297  2.41083  2.16220  1.88164  1.61347  1.39020  1.23787  1.18147  1.24493  1.44393  1.77297  2.19330  2.63226  3.00370  3.24929  3.38767  3.55203  4.00182  5.10611  7.30127 11.02450 16.62590 24.28110 33.94680 45.40770 58.41680 72.84880 88.73120 106.03400 124.23300 141.85100 156.32500 164.46600 163.51600 152.35500 132.21600 106.44300
 -155.000 -155.000 93.17860 63.96120 40.86100 24.43730 13.81020  7.46408  3.90487  1.99215  0.98993  0.47439  0.21623  0.09328  0.04034  0.02398  0.02962  0.05373  0.09806  0.16452  0.25104  0.34954  0.44740  0.53200  0.59623  0.64220  0.68217  0.73786  0.83978  1.02555  1.33362  1.78910  2.38437  3.06476  3.73255  4.27401  4.59882  4.67009  4.50920  4.17709  3.74779  3.29045  2.86485  2.52560  2.32657  2.31888  2.53912  2.98863  3.61289  4.29767  4.89796  5.30145  5.50665  5.68328  6.19058  7.54969 10.38000 15.30780 22.85160 33.30080 46.63590 62.54820 80.57450 100.27200 121.28200 143.14600 164.88800 184.58300 199.29100 205.62300 200.89900 184.40900 158.06100 125.98200
 -150.000 -150.000 103.32400 70.45490 44.79730 26.70720 15.06180  8.12729  4.24392  2.15960  1.06969  0.51090  0.23236  0.10065  0.04531  0.03121  0.04459  0.08449  0.15605  0.26404  0.40713  0.57485  0.74953  0.91274  1.05311  1.17175  1.28357  1.41666  1.61187  1.92134  2.40108  3.09266  3.99663  5.05041  6.12823  7.07132  7.73710  8.04204  7.97700  7.59400  6.98003  6.23543  5.46383  4.77036  4.26095  4.03544  4.16894  4.68095  5.50330  6.47098  7.36096  7.98395  8.30101  8.51600  9.10403 10.76900 14.34960 20.69550 30.52110 44.25160 61.89950 83.03800 106.90200 132.56700 159.05200 185.23600 209.54000 229.63100 242.44100 244.79100 234.52200 211.65100 178.86600 140.94700
 -145.000 -145.000 108.79900 73.63140 46.57670 27.68550 15.59560  8.41605  4.39657  2.23683  1.10636  0.52707  0.23913  0.10399  0.04887  0.03861  0.06133  0.11967  0.22339  0.38173  0.59606  0.85580  1.14034  1.42689  1.70011  1.95859  2.21686  2.50526  2.87099  3.37862  4.10329  5.10986  6.41880  7.97332  9.62882 11.17870 12.40870 13.15460 13.33740 12.96780 12.13090 10.96370  9.63568  8.33368  7.24856  6.55866  6.40159  6.83106  7.77161  9.00306 10.21020 11.10730 11.60050 11.92010 12.66300 14.73330 19.21050 27.18640 39.58650 56.98220 79.41990 106.32700 136.54900 168.50900 200.38000 230.16000 255.58200 274.01900 282.61000 278.84800 261.52800 231.65800 192.71300 149.92100
 -140.000 -140.000 109.40700 73.41440 46.16580 27.34850 15.38890  8.30957  4.34631  2.21240  1.09293  0.51901  0.23456  0.10223  0.05010  0.04459  0.07652  0.15262  0.28804  0.49803  0.78962  1.15649  1.58038  2.03898  2.51561  3.00570  3.51884  4.08013  4.73452  5.55215  6.62567  8.04951  9.87892 12.08220 14.51100 16.91110 18.97530 20.41670 21.03560 20.75860 19.64670 17.87830 15.71550 13.46600 11.44670  9.95025  9.20328  9.31104 10.19990 11.59660 13.09050 14.29080 15.03780 15.57680 16.61790 19.25890 24.81540 34.61550 49.78940 71.04960 98.46670 131.29000 167.89800 205.92200 242.52300 274.69500 299.49400 314.19700 316.51500 305.02700 279.81600 243.00400 198.75100 152.46100
 -135.000 -135.000 105.66700 70.24890 43.88370 25.89390 14.54930  7.85979  4.11570  2.09543  1.03301  0.48824  0.21928  0.09547  0.04852  0.04757  0.08637  0.17543  0.33513  0.58782  0.94940  1.42373  2.00298  2.67365  3.42390  4.24762  5.14563  6.12872  7.22747  8.50610 10.06860 12.04230 14.53060 17.54630 20.95370 24.45230 27.62060 30.00750 31.24050 31.11610 29.64760 27.05900 23.73500 20.14790 16.78550 14.09000 12.39960 11.88320 12.47640 13.86140 15.54280 17.03470 18.11290 19.02680 20.57460 24.01400 30.85750 42.63120 60.63660 85.70040 117.89200 156.25000 198.63100 241.81000 281.88100 314.85100 337.23000 346.45600 341.13400 321.21500 288.20900 245.31000 197.15500 149.02400
