A	H	H	HN	H1 H2 H3
A	HA	HA	HA	
A	HB1	1HB	HB1	
A	HB2	2HB	HB2	
A	HB3	3HB	HB3	
A	C	C	C	
A	CA	CA	CA	
A	CB	CB	CB	
A	N	N	N	
A	O	O	O	
				
R	H	H	HN	
R	HA	HA	HA	
R	HB2	1HB	HB1	
R	HB3	2HB	HB2	
R	HG2	1HG	HG1	
R	HG3	2HG	HG2	
R	HD2	1HD	HD1	
R	HD3	2HD	HD2	
R	HE	HE	HE	
R	HH11	1HH1	HH11	
R	HH12	2HH1	HH12	
R	HH21	1HH2	HH21	
R	HH22	2HH2	HH22	
R	C	C	C	
R	CA	CA	CA	
R	CB	CB	CB	
R	CG	CG	CG	
R	CD	CD	CD	
R	CZ	CZ	CZ	
R	N	N	N	
R	NE	NE	NE	
R	NH1	NH1	NH1	
R	NH2	NH2	NH2	
R	O	O	O	
				
D	H	H	HN	
D	HA	HA	HA	
D	HB2	1HB	HB1	
D	HB3	2HB	HB2	
D	HD2	XXX	XXX		
D	C	C	C	
D	CA	CA	CA	
D	CB	CB	CB	
D	CG	CG	CG	
D	N	N	N	
D	O	O	O	
D	OD1	OD1	OD1	
D	OD2	OD2	OD2	
				
N	H	H	HN	
N	HA	HA	HA	
N	HB2	1HB	HB1	
N	HB3	2HB	HB2	
N	HD21	1HD2	HD21	
N	HD22	2HD2	HD22	
N	C	C	C	
N	CA	CA	CA	
N	CB	CB	CB	
N	CG	CG	CG	
N	N	N	N	
N	ND2	ND2	ND2	
N	O	O	O	
N	OD1	OD1	OD1	
				
C	H	H	HN	
C	HA	HA	HA	
C	HB2	1HB	HB1	
C	HB3	2HB	HB2	
C	HG	HG	HG1	check upl
C	C	C	C	
C	CA	CA	CA	
C	CB	CB	CB	
C	N	N	N	
C	O	O	O	
C	SG	SG	SG	
				
E	H	H	HN	
E	HA	HA	HA	
E	HB2	1HB	HB1	
E	HB3	2HB	HB2	
E	HG2	1HG	HG1	
E	HG3	2HG	HG2	
E	HE2	XXX	XXX	
E	C	C	C	
E	CA	CA	CA	
E	CB	CB	CB	
E	CG	CG	CG	
E	CD	CD	CD	
E	N	N	N	
E	O	O	O	
E	OE1	OE1	OE1	
E	OE2	OE2	OE2	
				
Q	H	H	HN	
Q	HA	HA	HA	
Q	HB2	1HB	HB1	
Q	HB3	2HB	HB2	
Q	HG2	1HG	HG1	
Q	HG3	2HG	HG2	
Q	HE21	1HE2	HE21	
Q	HE22	2HE2	HE22	
Q	C	C	C	
Q	CA	CA	CA	
Q	CB	CB	CB	
